,agg_app_name,top_level_name,program_name,num_op_override,period,op_source,start_date,end_date,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,op_claimed,op_deployed,op_from_other_projects,op_to_other_projects,op_to_project,cumul_last_price_net_dollar_flow_at_program_end_ended,cumul_last_price_net_dollar_flow_ended,net_flows_retention,cumul_last_price_net_dollar_flow_at_program_end_live,cumul_last_price_net_dollar_flow_live,App Name Map Override,App Name Map,last_updated
52,Gamma,Gamma,Gamma,0.0,During Program,Governance - Season 1,2023-05-31,2023-11-30,-10802343.014284898,-10802343.014284898,-10792328.79634761,-10792328.79634761,189701.6087006561,-339167.0,0.0,0.0,0.0,,,0.0,-10792328.79634761,-10792328.79634761,,gamma,2023-06-03 00:34:01.806006
57,Hop Protocol,Hop protocol,Hop Protocol,0.0,During Program,Governance - Phase 0,2022-09-22,0,-4269332.879905687,-4269332.879905687,-4327605.939110646,-4327605.939110646,89377.11405016629,204739.0403595078,552.193,0.0,1000000.0,,,0.0,-4327605.939110646,-4327605.939110646,,hop protocol,2023-06-03 00:34:01.806006
58,Hundred Finance,Hundred finance,Hundred Finance,0.0,During Program,Governance - Season 1,2022-11-28,0,7172410.577743021,7172410.577743021,-1052086.4294934317,-1052086.4294934317,143019.26757030401,161322.5,0.0,0.0,300000.0,,,0.0,-1052086.4294934317,-1052086.4294934317,,hundred finance,2023-06-03 00:34:01.806006
66,Layer2Dao,L2DAO/OP: Velodrome,Layer2Dao - L2DAO/OP: Velodrome,0.0,Post-Program,Governance - Phase 0,2022-07-20,2022-08-22,936215.6830072484,350101.02585721423,717029.1334553561,235002.9155092294,0.0,20800.0,0.0,0.0,0.0,717029.1334553561,235002.9155092294,0.3277452819479632,,,,layer2dao,2023-06-03 00:34:01.806006
69,Lido,wstETH/OP: Velodrome,Lido - wstETH/OP: Velodrome,0.0,During Program,Partner Fund,2023-04-07,0,3403126.7442074995,3403126.7442074995,3434655.3688410283,3434655.3688410283,0.0,34330.43,0.0,0.0,0.0,,,,3434655.3688410283,3434655.3688410283,,lido,2023-06-03 00:34:01.806006
70,Lido,wstETH/USDC: Velodrome,Lido - wstETH/USDC: Velodrome,0.0,During Program,Partner Fund,2023-04-07,0,361366.6542251736,361366.6542251736,360995.2422667297,360995.2422667297,0.0,11657.7,0.0,0.0,0.0,,,,360995.2422667297,360995.2422667297,,lido,2023-06-03 00:34:01.806006
71,Lido,wstETH/WETH: Velodrome,Lido - wstETH/WETH: Velodrome,0.0,During Program,Partner Fund,2023-04-07,0,26419337.86396259,26419337.86396259,26358531.31817928,26358531.31817928,0.0,39061.41,0.0,0.0,0.0,,,,26358531.31817928,26358531.31817928,,lido,2023-06-03 00:34:01.806006
72,Lido,wstETHCRV: Curve,Lido - wstETHCRV: Curve,0.0,During Program,Partner Fund,2023-04-14,0,20063383.782029804,20063383.782029804,20101344.17928907,20101344.17928907,0.0,26000.0,0.0,0.0,0.0,,,,20101344.17928907,20101344.17928907,,lido,2023-06-03 00:34:01.806006
74,Lyra,Lyra,Lyra,0.0,During Program,Governance - Phase 0,2022-08-02,0,-6947088.57647692,-6947088.57647692,-6820737.271593188,-6820737.271593188,1305468.935835541,1611791.6864401402,257775.40899999999,36000.0,3000000.0,,,0.0,-6820737.271593188,-6820737.271593188,,lyra,2023-06-03 00:34:01.806006
85,Overnight,USD+/USDC: Velodrome,Overnight - USD+/USDC: Velodrome,0.0,During Program,Governance - Season 1,2023-01-10,0,1944962.1658127531,1944962.1658127531,3483168.169639238,3483168.169639238,0.0,100861.26000000001,0.0,0.0,0.0,,,,3483168.169639238,3483168.169639238,,overnight,2023-06-03 00:34:01.806006
86,Overnight,USD+/DOLA: Velodrome,Overnight - USD+/DOLA: Velodrome,0.0,During Program,Governance - Season 1,2023-01-30,0,10802132.629470091,10802132.629470091,11254195.315063952,11254195.315063952,0.0,83734.14,0.0,0.0,0.0,,,,11254195.315063952,11254195.315063952,,overnight,2023-06-03 00:34:01.806006
