_col15,_col22,_col29,_col36,_col8,announce_date,app_name,category,end_date,gas_fee_eth_per_day,gas_fee_eth_per_day_after,gas_fee_eth_per_day_prev,gas_fee_usd_per_day,gas_fee_usd_per_day_after,gas_fee_usd_per_day_prev,incentive_type,incremental_addr_per_day,incremental_addr_per_day_after,incremental_gas_fee_eth_per_day,incremental_gas_fee_eth_per_day_after,incremental_gas_fee_usd_per_day,incremental_gas_fee_usd_per_day_after,incremental_l1_gas_used_per_day,incremental_l1_gas_used_per_day_after,incremental_l2_gas_used_per_day,incremental_l2_gas_used_per_day_after,incremental_txs_per_day,incremental_txs_per_day_after,l1_gas_used_per_day,l1_gas_used_per_day_after,l1_gas_used_per_day_prev,l2_gas_used_per_day,l2_gas_used_per_day_after,l2_gas_used_per_day_prev,num_addr_per_day,num_addr_per_day_after,num_addr_per_day_prev,num_op,op_source,start_date,txs_per_day,txs_per_day_after,txs_per_day_prev,last_updated
|,|,|,|,|,2022-08-10,Kwenta,['Perpetuals'],2023-08-30,5.598670127407489,3.5346461339690443,0.06312338954119776,8887.419311199052,5610.954314937872,100.20308723860437,['Trades/Swaps'],515.8958990536278,459.37931034482756,5.535546737866292,3.4715227444278467,8787.216223960448,5510.751227699268,220786568.90851736,163674106.4827586,6856749001.70347,5155150068.896552,2217.1748535376296,2373.8177339901476,225628232.90851736,168515770.4827586,4841664.0,6895058761.70347,5193459828.896552,38309760.0,518.8958990536278,462.37931034482756,3.0,900000,['Phase 0'],2022-08-16,2220.460567823344,2377.103448275862,3.2857142857142856,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-08-13,Celer,['Cross-Chain / Bridging'],,0.19098497831410577,,0.10762205910934816,303.17263667822084,,170.8409934275466,"['Liquidity Providing / Deposits, Bridging']",-8.175177304964535,,0.08336291920475761,,132.33164325067423,,1942645.35035461,,14663572.057446808,,67.54208037825063,,8216904.283687944,,6274258.933333334,61707683.62411348,,47044111.56666667,65.19148936170212,,73.36666666666666,1000000,['Phase 0'],2022-08-15,308.77541371158395,,241.23333333333332,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-08-15,Slingshot,['DEX (Decentralized Exchange)'],,0.21416292622052788,,0.09366704521575044,339.96568522899935,,148.68857916779817,['Trades/Swaps'],127.21013460015843,,0.12049588100477744,,191.27710606120118,,4843702.286619161,,151368323.9661124,,517.1409342834521,,11583363.619952494,,6739661.333333333,348861559.2327791,,197493235.26666668,664.7434679334917,,537.5333333333333,300000,['Phase 0'],2022-08-15,1295.8076009501187,,778.6666666666666,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-08-25,Synthetix,"['Synthetic Assets, Perpetuals']",2023-08-30,100.55974117838598,9.115662648076377,25.421709812483677,159630.15597273753,14470.349995491602,40354.83241013633,['Liquidity Providing / Deposits'],979.6185983827495,-510.6379310344828,75.1380313659023,-16.3060471644073,119275.3235626012,-25884.482414644728,3469468532.0068283,-1127984449.0988507,59016170869.52623,-9649372342.191956,2517.2747529200365,-1450.0436781609194,5344575900.1401615,747122919.0344827,1875107368.1333334,90742093314.95956,22076550103.24138,31725922445.433334,2553.1185983827495,1062.8620689655172,1573.5,9000000,['Phase 0'],2022-08-25,5857.00808625337,1889.6896551724137,3339.733333333333,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-08-29,Pika Protocol,['Perpetuals'],,2.876661254387355,,0.14091932749394015,4566.458498575402,,223.69761461026903,"['Liquidity Providing / Deposits, Trades/Swaps']",965.17542997543,,2.735741926893415,,4342.760883965133,,118546250.87633087,,3268300037.251106,,2421.7270270270274,,130474001.54299754,,11927750.666666666,3665993421.651106,,397693384.4,1114.97542997543,,149.8,900000,['Phase 0'],2022-08-29,3373.027027027027,,951.3,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-09-06,1inch,['DEX (Decentralized Exchange)'],2022-09-06,4.258416816998624,1.5535208737913202,1.5824247420654023,6759.879577340517,2466.0841056690642,2511.966572615973,['Retroactive Airdrop'],350.3,348.2655172413793,2.6759920749332213,-0.02890386827408209,4247.913004724544,-45.88246694690861,181147848.4,9423610.882758632,3296334316.4666667,468191857.156322,2018.5,385.1896551724137,300358932.0,128634694.48275863,119211083.6,5384043750.0,2555901290.6896553,2087709433.5333333,759.0,756.9655172413793,408.7,300000,['Phase 0'],2022-09-06,3156.0,1522.6896551724137,1137.5,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-09-09,Pickle Finance,['Yield Aggregator'],,0.2993411512131511,,0.23265088151633648,475.17897418260935,,369.313763822912,['Liquidity Providing / Deposits'],5.659052453468697,,0.0666902696968146,,105.86521035969736,,4570445.514720811,,350815530.6781726,,33.5253807106599,,14779708.314720811,,10209262.8,982703854.8781726,,631888324.2,11.99238578680203,,6.333333333333333,200000,['Season 1'],2022-09-09,104.0253807106599,,70.5,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-09-12,Aelin,['Other DeFi'],2022-09-14,0.19404515681460574,0.06513699473488169,0.13959821092636843,308.03041341486426,103.39951661848018,221.60045285081725,['Other'],2.9000000000000004,-2.479310344827586,0.054446945888237314,-0.07446121619148674,86.42996056404701,-118.20093623233707,3645149.0666666664,-4287554.657471265,46265422.133333325,-48637412.29195402,5.966666666666667,-4.734482758620689,13121424.0,5188720.275862069,9476274.933333334,145997154.66666666,51094320.24137931,99731732.53333333,9.0,3.6206896551724137,6.1,900000,['Phase 0'],2022-09-12,15.666666666666666,4.9655172413793105,9.7,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-09-13,Beefy Finance,['Yield Aggregator'],,3.4478456698957127,,1.1007374581390152,5473.165857488108,,1747.328404675059,"['DEX Liquidity, Liquidity Providing / Deposits']",-139.40493197278911,,2.3471082117566975,,3725.837452813049,,52159086.60612245,,582441327.0340133,,-167.32585034013607,,132726979.80612245,,80567893.2,3845574503.867347,,3263133176.8333335,198.46173469387756,,337.8666666666667,650000,['Season 1'],2022-09-13,518.5408163265306,,685.8666666666667,2023-10-10 12:10:04.912777+00:00
|,|,|,|,|,2022-09-14,Polynomial Protocol,['Options'],,0.16416996020098612,,0.33149746355251203,260.6060441865417,,526.2244233264639,"['Retroactive Airdrop, Liquidity Providing / Deposits']",239.5087809036658,,-0.1673275033515259,,-265.61837913992224,,-18632482.772037514,,225967287.15822673,,261.2635976129582,,10516937.094629155,,29149419.866666667,614308530.29156,,388341243.1333333,296.57544757033247,,57.06666666666667,900000,['Phase 0'],2022-09-14,381.19693094629156,,119.93333333333334,2023-10-10 12:10:04.912777+00:00
