,index,App Name Map,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,op_claimed,op_deployed,op_from_other_projects,op_to_other_projects,op_to_project,cumul_last_price_net_dollar_flow_at_program_end_ended,cumul_last_price_net_dollar_flow_ended,net_flows_retention,cumul_last_price_net_dollar_flow_at_program_end_live,cumul_last_price_net_dollar_flow_live,op_net_deployed
38,38,interest protocol,0.0,0.0,14630.0,14630.0,0.0,0.0,28630.0,0.0,0.0,,0.0,0.0,14630.0
39,39,jiffyscan,0.0,0.0,18994.87,18994.87,0.0,0.0,18994.87,0.0,0.0,,0.0,0.0,18994.87
40,40,karma,0.0,0.0,2500.92,25555.926025839133,0.0,0.0,25000.0,0.0,0.0,,0.0,0.0,25555.926025839133
41,41,kromatika,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,0.0
42,42,kwenta,0.0,0.0,323803.84276643733,911571.0,11570.0,0.0,900000.0,0.0,0.0,,0.0,0.0,900001.0
43,43,layer2dao,717029.1334553561,235002.9155092294,625152.1732418688,705477.8865775648,1557.3300000000002,79000.0,300673.80835120054,717029.1334553561,235002.9155092294,0.3277452819479632,0.0,0.0,703920.5565775648
44,44,lido,89515417.40884295,50346268.65694697,40782.7768576795,83358.0,12000.0,25000.0,1000000.0,89515417.40884295,50346268.65694697,0.56243125613771,0.0,0.0,71358.0
45,45,lifi,0.0,0.0,41002.0,41002.0,11570.0,0.0,100000.0,0.0,0.0,,0.0,0.0,29432.0
46,46,lyra,4086132.350966,4086132.350966,1263142.4718899978,1551329.3520695465,257775.40899999999,36000.0,3000000.0,0.0,0.0,,4086132.350966,4086132.350966,1293553.9430695465
47,47,mean finance,0.0,0.0,19545.02853434353,19545.02853434353,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,19545.02853434353
48,48,mochi,0.0,0.0,17209.380281705002,17209.380281705002,0.0,0.0,100000.0,0.0,0.0,,0.0,0.0,17209.380281705002
49,49,nested,0.0,0.0,776.867362080441,776.867362080441,0.0,0.0,72.80364604877045,0.0,0.0,,0.0,0.0,776.867362080441
50,50,okx,0.0,0.0,0.0,0.0,0.0,0.0,181804.0,0.0,0.0,,0.0,0.0,0.0
51,51,op foundation sentry wallet,0.0,0.0,566188.2217297297,588688.2217297297,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,588688.2217297297
52,52,op foundation wallet,0.0,0.0,35404108.01112663,35745254.28995177,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,35745254.28995177
53,53,optichads,0.0,0.0,60655.93506991356,60655.93506991356,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,60655.93506991356
54,54,otterspace,0.0,0.0,7000.0,7000.0,0.0,0.0,49999.99999999999,0.0,0.0,,0.0,0.0,7000.0
55,55,overnight,13379616.24872373,13379616.24872373,574725.3490960664,566961.6824092357,1300.0,23500.000000000036,400012.6824092356,0.0,0.0,,13379616.24872373,13379616.24872373,565661.6824092357
56,56,paraswap,0.0,0.0,157500.0,157500.0,0.0,0.0,450000.0,0.0,0.0,,0.0,0.0,157500.0
57,57,paytrie,0.0,0.0,409.4262928365903,409.4262928365903,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,409.4262928365903
58,58,perpetual protocol,-10198917.522739382,-10198917.522739382,5947128.928474499,6074173.773350604,13.884,0.0,9000019.72828754,0.0,0.0,,-10198917.522739382,-10198917.522739382,6074159.889350604
59,59,pickle finance,3279000.283425585,3279000.283425585,79047.05892947552,82600.0,0.0,0.0,200000.0,0.0,0.0,,3279000.283425585,3279000.283425585,82600.0
60,60,pika protocol,13891438.430980405,13891438.430980405,612902.8399460725,718699.0,0.0,0.0,900000.0,0.0,0.0,,13891438.430980405,13891438.430980405,718699.0
61,61,polynomial protocol,2294245.0333099994,2294245.0333099994,161771.59683504776,362836.9897579419,37575.5,119697.953146,900000.0,0.0,0.0,,2294245.0333099994,2294245.0333099994,325261.4897579419
62,62,pooltogether,31417365.80686004,199452.11312273145,811612.3021723246,1842488.0,0.0,0.0,1000000.0,58763945.08730577,27546031.39356846,0.4687573537250305,-27346579.28044573,-27346579.28044573,1842488.0
63,63,premia,0.0,0.0,0.0,0.0,0.0,0.0,235000.0,0.0,0.0,,0.0,0.0,0.0
64,64,qidao,8515280.841458803,8515280.841458803,410463.9297935634,480031.22942299146,15955.337472,61092.0,750254.3352601156,0.0,0.0,,8515280.841458803,8515280.841458803,464075.89195099147
65,65,"qidao,kyberswap",0.0,0.0,52008.10950235506,64008.10950235506,44000.0,12000.0,100000.0,0.0,0.0,,0.0,0.0,20008.10950235506
66,66,quests on coinbase wallet,0.0,0.0,104050.0,104050.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,104050.0
67,67,quests on coinbase wallet - quest #3 attestation,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,6.0
68,68,quix,0.0,0.0,93391.93842453734,93391.93842453734,0.0,0.0,1010066.6339568252,0.0,0.0,,0.0,0.0,93391.93842453734
69,69,rainbow,0.0,0.0,114908.45974050317,114908.45974050317,0.0,0.0,420069.0,0.0,0.0,,0.0,0.0,114908.45974050317
70,70,revert finance,4526685.207355611,1122212.7760083426,233874.89397986687,240838.05391830354,0.0,0.0,240007.6832824366,4526685.207355611,1122212.7760083426,0.24791049622465672,0.0,0.0,240838.05391830354
71,71,rocket pool,35461534.298334986,28912605.69844518,433175.9124493904,467824.63,0.0,2143.0,600000.0,5813561.36282493,-735367.2370648755,0.0,29647972.935510054,29647972.935510054,467824.63
72,72,rotki,0.0,0.0,351802.6904427529,351802.6904427529,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,351802.6904427529
73,73,rubicon,9090736.57116614,-1094191.821427839,716336.3603198701,793865.5450721123,0.0,0.0,900254.3352601156,9090736.57116614,-1094191.821427839,0.0,0.0,0.0,793865.5450721123
74,74,slingshot,0.0,0.0,123497.0,134336.0,0.0,0.0,300000.0,0.0,0.0,,0.0,0.0,134336.0
