op_source,app_name,category,incentive_type,announce_date,start_date,end_date,num_op,_col8,txs_per_day,num_addr_per_day,gas_fee_eth_per_day,gas_fee_usd_per_day,l2_gas_used_per_day,l1_gas_used_per_day,_col15,txs_per_day_prev,num_addr_per_day_prev,gas_fee_eth_per_day_prev,gas_fee_usd_per_day_prev,l2_gas_used_per_day_prev,l1_gas_used_per_day_prev,_col22,txs_per_day_after,num_addr_per_day_after,gas_fee_eth_per_day_after,gas_fee_usd_per_day_after,l2_gas_used_per_day_after,l1_gas_used_per_day_after,_col29,incremental_txs_per_day,incremental_addr_per_day,incremental_gas_fee_eth_per_day,incremental_gas_fee_usd_per_day,incremental_l2_gas_used_per_day,incremental_l1_gas_used_per_day,_col36,incremental_txs_per_day_after,incremental_addr_per_day_after,incremental_gas_fee_eth_per_day_after,incremental_gas_fee_usd_per_day_after,incremental_l2_gas_used_per_day_after,incremental_l1_gas_used_per_day_after
Partner Fund,Velodrome,DEX (Decentralized Exchange),Token Staking / Locking,2022-07-13,2022-07-13,2022-11-17,3000000,|,6590.0546875,789.484375,16.345697207494105,26292.877297076582,2.1095916765109375e+10,1.04695872584375e+09,|,2114.8333333333335,204.58333333333334,8.65992382309247,13929.923673014588,4.672023518533334e+09,2.4269119666666666e+08,|,5079.586206896552,1220.6206896551723,31.31875708645239,50377.798310952676,4.596487762113793e+10,2.3130779726896553e+09,|,4475.221354166666,584.9010416666666,7.685773384401635,12362.953624061995,1.6423893246576042e+10,8.042675291770834e+08,|,2964.752873563218,1016.037356321839,22.65883326335992,36447.87463793809,4.12928541026046e+10,2.0703867760229886e+09
Phase 0,Celer,Cross-Chain / Bridging,"Bridging, Liquidity Providing / Deposits",2022-08-13,2022-08-15,,1000000,|,271.42194092827003,61.29535864978903,0.12630631601532832,203.1700714065737,4.984192823206751e+07,6.839394548523207e+06,|,240.56666666666666,72.76666666666667,0.10321936055364696,166.0335406479617,4.44961429e+07,5.9648668e+06,|,,,,,,,|,30.85527426160337,-11.471308016877636,0.023086955461681366,37.136530758612,5.345785332067512e+06,874527.7485232074,|,,,,,,
Phase 0,Slingshot,DEX (Decentralized Exchange),Trades/Swaps,2022-08-15,2022-08-15,,300000,|,1560.1054852320676,700.5443037974684,0.21460720537339392,345.20649968752366,4.0562765824472576e+08,1.4079406666666666e+07,|,778.1,537.1666666666666,0.09362309636838594,150.59746633858828,1.973568394e+08,6.7349256e+06,|,,,,,,,|,782.0054852320676,163.37763713080176,0.12098410900500799,194.60903334893538,2.0827081884472576e+08,7.344481066666666e+06,|,,,,,,
Phase 0,Synthetix,"Perpetuals, Synthetic Assets",Liquidity Providing / Deposits,2022-08-25,2022-08-25,,9000000,|,3378,1730.9625,33.77069301029716,54321.86074937768,3.29026025983e+10,2.01406212016e+09,|,1340.7666666666667,722,6.085030578875159,9788.07819136468,7.827783150516666e+09,4.481635101333333e+08,|,,,,,,,|,2037.2333333333333,1008.9625000000001,27.685662431422,44533.782558013,2.5074819447783333e+10,1.5658986100266666e+09,|,,,,,,
Phase 0,Pika Protocol,Perpetuals,"Liquidity Providing / Deposits, Trades/Swaps",2022-08-29,2022-08-29,,900000,|,2860.660714285714,1012.0178571428571,0.8490054644124673,1365.6680542271438,1.8740309961301022e+09,5.107159354081633e+07,|,475.3666666666667,74.9,0.06207629316030851,99.85284435423397,1.8275032268333334e+08,5.2265918e+06,|,,,,,,,|,2385.2940476190474,937.1178571428571,0.7869291712521588,1265.81520987291,1.6912806734467688e+09,4.584500174081633e+07,|,,,,,,
Phase 0,1inch,DEX (Decentralized Exchange),Retroactive Airdrop,2022-09-06,2022-09-06,2022-09-06,300000,|,1578,379.5,2.110825491307282,3395.3691258295544,2.636301961e+09,1.48972268e+08,|,695.4897959183673,249.3265306122449,0.9641934868159899,1550.953790326562,1.269498715489796e+09,7.265876285714285e+07,|,1050.595238095238,521.9047619047619,1.0607152064812255,1706.213838242861,1.7236476405952382e+09,8.774758247619048e+07,|,882.5102040816327,130.1734693877551,1.146632004491292,1844.4153355029923,1.366803245510204e+09,7.631350514285715e+07,|,355.1054421768707,272.578231292517,0.0965217196652356,155.26004791629884,4.541489251054423e+08,1.5088819619047627e+07
Season 1,Pickle Finance,Yield Aggregator,Liquidity Providing / Deposits,2022-09-09,2022-09-09,,200000,|,169.65945945945947,18.17837837837838,0.27006860330028326,434.4189518640801,1.172613849091892e+09,1.486644147027027e+07,|,70.5,6.333333333333333,0.12341288152757882,198.51583628966222,4.780988062e+08,6.037367866666666e+06,|,,,,,,,|,99.15945945945947,11.845045045045048,0.14665572177270444,235.90311557441788,6.94515042891892e+08,8.829073603603605e+06,|,,,,,,
Phase 0,Aelin,Other DeFi,Other,2022-09-12,2022-09-12,2022-09-14,900000,|,15.666666666666666,9,0.09821523070676308,157.98414572937523,7.722872466666667e+07,6.595862666666667e+06,|,9.387096774193548,5.903225806451613,0.06631427073643067,106.66984475392681,4.930140551612903e+07,4.515753548387097e+06,|,4.9655172413793105,3.6206896551724137,0.03170995131921458,51.00705393894906,2.578651824137931e+07,2.5362220689655175e+06,|,6.279569892473118,3.096774193548387,0.031900959970332404,51.31430097544842,2.792731915053764e+07,2.0801091182795698e+06,|,-4.4215795328142375,-2.2825361512791993,-0.034604319417216096,-55.66279081497775,-2.3514887274749722e+07,-1.9795314794215797e+06
Season 1,Beefy Finance,Yield Aggregator,"DEX Liquidity, Liquidity Providing / Deposits",2022-09-13,2022-09-13,,650000,|,530.8585365853659,195.49756097560976,1.7322789871497706,2786.458006364577,2.16536009777561e+09,7.160752952195121e+07,|,685.7,337.7,0.5614418330938337,903.1074685645067,2.1550480429333334e+09,4.169997186666667e+07,|,,,,,,,|,-154.84146341463418,-142.20243902439023,1.170837154055937,1883.3505378000705,1.0312054842276573e+07,2.9907557655284546e+07,|,,,,,,
Phase 0,Polynomial Protocol,Options,"Liquidity Providing / Deposits, Retroactive Airdrop",2022-09-14,2022-09-14,,900000,|,688.1944444444445,548.7111111111111,0.20544784246410572,330.47320308743105,1.1198837456555555e+09,1.4000120288888888e+07,|,119.93333333333334,57.06666666666667,0.16875811206035188,271.4559236576841,2.4937056586666667e+08,1.4738396133333333e+07,|,,,,,,,|,568.2611111111112,491.64444444444445,0.03668973040375384,59.017279429746964,8.705131797888888e+08,-738275.8444444444,|,,,,,,
Season 1,XToken,Yield Aggregator,Liquidity Providing / Deposits,2022-09-19,2022-09-19,,900000,|,19.365714285714287,12.537142857142857,0.011147861751825743,17.931897149737,3.1222175394285716e+07,536539.2914285715,|,1.3333333333333333,1.3333333333333333,4.523277000710933e-05,0.07275918894781357,498749.3333333333,5539.333333333333,|,,,,,,,|,18.032380952380954,11.203809523809523,0.011102628981818633,17.859137960789187,3.0723426060952384e+07,530999.9580952381,|,,,,,,
