chain_name                     ,display_name         ,mainnet_chain_id ,public_mainnet_launch_date ,op_based_version ,has_mods ,is_law_of_chains ,is_op_chain ,raas_deployer ,rpc_url                                ,product_website                            ,defillama_slug    ,l2beat_slug        ,growthepie_alias     ,gas_token ,chain_layer ,da_layer          ,is_in_superchain_registry_repo ,batchinbox_from                            ,batchinbox_to                              ,outputoracle_from                          ,outputoracle_to_proxy                      ,l1_standard_bridge                         ,system_config_proxy
lyra                           ,Lyra                 ,             957 ,2023-12-13                 ,bedrock          ,yes      ,                 ,            ,conduit       ,https://rpc.lyra.finance/              ,https://www.lyra.finance/                  ,protocols/lyra-v2 ,lyra               ,                     ,ETH       ,L2          ,ethereum celestia ,yes                            ,0x14e4E97bDc195d399Ad8E7FC14451C279FE04c8e ,0x5f7f7f6DB967F0ef10BdA0678964DBA185d16c50 ,0x03e820562ffd2e0390787caD706EaF1FF98C2608 ,0x1145E7848c8B64c6cab86Fd6D378733385c5C3Ba ,0x61E44dC0dae6888B5a301887732217d5725B0bFf ,0x0e4C4CDd01ceCB01070E9Fdfe7600871e4ae996e
mode network                   ,Mode                 ,           34443 ,2024-01-31                 ,bedrock          ,no       ,                 ,yes         ,conduit       ,https://mainnet.mode.network           ,https://www.mode.network/                  ,Mode              ,mode               ,                     ,ETH       ,L2          ,ethereum          ,yes                            ,0x99199a22125034c808ff20f377d91187E8050F2E ,0x24E59d9d3Bd73ccC28Dc54062AF7EF7bFF58Bd67 ,0x674F64D64Ddc198db83cd9047dF54BF89cCD0ddB ,0x4317ba146D4933D889518a3e5E11Fe7a53199b04 ,0x735aDBbE72226BD52e818E7181953f42E3b0FF21 ,0x5e6432F18Bc5d497B1Ab2288a025Fbf9D69E2221
ancient8 chain                 ,Ancient8             ,                 ,                           ,bedrock          ,yes      ,                 ,            ,conduit       ,                                       ,https://ancient8.gg/                       ,                  ,ancient            ,                     ,ETH       ,L2          ,celestia          ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
debank chain                   ,DeBank               ,             116 ,                           ,bedrock          ,yes      ,                 ,            ,              ,                                       ,https://debank.com/                        ,                  ,debank             ,                     ,unknown   ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
rollux                         ,Rollux               ,             570 ,2023-06-29                 ,bedrock          ,yes      ,                 ,            ,              ,https://rpc.rollux.com                 ,https://rollux.com/                        ,Rollux            ,                   ,                     ,SYS       ,L2          ,syscoin           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
unidex molten                  ,Molten Network       ,                 ,                           ,unknown          ,unknown  ,                 ,            ,caldera       ,                                       ,https://www.unidex.exchange/molten-network ,                  ,                   ,                     ,unknown   ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
stealthchain                   ,StealthChain         ,                 ,                           ,unknown          ,unknown  ,                 ,            ,              ,                                       ,stealthchain.org                           ,                  ,stealthchain       ,                     ,unknown   ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
redstone                       ,Redstone             ,                 ,                           ,bedrock          ,yes      ,                 ,            ,              ,                                       ,https://redstone.xyz/                      ,                  ,                   ,                     ,unknown   ,L2          ,op-plasma         ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
celo                           ,Celo                 ,                 ,                           ,bedrock          ,yes      ,                 ,            ,              ,                                       ,https://celo.org/                          ,                  ,                   ,                     ,CELO      ,L2          ,eigenda           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
swanchain                      ,SwanChain            ,                 ,                           ,bedrock          ,unknown  ,                 ,            ,              ,                                       ,https://swanchain.io/                      ,                  ,                   ,                     ,unknown   ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
hypr network                   ,Hypr                 ,             881 ,2023-01-17                 ,bedrock develop  ,yes      ,                 ,            ,              ,https://rpc.hypr.network               ,https://www.hypr.network/                  ,                  ,hypr               ,                     ,ETH       ,L2          ,celestia          ,no                             ,0x994c288de8418c8D3c5a4D21A69f35bF9641781C ,0x0C57B7f3bAc278bE091431B52470fBAdBc4240E6 ,0xeF2169180a2eda91B695eA5e5C4f4547C013840c ,0x3E4F4Eb77a9c1f88c0e1F5aDCc9d3521Ce157FdD ,0x1bBde518ad01BaABFE30020407A7630FB17B545d ,0xBB08cf90DEb93492b463f1Ee5DA9453e51643586
metal                          ,Metal                ,                 ,                           ,bedrock          ,unknown  ,                 ,            ,              ,                                       ,https://metall2.com/                       ,                  ,metal              ,                     ,unknown   ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
lisk                           ,Lisk                 ,                 ,                           ,bedrock          ,no       ,                 ,yes         ,gelato        ,                                       ,https://lisk.com/                          ,                  ,lisk               ,                     ,ETH       ,L2          ,ethereum          ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
build on bitcoin               ,BOB                  ,                 ,                           ,                 ,yes      ,                 ,            ,              ,                                       ,https://www.gobob.xyz/                     ,                  ,bob                ,                     ,unknown   ,L2          ,ethereum bitcoin  ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
mint blockchain                ,Mint Blockchain      ,                 ,                           ,                 ,unknown  ,                 ,            ,              ,                                       ,https://www.mintchain.io/                  ,                  ,mint               ,                     ,unknown   ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
foam space                     ,FOAM                 ,                 ,                           ,                 ,yes      ,                 ,            ,              ,                                       ,https://foam.space/                        ,                  ,                   ,                     ,unknown   ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
blast                          ,Blast                ,                 ,                           ,bedrock          ,yes      ,                 ,            ,              ,                                       ,https://blast.io/                          ,protocols/blast   ,blast              ,                     ,ETH       ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
rss3                           ,RSS3 Value Sublayer  ,                 ,                           ,                 ,yes      ,                 ,            ,              ,                                       ,https://rss3.io/                           ,                  ,rss3               ,                     ,unknown   ,L2          ,celestia          ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
zentachain                     ,Zentachain           ,                 ,                           ,                 ,unknown  ,                 ,            ,              ,                                       ,https://zentachain.io/                     ,                  ,zentachain         ,                     ,unknown   ,L2          ,unknown           ,no                             ,                                           ,                                           ,                                           ,                                           ,                                           ,
