time_period,l2_gas_used,num_txs,example_contract,contract_address,creator_address,fees_eth,trace_creator_address,chain,num_addr
prior 30,"133,805",5,0xcbf9df85bdef010f30757dbebcf8619dd72b9ee6,0xcbf9df85bdef010f30757dbebcf8619dd72b9ee6,0xd5be83b342b5ad3d661bc47d9531416a5ed94ede,0.0000022,0xd5be83b342b5ad3d661bc47d9531416a5ed94ede,Mode,5
prior 30,"61,401",1,0x260fb7648536f118671846c0152c57cb944f58c2,0x260fb7648536f118671846c0152c57cb944f58c2,0x2f8516eec26f598e4107b4c6afa482ee661facf5,0.0000005481053,0x2f8516eec26f598e4107b4c6afa482ee661facf5,Mode,1
last 7,"521,340",1,0xc9ad410090da027d5049e021cf3c7eeed6d7a41d,0xc9ad410090da027d5049e021cf3c7eeed6d7a41d,0x7c817f5e30aa68db39b6130e7ca247c5c4746084,0.00000091,0xa6b71e26c5e0845f74c812102ca7114b6a896ab2,Mode,1
last 7,"2,017,568",3,0x27df6ecfed84c76bf7f3efa8e3798d0a73a60c2b,0x27df6ecfed84c76bf7f3efa8e3798d0a73a60c2b,0x9b506a03bbff2a842866b10bc6732da72640cd45,0.0000031087045,0x9b506a03bbff2a842866b10bc6732da72640cd45,Mode,1
last 7,"443,359",12,0x56a56b71a3909b75ff7d55801cb96bf2f838486f,0x56a56b71a3909b75ff7d55801cb96bf2f838486f,0x598e0c1ef93c5ae08d71969ccd8839b2ff63add6,0.000003065,0x598e0c1ef93c5ae08d71969ccd8839b2ff63add6,Mode,12
prior 30,"43,973",1,0xd5a8f9c1e36fbba744dab0e5ebd4d4d63b6bc040,0xd5a8f9c1e36fbba744dab0e5ebd4d4d63b6bc040,0xb26926424760721122f10d9541738eac365e43f6,0.00000037,0xb26926424760721122f10d9541738eac365e43f6,Mode,1
last 7,"64,753",1,0xaa0b2475947cbde497d6b3053dc5e0c6ec5545c8,0xaa0b2475947cbde497d6b3053dc5e0c6ec5545c8,0x5c1c4d9a24d2620fcca9317b39d99bcbf75cca58,0.0000003763007,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Mode,1
prior 30,"43,973",1,0x3394d02afd7343cebe9afaacd61b20eb27b80398,0x3394d02afd7343cebe9afaacd61b20eb27b80398,0x7b1e5dc13f763d1245290772da84732cf64d2aab,0.00000032,0x7b1e5dc13f763d1245290772da84732cf64d2aab,Mode,1
prior 30,"79,804",2,0xffd0506b647cf3bd3cc85a402257737134c55e76,0xffd0506b647cf3bd3cc85a402257737134c55e76,0x74866b496007a3be1c1f53f0b58bed9241d1579f,0.00000052279047,0x00000000001594c61dd8a6804da9ab58ed2483ce,Mode,1
prior 30,"173,011",1,0x0ec64e3174100c48e107c9503879df4f79f007b2,0x0ec64e3174100c48e107c9503879df4f79f007b2,0xc224cd7ab43c5150dfc60b153a433a43600107f2,0.0000004034,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Mode,1
prior 30,"57,758",2,0x53312e7a32e742803244f005c14ccac52fee7779,0x53312e7a32e742803244f005c14ccac52fee7779,0xbde3ad8d035905d5922f38a1fff7904387514ec4,0.00000073,0xbde3ad8d035905d5922f38a1fff7904387514ec4,Mode,1
prior 30,"468,550",11,0x84b2b4e94fccd989d8f573019e26ca9bd7fc3911,0x84b2b4e94fccd989d8f573019e26ca9bd7fc3911,0x7bdd9727390e38ab028df0a94c8b2e0799abb81f,0.0000023,0x7bdd9727390e38ab028df0a94c8b2e0799abb81f,Mode,1
prior 30,"9,757,150",377,0xfe6af84f2fa6f2c24c7afb05337f7c2527dd2709,0xfe6af84f2fa6f2c24c7afb05337f7c2527dd2709,0x04620bb0ccf341ff224259f7b9fb0df78df0fcaa,0.000170671074,0xff58b616febd32cbdbfa8ed63847aeae02cd87d6,Mode,107
prior 30,"374,590",3,0x0fbac71bb31d6d2b0959b7d7645c80aafafc3b6f,0x0fbac71bb31d6d2b0959b7d7645c80aafafc3b6f,0x3164ccba11fe365248d24b91d9e66b7766729267,0.00000220600086,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Mode,1
last 7,"56,672",1,0x0678c439ff81574e2949cfb01e4da2cee9c7969c,0x0678c439ff81574e2949cfb01e4da2cee9c7969c,0x32cb9fd13af7635cc90d0713a80188b366a28205,0.00000038,0x557f46f67a36e16ff27e0a39c5da6bfcb4ff89c0,Mode,1
prior 30,"61,413",1,0xf58be2bd4b3a40fa937e83e29e8ef63d1b9b97c4,0xf58be2bd4b3a40fa937e83e29e8ef63d1b9b97c4,0x08e79559afae4703c1711ed4c30c202414c017d0,0.00000045,0x08e79559afae4703c1711ed4c30c202414c017d0,Mode,1
last 7,"295,956",1,0x4a4583ea9a39ef3fd8b8b2308bd19bc306b8147a,0x4a4583ea9a39ef3fd8b8b2308bd19bc306b8147a,0x8acc3a5defda5b16bf4f3be0450a9678e4667384,0.00000025,0x3fa761492f411ebc64a81fcf3292fdc0b677c00f,Mode,1
prior 30,"43,900",1,0xb066a1e2e220de8405a45f3b95b0180bab4467db,0xb066a1e2e220de8405a45f3b95b0180bab4467db,0x63a43a24de2ce6b1bfed393f6fad714b172a977e,0.00000044,0x63a43a24de2ce6b1bfed393f6fad714b172a977e,Mode,1
prior 30,"50,287,386",219,0x751d27b05660731fccad1497bf60222460cf9221,0x751d27b05660731fccad1497bf60222460cf9221,0x43d86b9a4c67eeb59883fd5b3628a640b1d630d2,0.00059,0x43d86b9a4c67eeb59883fd5b3628a640b1d630d2,Mode,74
