dt,chain,network,gas_token_symbol,num_raw_txs,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_users_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,l1_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,compressedtxsize_approx_l2_per_day,compressedtxsize_approx_user_txs_l2_per_day,num_blocks,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,avg_l1_gas_price_on_l2,avg_l2_gas_price,base_fee_gwei,equivalent_l1_tx_fee,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,is_initial_day,chain_name,chain_raw
2024-04-30 00:00:00+00:00,Fraxtal,mainnet,frxETH,46986,43200,26,3758,3711,177,4199805448.000000000,22956076.000000000,1147803.799999994,,13006513.0,1147803.799999994,0E-9,22956076.000000000,1762249.0,1714770336.000000000,0.038847142,0.016192241,0.016192286746791996,,0.022655500,3.3E-8,0.020178909,1434754.750000000,1434754.750000000,43200,0.05,0.0,14.107190399,0.013211588,4.4E-8,17.111049668,86400,0.08699074074074074,0.04349537037037037,97217.718703704,48608.859351852,8.99E-7,4.50E-7,0,frax,frax
2024-02-21 00:00:00+00:00,Fraxtal,mainnet,frxETH,46301,43200,9,3090,3089,13,2799059544.000000000,17878140.000000000,8939070.0,,12502770.0,8939070.0,0E-9,17878140.000000000,1266478.0,316840745.000000000,0.531806142,0.363903704,0.36390370316557064,,0.167902527,1.5E-8,0.167606147,1117383.750000000,1117383.750000000,43200,0.5,0.0,40.709347076,0.529926903,5.6E-8,12.975996418,86400,0.07152777777777777,0.03576388888888889,64793.045000000,32396.522500000,0.000012310,0.000006155,0,frax,frax
2024-04-01 00:00:00+00:00,Fraxtal,mainnet,frxETH,47299,43200,17,4077,4011,162,24455507835.000000000,55347956.000000000,2767397.800000012,,15533074.0,2767397.800000012,0E-9,55347956.000000000,4293166.0,21972595624.000000000,0.070375007,0.060341227,0.06034123700446485,,0.010034463,0.000002970,0.001167860,3459247.250000000,3459247.250000000,43200,0.05,0.0,21.804323543,0.000456651,1.36E-7,411.099111274,86400,0.094375,0.0471875,566099.718402778,283049.859201389,0.000001629,8.15E-7,0,frax,frax
2024-04-22 00:00:00+00:00,Fraxtal,mainnet,frxETH,46861,43200,23,3636,3594,165,14715158488.000000000,22742148.000000000,1137107.3999999973,,13286576.0,1137107.3999999973,0E-9,22742148.000000000,2043892.0,12229667616.000000000,0.026856844,0.011902918,0.01190294465379322,,0.014954520,0.000002129,0.012127681,1421384.250000000,1421384.250000000,43200,0.05,0.0,10.467740034,0.001222756,1.88E-7,75.878843379,86400,0.08416666666666667,0.042083333333333334,340628.668703704,170314.334351852,6.22E-7,3.11E-7,0,frax,frax
2024-02-22 00:00:00+00:00,Fraxtal,mainnet,frxETH,45925,43200,2,2723,2722,22,2787090757.000000000,17258844.000000000,8629422.0,,12451963.0,8629422.0,0E-9,17258844.000000000,1219059.0,305639324.000000000,0.562090813,0.422458957,0.42245895754064566,,0.139631912,2.0E-8,0.139376930,1078677.750000000,1078677.750000000,43200,0.5,0.0,48.955649352,0.456851711,7.8E-8,15.005223014,86400,0.06303240740740741,0.031516203703703706,64515.989745370,32257.994872685,0.000013011,0.000006506,0,frax,frax
2024-04-05 00:00:00+00:00,Fraxtal,mainnet,frxETH,47438,43200,21,4214,4109,193,6102712321.000000000,47934544.000000000,2396727.2000000197,,15229177.0,2396727.2000000197,0E-9,47934544.000000000,3987333.0,3618742295.000000000,0.051077735,0.047102331,0.047102294209341984,,0.003976062,4.5E-8,0.001702678,2995909.000000000,2995909.000000000,43200,0.05,0.0,19.652755728,0.001098569,2.6E-8,55.774829338,86400,0.0975462962962963,0.04877314814814815,141266.488912037,70633.244456019,0.000001182,5.91E-7,0,frax,frax
2024-04-14 00:00:00+00:00,Fraxtal,mainnet,frxETH,49531,43200,44,6283,6203,198,14080992762.000000000,33417524.000000000,1670876.200000003,,13945832.0,1670876.200000003,0E-9,33417524.000000000,2693880.0,11594359860.000000000,0.077003114,0.021727782,0.02172780253898264,,0.055275840,0.000001915,0.037909533,2088595.250000000,2088595.250000000,43200,0.05,0.0,13.003837471,0.004767429,1.80E-7,133.428269735,86400,0.14543981481481483,0.07271990740740741,325948.906527778,162974.453263889,0.000001782,8.91E-7,0,frax,frax
2024-02-08 00:00:00+00:00,Fraxtal,mainnet,frxETH,43207,43200,0,5,5,4,2481975700.000000000,53476.000000000,53476.0,,11234191.0,53476.0,0E-9,53476.000000000,2191.0,604160.000000000,0.003417515,0.003160314,0.0031603136118954437,,0.000257202,0E-9,0.000257202,3342.250000000,3342.250000000,43200,1.0,0.0,59.097793625,0.425717945,2.54E-7,0.034816022,86400,0.00011574074074074075,5.787037037037037e-05,57453.141203704,28726.570601852,7.9E-8,4.0E-8,0,frax,frax
2024-02-12 00:00:00+00:00,Fraxtal,mainnet,frxETH,43243,43200,1,42,42,4,2501311339.000000000,1452584.000000000,726292.0,,11322265.0,726292.0,0E-9,1452584.000000000,89845.0,20640666.000000000,0.445757901,0.016250989,0.01625098643430268,,0.429506912,0E-9,0.000472541,90786.500000000,90786.500000000,43200,0.5,0.0,22.375279411,20.808771994,3E-9,0.462092880,86400,0.0009722222222222222,0.0004861111111111111,57900.725439815,28950.362719907,0.000010318,0.000005159,0,frax,frax
2024-02-24 00:00:00+00:00,Fraxtal,mainnet,frxETH,46426,43200,0,3226,3226,8,2779381469.000000000,17485576.000000000,8742788.0,,12506543.0,8742788.0,0E-9,17485576.000000000,1274543.0,296367877.000000000,0.350740660,0.268015584,0.2680155869208295,,0.082725225,0E-9,0.000516689,1092848.500000000,1092848.500000000,43200,0.5,0.0,30.655620029,0.279129814,1E-9,9.054848371,86400,0.07467592592592592,0.03733796296296296,64337.534004630,32168.767002315,0.000008119,0.000004059,0,frax,frax
2024-02-26 00:00:00+00:00,Fraxtal,mainnet,frxETH,46722,43200,1,3519,3513,12,2801500535.000000000,19948340.000000000,9974170.0,,12675583.0,9974170.0,0E-9,19948340.000000000,1443099.0,319691661.000000000,0.449332436,0.408618712,0.40861870046346005,,0.040713743,4E-9,0.040358220,1246771.250000000,1246771.250000000,43200,0.5,0.0,40.967689589,0.127353145,1.9E-8,13.008290561,86400,0.08145833333333333,0.040729166666666664,64849.549421296,32424.774710648,0.000010401,0.000005201,0,frax,frax
2024-02-29 00:00:00+00:00,Fraxtal,mainnet,frxETH,47030,43200,1,3829,3829,21,2862370575.000000000,22134056.000000000,11067028.0,,12993175.0,11067028.0,0E-9,22134056.000000000,1760691.0,380366381.000000000,0.788047362,0.782362923,0.782362932455119,,0.005684385,2E-9,0.005291553,1383378.500000000,1383378.500000000,43200,0.5,0.0,70.693137530,0.014944573,3.5E-8,26.989654786,86400,0.08863425925925926,0.04431712962962963,66258.578125000,33129.289062500,0.000018242,0.000009121,0,frax,frax
2024-05-06 00:00:00+00:00,Fraxtal,mainnet,frxETH,46248,43200,119,2923,2855,194,3013317414.000000000,19664680.000000000,983234.0000000072,,12949995.0,983234.0000000072,0E-9,19664680.000000000,1661807.0,516845406.000000000,0.021025740,0.006231871,0.006231879222966075,,0.014794381,1.0E-8,0.013938328,1229042.500000000,1229042.500000000,43200,0.05,0.0,6.338144555,0.028623394,9.9E-8,3.254365888,86400,0.06766203703703703,0.03383101851851852,69752.717916667,34876.358958333,4.87E-7,2.43E-7,0,frax,frax
2024-04-25 00:00:00+00:00,Fraxtal,mainnet,frxETH,48056,43200,39,4813,4717,241,8212606979.000000000,26473160.000000000,1323657.9999999844,,13528824.0,1323657.9999999844,0E-9,26473160.000000000,2278332.0,5724935883.000000000,0.069673889,0.015010381,0.015010399575242271,,0.054664110,6.3E-8,0.015203021,1654572.500000000,1654572.500000000,43200,0.05,0.0,11.340089038,0.009548316,2.3E-8,68.328718268,86400,0.11141203703703703,0.055706018518518516,190106.643032407,95053.321516204,0.000001613,8.06E-7,0,frax,frax
2024-02-11 00:00:00+00:00,Fraxtal,mainnet,frxETH,43200,43200,0,0,0,1,2479693904.000000000,,,,11232000.0,0.0,0E-9,0E-9,0.0,0E-9,,,,,0E-9,,,0E-9,0E-9,43200,0.0,0.0,0E-9,0E-9,0E-9,0E-9,86400,0.0,0.0,57400.321851852,28700.160925926,,,0,frax,frax
2024-03-21 00:00:00+00:00,Fraxtal,mainnet,frxETH,47631,43200,25,4401,4267,180,3793718032.000000000,23887488.000000000,1194374.3999999843,,13033835.0,1194374.3999999843,0E-9,23887488.000000000,1790151.0,1309223752.000000000,0.039532446,0.036912399,0.03691234719725518,,0.002620687,1.36E-7,0.001556265,1492968.000000000,1492968.000000000,43200,0.05,0.0,30.905172781,0.002001290,1.67E-7,42.056991168,86400,0.101875,0.0509375,87817.547037037,43908.773518519,9.15E-7,4.58E-7,0,frax,frax
2024-04-18 00:00:00+00:00,Fraxtal,mainnet,frxETH,54922,43200,29,11692,11619,175,4035377312.000000000,41054228.000000000,2052711.4000000525,,13707340.0,2052711.4000000525,0E-9,41054228.000000000,2461688.0,1549253455.000000000,0.042057622,0.025203654,0.025203707277419836,,0.016854503,1.8E-8,0.014145744,2565889.250000000,2565889.250000000,43200,0.05,0.0,12.278251720,0.010878750,4.9E-8,20.267756275,86400,0.27064814814814814,0.13532407407407407,93411.511851852,46705.755925926,9.74E-7,4.87E-7,0,frax,frax
