dt,chain,network,chain_id,block_time_sec,num_raw_txs,num_blocks,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_senders_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,median_l2_eth_fees_per_tx,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,input_calldata_gas_l2_per_day,input_calldata_gas_user_txs_l2_per_day,compressedtxsize_approx_l2_per_day,compressedtxsize_approx_user_txs_l2_per_day,avg_l1_gas_price_on_l2,avg_blob_base_fee_on_l2,avg_l2_gas_price,base_fee_gwei,equivalent_l1_tx_fee,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,chain_name,chain_raw
2022-05-08,OP Mainnet,mainnet,10,2.0,87382,87382,0,719,85152,77520,6906,49998447776,570627576,570627576.0,,32428801,560363060.0,0.0,560363060,32078953,49840171528,14.77834846924785,0.000131678863538158,14.605725639985716,0.17262282926212935,14.605725639985716,,0.0,6.79837599201e-07,239358952,236943520,35664223.5,35022691.25,25.59589871623331,,0.0034635279929795286,0.0,1300.1485523962149,1.0,0.0,174764.0,0.974479869996109,0.4872399349980545,572182.4606440685,286091.2303220343,0.00016912348617847899,8.456174308923949e-05,op,op
2024-07-10,OP Mainnet,mainnet,10,2.0,503743,43200,43200,174,460366,431993,86620,213852533855,5224969711,11755345892412.0,4479878087739883.0,615302246,0.0,4479878087739883.0,5224969711,608139152,211874621820,16.36037060953374,1.07087009654925e-05,0.08089068648178536,16.27947992305196,80888.86298555027,0.1249643049866713,12.106872647282104,-12.106808613268846,5363221592,5295277496,326560606.9375,326560606.9375,6.284314347173408,2.9363197681318763e-08,0.07683544061677346,0.05661526016196648,1316.5492505828322,,875090.9459126,86400.0,10.656620370370371,5.3283101851851855,4950290.135532407,2475145.0677662035,0.0003787122826280958,0.0001893561413140479,op,op
2022-02-14,OP Mainnet,mainnet,10,2.0,32398,32398,0,295,30609,29159,1963,35501075316,178738072,221635209.28000045,,7253592,212289145.76000014,0.0,171200924,7067652,35376778261,13.406333456671069,0.000329101482394694,13.152414456158835,0.253919000512232,13.15241445615883,,0.0,2.282003491593e-06,56318076,55055676,11171129.5,10700057.75,59.342622044960784,,0.0071775614681158445,0.0,2081.76815013122,1.240000000000008,0.0,64796.0,0.9447805420087659,0.47239027100438297,1095779.841842089,547889.9209210445,0.0004138012672594317,0.00020690063362971585,op,op
2022-02-03,OP Mainnet,mainnet,10,2.0,37329,37329,0,243,35543,34067,2020,37198963980,196946680,244213883.1999999,,7551148,235116598.3999997,0.0,189610160,7396132,37093283553,27.41993873783734,0.000601959100434736,27.29772533878943,0.12221339904794874,27.29772533878942,,0.0,5.36669780171e-07,55874356,54796624,12309167.5,11850635.0,111.77794227379688,,0.0032947581702581436,0.0,4171.187202372294,1.2400000000000078,0.0,74658.0,0.9521551608668863,0.47607758043344317,996516.4879852126,498258.2439926063,0.0007345479047881631,0.00036727395239408156,op,op
2022-01-21,OP Mainnet,mainnet,10,2.0,69297,69297,0,235,67562,65160,2262,79859092794,344261484,426884240.1600008,,12075203,418062582.56000036,0.0,337147244,11926311,79742518603,84.20375847519863,0.000966413580738944,83.9348447408822,0.2689137343163692,83.93484474088218,,0.0,9.16691314803e-07,81867512,80835888,21516342.75,21071702.75,196.62202734264122,,0.0033722754062379336,0.0,15801.718706366453,1.2399999999999476,0.0,138594.0,0.9749628411042325,0.48748142055211624,1152417.7495995497,576208.8747997748,0.0012151140521984881,0.0006075570260992441,op,op
2022-11-09,OP Mainnet,mainnet,10,2.0,499720,499720,0,769,498279,418853,32831,555809065577,3156993484,3156993484.0,,168836855,3149499960.0,0.0,3149499960,168500115,555657514237,158.1182036296248,0.00018146152492543,156.74699524682384,1.371208382801189,156.74699524682384,,0.0,4.295203041557e-06,1261937036,1259533440,197312092.75,196843747.5,49.65071864773708,,0.002467722198779335,0.0,31365.230834523154,1.0,0.0,999440.0,0.9971163851756983,0.49855819258784917,1112240.9861062195,556120.4930531097,0.00031641359887461936,0.00015820679943730968,op,op
2023-10-10,OP Mainnet,mainnet,10,2.0,406497,43200,61957,438,344102,336205,60603,317276241833,2268118472,1551393034.848009,,179809764,1551393034.848009,0.0,2268118472,163517176,314106292556,38.766693614541914,3.3795890986804e-05,12.177090272309638,26.589603342232294,12.177090272309803,,9.489511943725685,-9.489451137966158,1714298472,1593837664,141757404.5,141757404.5,7.849133004198931,,0.08465160989250728,0.02990464565658048,2365.3121345381787,0.6840000000001326,0.0,86400.0,7.965324074074074,3.982662037037037,7344357.449837963,3672178.7249189815,0.0008973771670032851,0.00044868858350164255,op,op
2022-05-19,OP Mainnet,mainnet,10,2.0,69988,69988,0,286,68169,64860,6216,36315604659,480001992,480001992.0,,28974276,472445528.0,0.0,472445528,28806584,36219608190,12.279522388351499,0.00013459143848422,12.021395766721207,0.2581266216302923,12.021395766721207,,0.0,1.000904557022e-06,214605876,213433052,30000124.5,29527845.5,25.044470579449612,,0.007126709385596272,0.0,954.0065605705846,1.0,0.0,139976.0,0.9740098302566155,0.48700491512830774,518883.3036949191,259441.65184745955,0.00017545182586088329,8.772591293044164e-05,op,op
2022-07-15,OP Mainnet,mainnet,10,2.0,96168,96168,0,165,94468,88288,13363,80883544509,611444136,611444136.0,,32349884,604601120.0,0.0,604601120,32224172,80807112267,17.996973474271467,0.00012228704303911,17.78791208940707,0.20906138486440817,17.78791208940707,,0.0,7.70254116611e-07,248830412,247947332,38215258.5,37787570.0,29.091639026540705,,0.0025871656466776674,0.0,2291.3211336467907,1.0,0.0,192336.0,0.982322602112969,0.4911613010564845,841065.0581170452,420532.5290585226,0.0001871409769806117,9.357048849030585e-05,op,op
2022-02-05,OP Mainnet,mainnet,10,2.0,33860,33860,0,280,32101,30685,2057,31234993161,179468680,222541163.20000017,,7111886,213406732.95999992,0.0,172102204,6937810,31120032765,15.766979784975973,0.00039360276676831546,15.639759979029469,0.1272198059465011,15.639759979029456,,0.0,5.15411767326e-07,51563120,50365744,11216792.5,10756387.75,70.27805442435763,,0.0040880357327124145,0.0,2222.683405047661,1.2400000000000075,0.0,67720.0,0.9480507974010632,0.4740253987005316,922474.6946544595,461237.34732722974,0.00046565209051907774,0.00023282604525953887,op,op
