dt,chain,network,chain_id,block_time_sec,num_raw_txs,num_blocks,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_senders_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,estimated_size_user_txs,l1_gas_paid_fjord,blob_gas_paid_fjord,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,median_l2_eth_fees_per_tx,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,input_calldata_gas_l2_per_day,input_calldata_gas_user_txs_l2_per_day,compressedtxsize_approx_l2_per_day_ecotone,compressedtxsize_approx_user_txs_l2_per_day_ecotone,avg_l1_gas_price_on_l2,avg_blob_base_fee_on_l2,avg_l2_gas_price,base_fee_gwei,equivalent_l1_tx_fee,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,chain_name,chain_raw
2024-08-21,Base,mainnet,8453,2.0,4115883,43200,43200,645,4071214,3916023,859952,866347964767,24777633146,56220449608274.0,2.615928352548725e+16,3647554618,1548680110.5719614,3513955170887.7324,1635037610897674.5,0.0,2.615928352548725e+16,24777633146,3640179041,864301120279,21.656118495097907,6.734722072364999e-07,0.13603585471529062,21.520082640382338,0.1360358528890688,1.8262246996741783e-09,4.360370566542926,17.159712073839852,33299797444,33230699432,1548602071.625,1548602071.625,2.419553694749466,1.1169305223761624e-09,0.024898825346235595,0.005044966926729646,2169.4557726557273,2269.0,1055762.0,86400.0,94.24106481481482,47.12053240740741,20054351.036273148,10027175.518136574,0.0005012990392383775,0.00025064951961918875,base,base
2024-08-12,Base,mainnet,8453,2.0,3950646,43200,43200,559,3906286,3583806,686253,868066686380,22799273286,51731551085934.0,2.4070606362973932e+16,3142998344,1425033901.8004868,3233401923185.3467,1504496642232675.5,0.0,2.4070606362973932e+16,22799273286,3135637722,866019435429,37.01316034136749,7.432535002505001e-07,0.21609428332790456,36.79706605803942,0.21609428122885604,2.0990512761973734e-09,5.070483234942979,31.72658282309515,29830730132,29761633260,1424954580.375,1424954580.375,4.176978931932065,1.3951879370885486e-09,0.04248988481397241,0.005854930071437996,3580.5175415645035,2269.0,1055762.0,86400.0,90.42328703703704,45.21164351851852,20094136.258796297,10047068.129398149,0.0008567861190131363,0.00042839305950656813,base,base
2024-08-29,Base,mainnet,8453,2.0,4390980,43200,43200,714,4346400,4178814,823792,864516171755,22849649806,51845855409814.0,2.4123791978482176e+16,3224966639,1428188463.5274625,3240559623743.839,1507827108630692.0,0.0,2.4123791978482176e+16,22849649806,3217557918,862466854924,23.591312142181835,8.39115430025e-07,0.09293159582687857,23.49838054635541,0.0929315942512371,1.5756421610357718e-09,5.070117579485835,18.428262966869152,29261231432,29191916376,1428103112.875,1428103112.875,1.792347237159025,1.0449750104147502e-09,0.027245546205279955,0.0058786231036468285,1534.9818846188887,2269.0,1055762.0,86400.0,100.61111111111111,50.30555555555556,20011948.42025463,10005974.210127315,0.0005460951884764313,0.00027304759423821566,base,base
2024-08-06,Base,mainnet,8453,2.0,3418709,43200,43200,542,3374147,3123284,551148,863993739950,22473758914,50992958975866.0,2.3726940658562468e+16,3617767712,1404681414.8128207,3187222130210.3022,1483009259865614.8,0.0,2.3726940658562468e+16,22473758914,3610436479,861956979516,34.222063470810404,1.2003789770830002e-06,0.19812508775039403,34.02393838305994,0.19812507892373368,8.826660228716094e-09,6.2904416781866,27.733496704872287,33883877444,33814971580,1404609932.125,1404609932.125,3.88514062318936,5.95186624164167e-09,0.039472896202041,0.007297860366208468,3372.889718340392,2269.0,1055762.0,86400.0,78.10525462962963,39.05262731481481,19999855.091435187,9999927.545717593,0.0007921773951576483,0.00039608869757882414,base,base
2024-09-02,Base,mainnet,8453,2.0,4266965,43200,43200,442,4222844,4054846,1182691,861796034139,22206952442,50387575090898.0,2.3445256524070804e+16,2923970339,1388013076.0750213,3149401669614.2773,1465411461223137.5,0.0,2.3445256524070804e+16,22206952442,2916685264,859777773589,16.729641006704966,4.062443580515e-07,0.20614298472505058,16.52349802198024,0.20614298306691567,1.6581318792824786e-09,2.2352064248250145,14.288291597155188,27773308748,27704684152,1387934527.625,1387934527.625,4.090910358388459,1.131513530802191e-09,0.019218335864864215,0.0025997490206039137,3485.468213016551,2269.0,1055762.0,86400.0,97.75101851851852,48.87550925925926,19948982.27173611,9974491.135868056,0.0003872602084885409,0.00019363010424427044,base,base
2024-08-22,Base,mainnet,8453,2.0,4038505,43200,43200,688,3993802,3857433,934893,858894539970,23453853927,53216794560363.0,2.4761687729677376e+16,3436662655,1465940167.3301978,3326218239672.203,1547683922940860.0,0.0,2.4761687729677376e+16,23453853927,3429265721,856844361975,18.156004612303946,6.79088353783e-07,0.06898352794358159,18.087021084360217,0.06898352631079464,1.6327874870039327e-09,4.769689777929724,13.317331306430466,31487350828,31418147000,1465865870.4375,1465865870.4375,1.2962067951196217,1.0549877033862239e-09,0.021108875645362554,0.00556657660317184,1112.6868387170935,2269.0,1055762.0,86400.0,92.44912037037037,46.22456018518518,19881818.05486111,9940909.027430555,0.0004202778845440728,0.0002101389422720364,base,base
2024-08-20,Base,mainnet,8453,2.0,4164760,43200,43200,633,4120255,3975175,900410,859307303189,24767644533,56197785445377.0,2.614873792744915e+16,3626156749,1548060200.832919,3512548595689.912,1634383133751747.2,0.0,2.614873792744915e+16,24767644533,3618785383,857263650287,21.106824801127765,8.35711695267e-07,0.09023915979722728,21.016585641330177,0.09023915670266243,3.094566021325549e-09,5.524628988339804,15.491956652990169,33074728744,33005690884,1547977783.3125,1547977783.3125,1.605654216906074,1.8934205103575536e-09,0.024515895004173352,0.006444492294162062,1392.753301940853,2269.0,1055762.0,86400.0,95.37627314814814,47.68813657407407,19891372.75900463,9945686.379502315,0.0004885839074335131,0.00024429195371675655,base,base
2024-08-18,Base,mainnet,8453,2.0,3893029,43200,43200,638,3848579,3703428,759977,867873808708,25093815743,56937867920867.0,2.649309709646116e+16,3724184587,1568436066.0955815,3558781433970.8584,1655895198013213.5,0.0,2.649309709646116e+16,25093815743,3716809936,865835376311,12.31453810260343,3.2073492934449997e-07,0.06973628495447662,12.244801817648874,0.06973628327128077,1.6831955049202855e-09,1.5654928143153137,10.67930900333352,33687297520,33618245152,1568363483.9375,1568363483.9375,1.224721274200235,1.0164867100819557e-09,0.014142182397096498,0.0018080721314313692,1053.2735204746484,2269.0,1055762.0,86400.0,89.08747685185185,44.54373842592592,20089671.49787037,10044835.748935185,0.00028505875237507943,0.00014252937618753971,base,base
2024-08-26,Base,mainnet,8453,2.0,4251142,43200,43200,563,4206767,4072120,882341,862948561211,21442355809,48652705330621.0,2.2638024453621456e+16,2735338646,1340233575.4054995,3040989982595.125,1414967680037273.8,0.0,2.2638024453621456e+16,21442355809,2727997941,860920063408,17.1338157380383,6.281108827505e-07,0.09460469956633265,17.03921103847186,0.09460469813099992,1.4353339411251555e-09,4.18157007617198,12.85764096230016,26158211132,26089339332,1340147238.0625,1340147238.0625,1.9443630060539514,1.0143934303555545e-09,0.01979186194246781,0.004857094466609359,1681.051054911518,2269.0,1055762.0,86400.0,97.37886574074074,48.68943287037037,19975661.13914352,9987830.56957176,0.0003966161050471829,0.00019830805252359145,base,base
2024-08-14,Base,mainnet,8453,2.0,4101846,43200,43200,688,4057266,3705806,744758,866432192023,24855888448,56398010888512.0,2.6241902499637384e+16,3570587552,1553570428.4308312,3525051302109.5884,1640200622660995.0,0.0,2.6241902499637384e+16,24855888448,3563190940,864380820290,33.45448425813263,8.7496374063e-07,0.16593661967792403,33.288547638454915,0.16593661791927292,1.7586496931518753e-09,6.211384410967427,27.077163227486245,32904647804,32835331564,1553493028.0,1553493028.0,2.9420931239848658,1.0722165460212745e-09,0.03851143715484837,0.0071859350244299755,2571.169031023753,2269.0,1055762.0,86400.0,93.91819444444444,46.95909722222222,20056300.74127315,10028150.370636575,0.0007744093578271442,0.0003872046789135721,base,base
