dt,chain,network,chain_id,block_time_sec,num_raw_txs,num_blocks,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_senders_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,estimated_size_user_txs,l1_gas_paid_fjord,blob_gas_paid_fjord,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,median_l2_eth_fees_per_tx,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,input_calldata_gas_l2_per_day,input_calldata_gas_user_txs_l2_per_day,compressedtxsize_approx_l2_per_day_ecotone,compressedtxsize_approx_user_txs_l2_per_day_ecotone,avg_l1_gas_price_on_l2,avg_blob_base_fee_on_l2,avg_l2_gas_price_gwei,avg_base_fee_gwei,equivalent_l1_tx_fee,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,chain_name,chain_raw
2024-09-30,Kroma,mainnet,255,2.0,269682,43200,0,0,226438,226402,214228,9439468216,436551524,,,13335592,0.0,,,0.0,0.0,436551524,4866760,7382491264,0.05771402165672835,1.035682389165e-07,0.025082540278281384,0.03263148137844789,0.0,0.0,1.8605759460659168e-06,0.03262962080250084,116791948,42643312,27284470.25,27284470.25,9.925044434822114,,0.0044201178452551925,2.520254856431371e-07,77.40371343553937,,0.0,86400.0,5.24162037037037,2.620810185185185,218506.2087037037,109253.10435185186,1.3359727235353784e-06,6.679863617676892e-07,kroma,kroma
2024-09-29,Kroma,mainnet,255,2.0,304860,43200,0,0,261615,261525,240432,12238443696,506508120,,,14946373,0.0,,,0.0,0.0,506508120,6477057,10181150713,0.05739846026591957,8.98622176755e-08,0.02116135767140771,0.03623710259451433,0.0,0.0,2.566221707693233e-06,0.03623453637280448,125965924,51806184,31656757.5,31656757.5,7.21694782740432,,0.0035592344731960107,2.520561555400571e-07,72.54104474989096,,0.0,86400.0,6.055902777777778,3.027951388888889,283297.3077777778,141648.6538888889,1.328668061711101e-06,6.643340308555505e-07,kroma,kroma
2024-09-30,Orderly,mainnet,291,2.0,47976,43200,43200,0,4776,4764,7,10209619223,177526367,971424280224.0,0.0,67849716,11095500.04989693,60714576273.03602,0.0,0.0,0.0,177526367,60764916,8259878015,0.01122564583283467,5.738101579635e-07,0.010937124570098943,0.00028852126273572285,0.010937124570098947,0.0,2.0649696031660003e-06,0.00028645629313255695,643831980,577819572,11095397.9375,11095397.9375,11.258748481734767,1.0039810086351853e-09,3.4930450814378394e-05,2.5000001203601317e-07,93.02347233804188,5472.0,0.0,86400.0,0.11055555555555556,0.05527777777777778,236333.77831018518,118166.88915509259,2.5985291279709884e-07,1.2992645639854942e-07,orderly,orderly
2024-09-29,Orderly,mainnet,291,2.0,46926,43200,43200,0,3726,3724,12,6698742741,102762983,562319042976.0,0.0,40308432,6422756.990796939,35145326253.64084,0.0,0.0,0.0,102762983,33223632,4749141677,0.004511417931771607,2.97062904851e-07,0.0042610553754684815,0.0002503625563031249,0.0042610553754684815,0.0,1.1872854192499999e-06,0.00024917527088387493,380200200,314179536,6422686.4375,6422686.4375,7.577566200419739,1.0003534833160698e-09,5.271743260800702e-05,2.5e-07,36.03070036421925,5472.0,0.0,86400.0,0.08625,0.043125,155063.489375,77531.7446875,1.0443097064286128e-07,5.221548532143064e-08,orderly,orderly
2024-10-01,Orderly,mainnet,291,2.0,48861,43199,43199,0,5662,5660,12,14734260309,274725727,1503299178144.0,0.0,101395621,17170483.14059791,93956883745.35176,0.0,0.0,0.0,274725727,94310985,12784407252,0.04115219739292266,1.4766162676784999e-06,0.04092507309057271,0.0002271243023499558,0.04092507309057271,0.0,3.196101813000001e-06,0.0002239282005369559,964889944,898874604,17170357.9375,17170357.9375,27.22332556377686,1.5822706658994465e-09,1.776572803673979e-05,2.5000000000000004e-07,348.09328592990437,5472.0,0.0,86398.0,0.13106784879279612,0.06553392439639806,341078.7358272182,170539.3679136091,9.526192132438866e-07,4.763096066219433e-07,orderly,orderly
2024-10-01,Derive,mainnet,957,2.0,51810,43199,43199,0,8611,8590,26,23753297536,503126385,17206922367000.0,0.0,160677988,31445626.183599457,1075440415479.1014,0.0,0.0,0.0,503126385,153593352,21803440803,0.3238097989986532,6.696276508878e-06,0.32144392107487946,0.002365877923773969,0.32144392107487946,0.0,5.458146338577998e-06,0.0023604197774353903,1171473364,1105457148,31445399.0625,31445399.0625,18.68092940844959,1.1263319056503065e-09,0.0001085093836862868,2.503341737615559e-07,490.8506788685163,34200.0,0.0,86398.0,0.19933331790087733,0.09966665895043866,549857.5785550592,274928.7892775296,7.49577071225383e-06,3.747885356126915e-06,lyra,lyra
2024-09-29,Derive,mainnet,957,2.0,47827,43200,43196,0,4631,4631,19,12562919191,438046007,14981173439400.0,0.0,142769420,27377989.614499386,936327244815.8788,0.0,0.0,0.0,438046007,135685276,10613488855,0.11039741813961662,3.258090823677e-06,0.109192707020046,0.0012047111195706503,0.109192707020046,0.0,2.65337221375e-06,0.0012020577473569,1046260304,980246836,27377875.4375,27377875.4375,7.2886312216804905,1.0005422809389968e-09,0.00011350755025319617,2.5000000000000004e-07,78.52775608287034,34200.0,0.0,86400.0,0.10719907407407407,0.053599537037037036,290808.31460648146,145404.15730324073,2.5554957902689034e-06,1.2777478951344517e-06,lyra,lyra
2024-09-30,Derive,mainnet,957,2.0,50388,43200,43200,0,7188,7185,22,18672366437,467641269,15993331399800.0,0.0,149921656,29227764.886799287,999589559128.5356,0.0,0.0,0.0,467641269,142836856,16722625361,0.1786920610165124,4.659999151014e-06,0.17665621845897703,0.002035842557535347,0.17665621845897703,0.0,4.181270581566e-06,0.0020316612869537803,1094692624,1028680348,29227579.3125,29227579.3125,11.045541078455694,1.0009031110554092e-09,0.00012174180271258581,2.500367311533172e-07,206.52575884715176,34200.0,0.0,86400.0,0.1663888888888889,0.08319444444444445,432230.7045601852,216115.3522800926,4.1363903013081576e-06,2.0681951506540788e-06,lyra,lyra
2024-09-30,Mode,mainnet,34443,2.0,128213,43200,43200,23,84990,83070,1981,83233810108,218865726,4377314520000.0,133856089364340.0,28952817,13680209.610091155,273604192201.8223,8366679395435.629,0.0,133856089364340.0,218865726,21860181,81280104226,0.0810360641684107,4.54217035801e-07,0.049656153239803075,0.03137991092860763,0.04965615323141888,8.384172138729484e-12,2.3395172503463007e-05,0.03135651575610386,229601136,161976420,13679107.875,13679107.875,11.343078249871908,1.0020907887605993e-09,0.00038607124372473265,2.8783393828350055e-07,895.0750982257697,20000.0,611590.0,86400.0,1.9673611111111111,0.9836805555555556,1926708.5673148148,963354.2836574074,1.8758348187132108e-06,9.379174093566054e-07,mode,mode
2024-09-29,Mode,mainnet,34443,2.0,140423,43200,43200,32,97191,94129,1936,90361863052,233409261,4668185220000.0,142750769934990.0,30352904,14589332.4611855,291786649223.70886,8922689839936.406,0.0,142750769934990.0,233409261,23256392,88407400229,0.07644371195384711,3.60991614695e-07,0.03428773220438422,0.042155979749463036,0.03428773219545507,8.929122961027786e-12,2.5069838662710035e-05,0.04213090991080013,231263936,163606820,14588078.8125,14588078.8125,7.3443424160399475,1.0007209825320518e-09,0.00047683768146407904,2.8357172134653954e-07,642.4792399996256,20000.0,611590.0,86400.0,2.249791666666667,1.1248958333333334,2091709.7928703704,1045854.8964351852,1.7695303693020165e-06,8.847651846510082e-07,mode,mode
