Project_id,project_name,rf4_allocation
0xd765664dd27255f1ba341fbb3375439a57fb6a92313df2f7af7856233f415ed7,Linkdrop,12889.8
0x83dcff4c909bbcc0a141c180a7a282180e14dbc11f3de8d288932a6b017cb86a,ModeChat.xyz | Onchain Social on Mode,12790.3
0xeecfa614f020c2ea4c2eb431246befedf35ddc6c52cfaa83d0c4caf2f580f9f4,doginme memecoin,12759.2
0x62043b7744f559522f071821d2a062e2135c21a7759c685cf72ad03f9774b123,Keng Lernitas,11791.6
0x220685a4514003f22cbf18a7ddd9c09f88c2383daed6cbfa3437b22a51c07c26,Biconomy,11193.5
0xa8213245a57be579692ead3a2381364f5942a68afd17b41a3ec1079e50af1a26,tanX - The World's Leading Institutional DEX,11014.4
0x3890b8264147dbeaaefc6ba0eb6df0fca5fb7ebe508fa1ed87065c58387ead92,NiftyKit,10976.9
0x6dde8a1ab47a68ec31d112a28ed9777d5d753b3aee17ea2452bc7d787f944974,Zerius,10797.8
0x0c327d5f07a0abc24d646de807a9768619a34ba5277b24fc935b1edf57fa6244,dHEDGE,10456.2
0xdc8c675a16e135a3518852b240cde44e9105622473623bf86725a9abb8d18847,Get Mint,10216.7
0x2a2d2dbfa03619094fbeb6474776f2f3b5f6be443c8576abc6f3caa2c18dc45e,Morkie,9635.4
0x6c4b5386ddf396c088d3a96a65fb8a928a2a9edeb6eeb46ec6179acb5eaa23fe,Metronome,9590.2
0xae07bfec2c3c90937679f8c8c5c32e80407c09903aa03d1b5e5a075e67592b86,DefiLlama,9256
0x66cce776ce6eaa99192120fc25b91ecc7b98e03210a08f0d3bfda82f542d3e1a,Opti.Domains,9070.1
0x89216c66f45f82595fddb810c78df46fcee9be72181e9c92b26b0ce31bd6f413,Exactly Protocol,8700.7
0x780cf3d5aa4e3c94b8a4157f4b06a3f92ebcc20813585e20e3fe0271bf76b7a9,Virtuals Protocol,8506.5
0x8016ec0d5302d0347a567897083883e11e112d7ed17319f88682213470a3ac49,Revert,8448.2
0x32a687fa8ed3dc2679b9be5653dc7b0765a5099064501ad183d2d8a1509f4871,Aura Finance,8408.6
0x6bd6aba90e1e5cb41236bc52a96f5ce65686568ff95fe535c865658c73947198,TLX,8250.3
0x351158069e6f06eb4a2fa36878e653ecee7089db3ed4a1e2af1d0fdeb6670e6a,PRINT3R,8219.3
0x46ca6c364e7a7bc7dd79db1f22a66b305a77f8c912636b00a4b9a6b28c423e8f,Circle.tech,7983.3
0x2d5167181143298e3d002d318d8b1d2917b8c3205a5634549c95cab0ff32cbdf,Pheasant Network,7486.3
0xc8aefb795901b721da74124680a1ab4021a8753f474daaf351667c974d8bc72d,Noggles ($NOGS),7402.5
0xdfad16356f7cf4f0550787eae192ef0d7a8bde878b765e8fa302dc7e20ff360c,Blob Farm,7234.8
0xded5569a48e46a8b71d2b347d90b0319a7dc8f2f599fcf902afb032877b5561e,荘 King of the Degens 自 - Farcaster Frame Game,7058.2
0xe8e098fcf95bef2c282b75014bf8ea46231896a4ba19fc17be3bc186d43dbb07,Velocimeter/Graphene,6932.1
0x848488156d9bfc5356583da57253193a258acebcdbc3ba2a10dc8ef81bd815fe,Streameth,6742.8
0x91b002c41ae45979dda4d66becc0d83fe92a20af00b59c1c5ab443492b896a0b,Nogem,6739.6
0x41cf185bd4ee6592c65edcb7360e2e56e069fe50ea4adeb7aaee243f7a515c92,Harvest Finance,6684.7
0x3ea87586a0d82cb8824a045fdd1a95b0397a02a7534dab5e4b3538afe43ddf39,Onchain Blobs - Randomly generated onchain blobs minted via a Farcaster frame,6614.5
0x08d4923c8047ec8856f54a1d6e0763d41eaced38e621b2f15284437918defe1f,3DNS,6338.5
0x640b373ea180a464679db947b03f611766e2fb911206470e3e041ad34c1ad7c2,MYSTCL ($MYST),6301
0xc9976099df2ee3d1b71e966f8e80ef907846f36152f2e5957fb31890f18cf76f,Slugs,6245.6
0x44ca2c89a912ec7e3f2a38aaecde63044fcaa3024839eb628081a3bcba9c0490,DackieNFT,6208.4
0xd7a8e115b2b3772d7d5656d7798e349dcdedf2463302c78528c9e9686ab4efe3,OmniHub,6093
0x27eb7d5d11ce5a3cca4358a8a6b2ea65fdac15655fb1d29d2d47908999586ad2,Unlonely,5914.6
0xdd35cc4641c3c35bee5782fc0442b2a1b88a058ec0a7b90ba32c70347e4e9194,Arcadia Finance,5743.8
0xfa434705204825a48e5f4a8dd34e548cc54988c592c2aaae54faf8da0a139ffd,Vesper Finance,5121.4
0xad43dc524ae73ce9398d0378c5ba9fa53c3394ac9e90f7b60df7b4a7d028f476,OptiChads NFT Community,5080.7
0x9ee9c906642c79f905691d25a3bac3627b2f709e8bc20883afda1c4f2b76ef7e,Whale,5010
0x797dbac78f23a0c01378b0803063fe70618e7744ca516e5aef1e7ee244fded51,QiDao - Mai.Finance,4952.3
0x8fa98773f72474172c2fe75fb7ad3ae2274edd1bc1635b77dd175259dbfde5bd,Copin.io,4940.5
0x43c0bbbedc1c04715c3fb34b9387a0779a0d43092c716c29949e7099429eccdb,Pixotchi,4861.2
0xf234dd929b802645332b513bc9ecc47d83ea513fff791f3a9c6788bbd8229db0,Infusion,4834.9
0x5b054742b09f8ce4092a15700ef9781520a6ff2928ba5ee09c78ad4dd8817b85,Kiwi News,4805.2
0x702aae08d1f82c410a51fe243bd662d5639543c4706deb3dd2932e5909552afc,Clipper DEX,4673.8
0xc935089f9c7b01bef6ca8deade91e04ffa79f7e6fbe7141d4c30c3a76a855e5d,The Open X Project,4530.9
0x46b434953909491a2555ccb9cdaee3417765721a33a302a470b25aa6926cae61,Crowdmuse,4416.9
0x78aa10e4a035b703753c0b399a608d22520a932ae7b7554f6ed148928a0a016a,Receipts,4416.6
0x79611ec31e5cee4ed9ca01aa92bb709c045ff0e0bc59ad1c03ca1df50fcb5880,Whimsical Euphoria: A White Inflatable Sheep,4307.9
0xe434930e189c807b137ff0d8e2fa6a95eaa57dde574143a02ca0d7fb31a40bea,Giveth,4295.4
0x2b6c413a5b076f917ada28ac44b0995daee75f06678705d1eb75ff5da38bdd3b,RMRK,4112.1
0x8967594d2978692a35fea137ba640bb42f11cad907ca6b0bd01f3718fc4c7f5b,Hats Protocol,4090.2
0xc13c7f458b87400b3d435c48c9536276073ba4c2038bac2af8d9c40a6a9dcd14,Portals,3860.8
0x6c7990e08e4fbbb37b7df628116d66e53a14dcc3328bbf124be3245bca366068,Umbra,3850.8
0xbdca9dd029e6fcfbe269429f1db7a0e7f73334e253995f68146fc88fc17cdb3f,Basic Dog Meme,3672.4
0x4feb65733264313314056d99958c55902bd2e77139123e73090f46249603ae18,Idle,3559.5
0xe85701181a20c498c1521e35d203247a7ed0a54e496d52119eccc2e28e8cf078,Your Brians,3521
0x278442aa60cfdfad09d58112baecb05486dde654b47db21fb3d2274a2639bd47,Scry Protocol,3493.8
0xa20b4eaab24516b287792b0d45c2cb890561f2db5910a6b9a2507bb4c8d84455,PAWS Wildlife Room Onchain Vote in a Frame,3403.8
0xe173916be16955177d6b6380f50cc2e943e906c3e337736b361b5dbe477e7685,Bodhi,3399.6
0x4bb52210fd390559dc9757138ea8ce189d7bd73f15314209775a9c6fecb969fa,HOMES,3334.9
0x61d2e05f988e678b240a7f00c5f722a5a69f06f085f4ff33199e835a46949469,zkBob smart contract privacy wallet,3206.5
0x59a9c9e954400f540020b2c61bbdac4d4bf1582c902fe7d49fa9fc0907ee3f4a,Union,3183.5
0x87d49ebca1bda6345aada7953ff55aa18acd69bf97caecdcedfac93b506ef0d6,Gangster Arena,3153.5
0x1d585df770de05257717b33075f6d32e79fb60ec507cff35e51a0e478a4a54a0,Wombat Exchange,3073.4
0x7a13acc03022c7f42347006fd95d2aeeadd0a0e7411ae6405c645814814fd093,Base on Rarible,3021.2
0x54ff216c822bda60476028563e056b6aa5d48aeffa73173267cb988a340c5332,Drakula.app,2982.6
0x31ad5901da0dd56bc4e1649645365b03443ac0712c72431bf6132b121b8b96eb,Daimo,2808
0x753735dcf81ae3bd485765a433f7d9fd93f704bc8713d873b4cacfbbec060c0d,Ethos Reserve,2805.3
0xb41e32621e56fbe7d89052f3c852ff70c6bfe21ba5a91910ef2fd548eb6e4e8a,Mintify,2683.3
0x396426679c3986320a3aa0c23b69857c06cb41ff0c92ac81aaa0332e5200ec9c,UNCX Network,2416.5
0xaec46d1927be76868345f3c076c66b9991d6e2cb1f0589dabd768cf14638b34e,Mochimons,2407.9
0xb0c8fe8e359a91bc2fa4b7498e2c7f6a50f730ee1dc821bee016a4b7feb7639e,Liquidify,2337.8
0x12d482385e2c26d37da1f30c513d66c1fa39e9ed4980a49a51b23caa7b2ce0bc,Alchemix,2337.2
0x87c29aa0ad226c7f20cf3f37842ced2a795ad38a03a18f0829d1c09dbc77f51a,ORA Onchain AI Oracle on Optimism,2297.9
0xf9a4e3b240bf6d40ee533e5ed63a8288b1a739ee382b1f23ccc5229b7bc8a498,Summer.fi,2239.2
0xda73a17b6b38aafcdcd684f5e10dbb5aad0b114ced4bf87c91afadf362df17f3,Astaria,2238.8
0xb9b7f1175044c211555b5589ee389263d2e455f99c1505e6b121cf6e3f5caaff,Based Onchain Dinos,2178.4
0x935315db8c17993464cfb28337442ad60c6cd434305130a1d5d898e92d6d8123,Trash NFTs,2010.6
0x6b8cc2b8d8f7a051927d058af2e742fb940a248c4de357e2a7a6b58f01831d44,Crypto Composite,1826.8
0x7d7720ffd4c1ba8e67473a24a14ab4fab47486102436e14edf63ed2070669d49,builder.fi,1776.9
0x0d1810bae195eec71762b45236d0b9fd0a37c3089f7c466453b86e961326f8a7,Tokepad,1700.7
0x941cd8e246098a5392e47379f6353f6e37c769b022546b640aa5c6c78f91119e,ZKP2P,1619.8
0xa08c7ab7824d147d6cb87ffb4e86cec454a030d48b8c395bad6d64456be3d911,Aragon,1560.7
0x2e7c3fcaca4cfa15199cba38b7f5ee0e18377e069dc8237d03fa7620d44d3cd3,Unitap,1540.7
0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a,/send,1392.8
0x28e90d2194452d0b959d1729eb5bc9183681bd891efb59aea2383b0ac7fd53f7,PiraNFT,1386.9
0x2ddf5b9dc64f873d6557b4f63de936cf278f8851deda857244a1be44d1a1e950,IntentX,1262
0xa4d3729a488eeabcc3a59de70b760391db50e9bf488d5942e704089c58825c24,Egg Wars: A Game on Base,1245.5
0x69e36f30f2a21afb2eb61156ca00f303434ba8868315abec3eb8780b812fe976,BaseDoge,1165.7
0x3f11bc2231f22056737d8bc5338c06bbb1637de54c71a65eed9d6500a8fbd1bc,Cygnus Finance,1145
0x892cf9449b4046f9b68efe6ffccfcd8df1322b1a9ffc65a2bbfe1207c4ceba8d,Pyth Network,1095.8
0xb926ab918147d2264dba94a429eb07986aa533fd6062a78736d3eda4e0b4a69b,Oku Trade,0
0x7262ed9c020b3b41ac7ba405aab4ff37575f8b6f975ebed2e65554a08419f8f4,Sablier,0
0xdf3eb6b429b2150c71241de0c591b18c98a3528ad0e8d838d069b6fff291d803,CreateMyToken,0
0x3db32e85563bfe1014acc9da5b0d3ff6b802e8205cfce45dd7157c901ece5f36,INT,0
0x8a0f263d8dca18ceca0615836a5401c9dd31c7141ee439cd7020b4907e0b6c2e,Poster,0
0xe13ef8130233ba5feca029110f3abf30cb33f7efe2d915ba7e536200b67fe0bf,Glo Dollar,0
0xd2c16680d3c90d9a121723d437ee7aaf7a13ec5e0c72a0ab032fc1ee8b928105,Preon Finance,0
0xb908ea18fd164cf089649ba95887c221f5e8b93a08235dff43e33bd6617239dc,Ambire,0
0x808b31862cec6dccf3894bb0e76ce4ca298e4c2820e2ccbf4816da740463b220,Fractal Visions,0
0x93decae913f62c0a86519d0b0798e4a10c46c541bfc14dcff0193d6b026e9532,LlamaPay,0
0x54c8768e4b6c2ac3d3df596b5dc9d1dc81cb879d83a65a0e50f0270fe24fa2cd,Archly,0
0x62408999652f3bfa1be746d256bf5a4eb4719b993d40f07d2d60aaebee015018,Sequence,0
0xf1358b33be174954b454aebca311fc83753dc1d8c743e25c829091ccd69fedd0,Tiny Based Frogs,0
0x63c40ab7a0dca87506b015935db8c37b12e5246661be84364920ec151b48a4e7,Base Runners,0
0x742a9a3a6a97c94f087aa389617407779349416fd68a05dba1a3ef27bb7ec0e4,DappRadar,0
0xa03ec02831ddba6f92dee26ff03642e07aa6085c3c6e2b403119dde5566fa740,DappLearning ZK redpacket,0
0xdbfb85445c76c4dc1f6f3992098713ba07857f3417951184bfb6a7e65f14807c,Based Bodega,0
0xd9bec9d0ab1167eb2d3618afac3145cb8a88b60d64b119c2b4cc8d822f4b8208,Synonym Finance,0
0x67267b69dc7950fdd49dc0b78a8bdeefa234992190bc3b81e1d1c735086c033a,Beam,0
0xa45ebed9267cf10226c68abc98b1871bdfa611ee51050c161e316be1dbf7e696,Based Onchain Cubes,0
0x2e0e80846b4d52b126f3c9a20a01876bbcb80de67befe916870c5d8736af6c2a,Talent Protocol,0
0x75a73ce0588cac3b0ee8953163b64f9449330d39e30efe4288b4f00be04ecc71,Based Onchain Punks,0
0x1c1bb58707493e944e721acf773ee77405f8eb4c82070e6425e34b03c7a206ce,Building Blocks,0
