excess_blob_gas,blob_base_fee_dencun,blob_base_fee_pectra
66715648,477396198,610827
66846720,496512057,627026
66977792,516393351,643655
67108864,537070730,660724
67239936,558576071,678246
67371008,580942527,696233
67502080,604204580,714697
67633152,628398088,733650
67764224,653560352,753106
67895296,679730161,773078
68026368,706947859,793580
68157440,735255406,814625
68288512,764696442,836229
68419584,795316352,858405
68550656,827162342,881170
68681728,860283508,904538
68812800,894730908,928526
68943872,930557648,953150
69074944,967818959,978427
69206016,1006572285,1004375
69337088,1046877368,1031010
69468160,1088796344,1058352
69599232,1132393837,1086419
69730304,1177737055,1115231
69861376,1224895904,1144806
69992448,1273943082,1175166
70123520,1324954204,1206331
70254592,1378007910,1238322
70385664,1433185986,1271162
70516736,1490573500,1304873
70647808,1550258919,1339477
70778880,1612334258,1375000
70909952,1676895209,1411464
71041024,1744041307,1448896
71172096,1813876063,1487320
71303168,1886507137,1526763
71434240,1962046498,1567252
71565312,2040610599,1608815
71696384,2122320556,1651480
71827456,2207302337,1695276
71958528,2295686953,1740234
72089600,2387610658,1786384
72220672,2483215163,1833759
72351744,2582647857,1882389
72482816,2686062026,1932309
72613888,2793617096,1983553
72744960,2905478877,2036156
72876032,3021819819,2090154
73007104,3142819274,2145584
73138176,3268663784,2202484
73269248,3399547344,2260893
73400320,3535671733,2320851
73531392,3677246803,2382399
73662464,3824490811,2445579
73793536,3977630750,2510435
73924608,4136902711,2577010
74055680,4302552221,2645351
74186752,4474834655,2715505
74317824,4654015607,2787519
74448896,4840371314,2861443
74579968,5034189055,2937327
74711040,5235767629,3015224
74842112,5445417800,3095186
74973184,5663462761,3177269
75104256,5890238666,3261529
75235328,6126095105,3348023
75366400,6371395689,3436811
75497472,6626518585,3527954
75628544,6891857082,3621514
75759616,7167820250,3717555
75890688,7454833503,3816143
76021760,7753339325,3917345
76152832,8063797892,4021231
76283904,8386687805,4127872
76414976,8722506859,4237342
76546048,9071772741,4349714
76677120,9435023908,4465067
76808192,9812820348,4583478
76939264,10205744469,4705030
77070336,10614402037,4829806
77201408,11039423038,4957890
77332480,11481462691,5089371
77463552,11941202448,5224339
77594624,12419351077,5362886
77725696,12916645696,5505107
77856768,13433852941,5651100
77987840,13971770156,5800965
78118912,14531226608,5954804
78249984,15113084750,6112723
78381056,15718241625,6274829
78512128,16347630139,6441235
78643200,17002220575,6612054
78774272,17683022066,6787403
78905344,18391084153,6967402
79036416,19127498403,7152174
79167488,19893400088,7341846
79298560,20689969947,7536549
79429632,21518435987,7736415
79560704,22380075395,7941581
79691776,23276216517,8152188
79822848,24208240824,8368381
79953920,25177585170,8590307
80084992,26185743917,8818118
80216064,27234271276,9051970
80347136,28324783677,9292025
80478208,29458962313,9538445
80609280,30638555604,9791400
80740352,31865382068,10051064
80871424,33141333017,10317614
81002496,34468375521,10591232
81133568,35848555310,10872107
81264640,37284000141,11160430
81395712,38776922973,11456400
81526784,40329625255,11760219
81657856,41944500754,12072095
81788928,43624038916,12392241
