chain,dt,active_secs_per_day,l2_num_txs_per_day,gas_used,l1_gas_used_on_l2,eth_fees,calldata_bytes_l2_per_day,txs_per_second,gas_per_second
public goods network,2023-08-03T00:00:00Z,86400,392,43376105176,1607060,0.11634803245802021200,1.1407612E7,0.004537037037037037,502038.2543518519
zora network,2023-08-02T00:00:00Z,86400,20934,49693351338,87708148,4.0249093074688046,1.7636177E7,0.24229166666666666,575154.529375
public goods network,2023-08-02T00:00:00Z,86400,337,43343181325,1665564,0.14817479265897392900,1.1399638E7,0.0039004629629629628,501657.1912615741
public goods network,2023-08-01T00:00:00Z,86400,276,43354584433,1552716,0.10667110462312932800,1.1412228E7,0.0031944444444444446,501789.17167824076
zora network,2023-08-01T00:00:00Z,86400,18078,49031568261,76604200,3.7831813359102786,1.6966694E7,0.20923611111111112,567495.0030208334
public goods network,2023-07-31T00:00:00Z,86400,321,43431031962,1243472,0.09109896671123934000,1.1453745E7,0.003715277777777778,502673.98104166664
zora network,2023-07-31T00:00:00Z,86400,21210,50099038101,94485852,4.2612884978389580,1.8261097E7,0.2454861111111111,579849.9780208333
zora network,2023-07-30T00:00:00Z,86400,26882,52476963221,116654740,4.8252275109943942,2.0393742E7,0.31113425925925925,607372.2595023148
public goods network,2023-07-30T00:00:00Z,86400,340,43470284721,2050148,0.13011446554079576200,1.151798E7,0.003935185185185185,503128.29538194445
public goods network,2023-07-29T00:00:00Z,86400,271,43411409228,1037932,0.08032996683403009700,1.1431781E7,0.003136574074074074,502446.8660648148
zora network,2023-07-29T00:00:00Z,86400,25849,52417463596,106936092,5.1999230867194688,1.9094616E7,0.29917824074074073,606683.6064351852
zora network,2023-07-28T00:00:00Z,86400,15667,49705557035,68213840,4.4149026479756725,2.0933837E7,0.18133101851851852,575295.7990162037
public goods network,2023-07-28T00:00:00Z,86400,283,43387890902,1569612,0.12425345835178847400,1.1455974E7,0.003275462962962963,502174.6632175926
zora network,2023-07-27T00:00:00Z,86400,15981,49654836855,71762936,4.9080107251755401,1.8968414E7,0.18496527777777777,574708.7598958333
public goods network,2023-07-27T00:00:00Z,86400,487,43475663070,1950444,0.16602107518829369800,1.1514188E7,0.005636574074074074,503190.5447916667
zora network,2023-07-26T00:00:00Z,86400,17253,49007934958,73199436,3.8701265702689082,1.7633364E7,0.1996875,567221.4694212963
public goods network,2023-07-26T00:00:00Z,86400,270,43396984548,1111016,0.08281936696616976700,1.1422241E7,0.003125,502279.91375
public goods network,2023-07-25T00:00:00Z,86400,52,43234610801,767984,0.03822221644942723900,1.1296536E7,6.018518518518519E-4,500400.58797453705
zora network,2023-07-25T00:00:00Z,86400,11915,47769291919,56498680,2.7349493746108776,1.6073402E7,0.1379050925925926,552885.3231365741
zora network,2023-07-24T00:00:00Z,86400,9758,48045343896,54622528,2.5067632722590555,1.7573964E7,0.11293981481481481,556080.3691666666
public goods network,2023-07-24T00:00:00Z,86400,4,43204502235,62516,0.00651268488060905400,1.1237172E7,4.6296296296296294E-5,500052.1092013889
zora network,2023-07-23T00:00:00Z,86400,13117,50086045346,64515580,2.7412068991930706,2.068808E7,0.15181712962962962,579699.5989120371
public goods network,2023-07-23T00:00:00Z,86400,0,43200000000,,,1.1232E7,0.0,500000.0
zora network,2023-07-22T00:00:00Z,86400,13179,54529468850,79868832,3.2105009004826755,2.6234125E7,0.15253472222222222,631128.1116898148
public goods network,2023-07-22T00:00:00Z,86400,11,43206849592,69696,0.01032802998036874700,1.1238764E7,1.273148148148148E-4,500079.2776851852
public goods network,2023-07-21T00:00:00Z,86400,20,43222612163,860652,0.02032293351589062500,1.1293526E7,2.314814814814815E-4,500261.71484953706
zora network,2023-07-21T00:00:00Z,86400,8084,45596730145,30347644,1.9346398337278780,1.414195E7,0.09356481481481481,527739.9322337963
zora network,2023-07-20T00:00:00Z,86400,7909,45340238040,29205712,2.4417568469483816,1.3061032E7,0.09153935185185186,524771.2736111111
public goods network,2023-07-20T00:00:00Z,86400,17,43224851649,1133692,0.04879400741772249700,1.1311348E7,1.9675925925925926E-4,500287.6348263889
public goods network,2023-07-19T00:00:00Z,86400,10,43214682262,943412,0.02344420844260214000,1.1295482E7,1.1574074074074075E-4,500169.93358796294
zora network,2023-07-19T00:00:00Z,86400,8104,45387819735,32271212,2.8462672429499653,1.3275591E7,0.0937962962962963,525321.9876736111
public goods network,2023-07-18T00:00:00Z,86400,4,43201591504,12072,0.00122013128879797100,1.1233356E7,4.6296296296296294E-5,500018.4201851852
zora network,2023-07-18T00:00:00Z,86400,8856,51462524621,93643556,4.2409364039381477,1.8423326E7,0.1025,595631.0720023148
zora network,2023-07-17T00:00:00Z,86400,11836,49292322956,118160536,4.7831955448924997,2.015215E7,0.13699074074074075,570512.9971759259
public goods network,2023-07-17T00:00:00Z,86400,8,43204187267,171760,0.00703747570875874400,1.1243646E7,9.259259259259259E-5,500048.4637384259
public goods network,2023-07-16T00:00:00Z,86400,0,43200000000,,,1.1232E7,0.0,500000.0
zora network,2023-07-16T00:00:00Z,86400,8742,48930682064,74716504,2.8470113871412096,1.6675783E7,0.10118055555555555,566327.3387037037
zora network,2023-07-15T00:00:00Z,86400,9021,47936481081,94041372,3.1220754560726107,1.8253227E7,0.10440972222222222,554820.3828819444
public goods network,2023-07-15T00:00:00Z,86400,0,43200000000,,,1.1232E7,0.0,500000.0
zora network,2023-07-14T00:00:00Z,86400,3165,45682818277,45228444,4.8277821969636405,1.4741545E7,0.036631944444444446,528736.322650463
public goods network,2023-07-14T00:00:00Z,86400,7,43206735743,349300,0.00434432674636103800,1.125467E7,8.101851851851852E-5,500077.95998842595
zora network,2023-07-13T00:00:00Z,86400,1489,44149008931,10644060,1.3381345035989285,1.1978313E7,0.017233796296296296,510983.89966435183
public goods network,2023-07-13T00:00:00Z,86400,18,43211853233,620524,0.05774346582411108600,1.1273837E7,2.0833333333333335E-4,500137.19019675924
zora network,2023-07-12T00:00:00Z,86400,1333,44117647843,7874688,1.3791285736271979,1.1809803E7,0.01542824074074074,510620.9241087963
public goods network,2023-07-12T00:00:00Z,86400,23,43216174420,1132588,0.32464978811993184700,1.1304373E7,2.662037037037037E-4,500187.20393518516
zora network,2023-07-11T00:00:00Z,86400,1848,43756353147,7344120,0.80599256059158669100,1.1717131E7,0.021388888888888888,506439.27253472223
public goods network,2023-07-11T00:00:00Z,13272,0,6636000000,,,1725360.0,0.0,500000.0
zora network,2023-07-10T00:00:00Z,86400,3055,44021487320,11787112,1.1464633685822184,1.2016899E7,0.0353587962962963,509507.9550925926
zora network,2023-07-09T00:00:00Z,86400,6584,44716477762,25642332,2.1278026597278208,1.2906622E7,0.0762037037037037,517551.82594907406
zora network,2023-07-08T00:00:00Z,86400,2974,44037498947,10870260,1.0960679380668389,1.1922857E7,0.0344212962962963,509693.27484953706
zora network,2023-07-07T00:00:00Z,86400,3341,44021207309,12037484,1.1792378571088858,1.196341E7,0.038668981481481485,509504.714224537
zora network,2023-07-06T00:00:00Z,86400,3065,44069984143,11014804,1.5195230458772562,1.1867744E7,0.035474537037037034,510069.26091435185
zora network,2023-07-05T00:00:00Z,86400,1920,43791250030,7386000,1.1342605841936399,1.1679885E7,0.022222222222222223,506843.1716435185
zora network,2023-07-04T00:00:00Z,86400,6058,44795934276,20348164,2.3142081759815458,1.2363979E7,0.07011574074074074,518471.4615277778
zora network,2023-07-03T00:00:00Z,86400,4922,44395067251,15474968,1.6348499001282677,1.1983258E7,0.05696759259259259,513831.79688657407
zora network,2023-07-02T00:00:00Z,86400,8158,45142426632,25774424,2.4711517620301952,1.2529352E7,0.0944212962962963,522481.7897222222
zora network,2023-07-01T00:00:00Z,86400,7625,44976116850,23553144,2.2830450982949937,1.2334544E7,0.08825231481481481,520556.9079861111
zora network,2023-06-30T00:00:00Z,86400,6729,44687339673,22655036,2.3864527619821499,1.2237709E7,0.07788194444444445,517214.57954861113
zora network,2023-06-29T00:00:00Z,86400,6614,44805564191,20628316,2.2365396164815502,1.2225664E7,0.07655092592592593,518582.91887731483
zora network,2023-06-28T00:00:00Z,86400,5175,44520701454,18195608,1.7171412514001822,1.2268415E7,0.059895833333333336,515285.89645833336
zora network,2023-06-27T00:00:00Z,86400,7014,44914696243,25662692,2.1712131785711984,1.2782373E7,0.08118055555555556,519846.02133101854
zora network,2023-06-26T00:00:00Z,86400,6421,44909115483,24103968,2.0522738258598114,1.267362E7,0.07431712962962964,519781.4292013889
zora network,2023-06-25T00:00:00Z,86400,7746,45435846502,27880024,2.4617998138768909,1.292202E7,0.08965277777777778,525877.8530324074
zora network,2023-06-24T00:00:00Z,86400,6784,44998807716,23554708,2.0511859777916247,1.2570565E7,0.07851851851851852,520819.53375
zora network,2023-06-23T00:00:00Z,86400,6007,44879287565,25020556,2.0735455447381276,1.2789112E7,0.06952546296296297,519436.1986689815
zora network,2023-06-22T00:00:00Z,86400,8734,45639315639,32658772,2.7234424971169519,1.3195657E7,0.10108796296296296,528232.8198958334
zora network,2023-06-21T00:00:00Z,86400,775,43434652920,3041408,0.29015404506903896600,1.1424052E7,0.008969907407407407,502715.8902777778
zora network,2023-06-20T00:00:00Z,86400,74,43218883542,293864,0.02992344414259804700,1.1253596E7,8.564814814814815E-4,500218.5595138889
zora network,2023-06-19T00:00:00Z,86400,8,43209633004,553744,0.02182591400318298800,1.126852E7,9.259259259259259E-5,500111.49310185184
zora network,2023-06-18T00:00:00Z,86400,1,43200354598,1856,0.00024824079821827500,1.1232E7,1.1574074074074073E-5,500004.10414351855
zora network,2023-06-17T00:00:00Z,86400,13,43213660381,827376,0.02963449118836583700,1.128489E7,1.5046296296296297E-4,500158.1062615741
zora network,2023-06-16T00:00:00Z,86400,5,43200118949,10236,0.00038201835704037700,1.1232E7,5.787037037037037E-5,500001.37672453705
zora network,2023-06-15T00:00:00Z,86400,12,43216577964,831128,0.05989113197705125300,1.1289319E7,1.388888888888889E-4,500191.8745833333
zora network,2023-06-14T00:00:00Z,86400,76,43278440263,4354276,0.29686706935712604500,1.1527191E7,8.796296296296296E-4,500907.87341435184
zora network,2023-06-13T00:00:00Z,6960,0,3480100000,,,904800.0,0.0,500014.367816092
