id,dt,name,alignment,num_l1_txs_inbox,num_l1_txs_output,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_combined,l2_num_txs_per_day,l1_gas_used_on_l2,,,,,,,,,,,,,,,,
op mainnet2023-08-23,2023-08-23 00:00:00.000 UTC,OP Mainnet,OP Chain,736,24,1374166848,2084628,"1,376,251,476.00",432195,2160114192,,,,,,,,,,,,,,,,
op mainnet2023-06-20,2023-06-20 00:00:00.000 UTC,OP Mainnet,OP Chain,804,24,1419223348,2084640,"1,421,307,988.00",432068,2339675036,,,,,,,,,,,,,,,,
op mainnet2023-07-10,2023-07-10 00:00:00.000 UTC,OP Mainnet,OP Chain,799,24,1401497412,2084628,"1,403,582,040.00",431025,2319593856,,,,,,,,,,,,,,,,
op mainnet2023-06-10,2023-06-10 00:00:00.000 UTC,OP Mainnet,OP Chain,761,24,1337026820,2084616,"1,339,111,436.00",428588,2181672884,,,,,,,,,,,,,,,,
base2023-08-16,2023-08-16 00:00:00.000 UTC,Base,OP Chain,1449,24,1140928948,2084316,"1,143,013,264.00",426688,1668749012,,,,,,,,,,,,,,,,
op mainnet2023-07-04,2023-07-04 00:00:00.000 UTC,OP Mainnet,OP Chain,745,23,1296383560,1997718,"1,298,381,278.00",424794,2124073640,,,,,,,,,,,,,,,,
op mainnet2023-06-09,2023-06-09 00:00:00.000 UTC,OP Mainnet,OP Chain,725,24,1266182916,2084616,"1,268,267,532.00",421777,2053902032,,,,,,,,,,,,,,,,
op mainnet2023-06-12,2023-06-12 00:00:00.000 UTC,OP Mainnet,OP Chain,753,24,1321268340,2084628,"1,323,352,968.00",419348,2159873480,,,,,,,,,,,,,,,,
op mainnet2023-06-16,2023-06-16 00:00:00.000 UTC,OP Mainnet,OP Chain,726,24,1265864236,2084628,"1,267,948,864.00",415492,2100294744,,,,,,,,,,,,,,,,
op mainnet2023-08-22,2023-08-22 00:00:00.000 UTC,OP Mainnet,OP Chain,696,24,1299507816,2084616,"1,301,592,432.00",408553,2051804788,,,,,,,,,,,,,,,,
op mainnet2023-08-21,2023-08-21 00:00:00.000 UTC,OP Mainnet,OP Chain,695,24,1298224140,2084640,"1,300,308,780.00",405843,2059712432,,,,,,,,,,,,,,,,
op mainnet2023-08-13,2023-08-13 00:00:00.000 UTC,OP Mainnet,OP Chain,738,24,1284264564,2084640,"1,286,349,204.00",395256,2029760624,,,,,,,,,,,,,,,,
op mainnet2023-06-08,2023-06-08 00:00:00.000 UTC,OP Mainnet,OP Chain,680,24,1175500704,2084604,"1,177,585,308.00",394920,1916154348,,,,,,,,,,,,,,,,
op mainnet2023-08-12,2023-08-12 00:00:00.000 UTC,OP Mainnet,OP Chain,709,24,1230122100,2084640,"1,232,206,740.00",388784,1970685356,,,,,,,,,,,,,,,,
op mainnet2023-06-11,2023-06-11 00:00:00.000 UTC,OP Mainnet,OP Chain,698,24,1212500696,2084568,"1,214,585,264.00",387214,2012948884,,,,,,,,,,,,,,,,
op mainnet2023-08-24,2023-08-24 00:00:00.000 UTC,OP Mainnet,OP Chain,657,24,1226319172,2084616,"1,228,403,788.00",386139,1925146612,,,,,,,,,,,,,,,,
op mainnet2023-06-19,2023-06-19 00:00:00.000 UTC,OP Mainnet,OP Chain,698,24,1205294788,2084628,"1,207,379,416.00",382987,1977984880,,,,,,,,,,,,,,,,
op mainnet2023-08-19,2023-08-19 00:00:00.000 UTC,OP Mainnet,OP Chain,690,24,1287437524,2084652,"1,289,522,176.00",382182,2006640152,,,,,,,,,,,,,,,,
op mainnet2023-06-07,2023-06-07 00:00:00.000 UTC,OP Mainnet,OP Chain,665,24,1138900744,2084532,"1,140,985,276.00",381914,1826044900,,,,,,,,,,,,,,,,
op mainnet2023-07-06,2023-07-06 00:00:00.000 UTC,OP Mainnet,OP Chain,714,24,1238333444,2084652,"1,240,418,096.00",381431,1945858552,,,,,,,,,,,,,,,,
op mainnet2023-06-17,2023-06-17 00:00:00.000 UTC,OP Mainnet,OP Chain,671,24,1156296800,2084592,"1,158,381,392.00",377933,1918841208,,,,,,,,,,,,,,,,
base2023-08-17,2023-08-17 00:00:00.000 UTC,Base,OP Chain,1438,24,967558936,2084352,"969,643,288.00",376412,1416354852,,,,,,,,,,,,,,,,
base2023-08-07,2023-08-07 00:00:00.000 UTC,Base,OP Chain,1430,24,930500012,2084340,"932,584,352.00",365480,1410198936,,,,,,,,,,,,,,,,
op mainnet2023-06-18,2023-06-18 00:00:00.000 UTC,OP Mainnet,OP Chain,635,24,1100769112,2084604,"1,102,853,716.00",360927,1844915944,,,,,,,,,,,,,,,,
op mainnet2023-08-20,2023-08-20 00:00:00.000 UTC,OP Mainnet,OP Chain,647,24,1207710276,2084556,"1,209,794,832.00",359694,1895451264,,,,,,,,,,,,,,,,
op mainnet2023-07-07,2023-07-07 00:00:00.000 UTC,OP Mainnet,OP Chain,647,23,1125066736,1997766,"1,127,064,502.00",354307,1816971372,,,,,,,,,,,,,,,,
base2023-08-06,2023-08-06 00:00:00.000 UTC,Base,OP Chain,1429,24,806863612,2084328,"808,947,940.00",327415,1177968236,,,,,,,,,,,,,,,,
op mainnet2023-07-05,2023-07-05 00:00:00.000 UTC,OP Mainnet,OP Chain,580,25,991278576,2171514,"993,450,090.00",315303,1571067916,,,,,,,,,,,,,,,,
base2023-08-08,2023-08-08 00:00:00.000 UTC,Base,OP Chain,1428,24,899683392,2084340,"901,767,732.00",312409,1299978696,,,,,,,,,,,,,,,,
base2023-08-04,2023-08-04 00:00:00.000 UTC,Base,OP Chain,1433,24,698880836,2084292,"700,965,128.00",286172,988394004,,,,,,,,,,,,,,,,
base2023-08-05,2023-08-05 00:00:00.000 UTC,Base,OP Chain,1432,24,757458044,2084328,"759,542,372.00",279724,1108573612,,,,,,,,,,,,,,,,
op mainnet2023-06-06,2023-06-06 00:00:00.000 UTC,OP Mainnet,OP Chain,53,7,65810044,622731,"66,432,775.00",257340,1734436784,,,,,,,,,,,,,,,,
base2023-08-01,2023-08-01 00:00:00.000 UTC,Base,OP Chain,1432,24,495893112,2084328,"497,977,440.00",161295,588535804,,,,,,,,,,,,,,,,
base2023-08-02,2023-08-02 00:00:00.000 UTC,Base,OP Chain,1434,24,472626648,2084304,"474,710,952.00",147995,562338496,,,,,,,,,,,,,,,,
base2023-07-15,2023-07-15 00:00:00.000 UTC,Base,OP Chain,142,25,90437352,2171118,"92,608,470.00",34444,77519560,,,,,,,,,,,,,,,,
base2023-07-22,2023-07-22 00:00:00.000 UTC,Base,OP Chain,143,24,109223160,2084304,"111,307,464.00",24481,103925388,,,,,,,,,,,,,,,,
base2023-07-16,2023-07-16 00:00:00.000 UTC,Base,OP Chain,144,23,74023252,1997490,"76,020,742.00",24184,49021612,,,,,,,,,,,,,,,,
base2023-07-19,2023-07-19 00:00:00.000 UTC,Base,OP Chain,142,24,96642844,2084280,"98,727,124.00",22532,92427860,,,,,,,,,,,,,,,,
base2023-07-23,2023-07-23 00:00:00.000 UTC,Base,OP Chain,143,24,99720188,2084328,"101,804,516.00",21589,94248448,,,,,,,,,,,,,,,,
base2023-07-29,2023-07-29 00:00:00.000 UTC,Base,OP Chain,1448,24,135118228,2084304,"137,202,532.00",19275,62230540,,,,,,,,,,,,,,,,
base2023-07-14,2023-07-14 00:00:00.000 UTC,Base,OP Chain,1350,23,99482224,1997418,"101,479,642.00",18472,47179440,,,,,,,,,,,,,,,,
base2023-07-20,2023-07-20 00:00:00.000 UTC,Base,OP Chain,143,24,86028892,2084340,"88,113,232.00",17568,76792276,,,,,,,,,,,,,,,,
