blockchain,chain_type,classification,dt,eth_fees,eth_fees_success,gas_used,gas_used_success,name,num_senders,num_txs,num_txs_success,last_updated
fantom,L1,Potential Non-Sybil,2024-08-19 00:00:00.000 UTC,647.0248037788614,593.9165654041466,68000992407,63074097862,Fantom,12213,163536,148299,2024-09-23 01:00:22.401524
fantom,L1,Likely Sybil,2024-06-10 00:00:00.000 UTC,116.59352908060846,103.42041143976522,7828130485,7173192207,Fantom,2663,16604,13696,2024-09-23 01:00:22.401524
linea,L2,Potential Non-Sybil,2024-05-02 00:00:00.000 UTC,3.7207033927065134,3.535596432225984,37605848565,36464015312,Linea,104926,246901,242239,2024-09-23 01:00:22.401524
base,L2,Likely Sybil,2024-03-29 00:00:00.000 UTC,29.91160149861962,6.761519517659806,17867200388,12540035562,Base,3548,186621,140084,2024-09-23 01:00:22.401524
celo,L1,Likely Sybil,2024-05-17 00:00:00.000 UTC,240.5081987748066,238.05692665517572,34033600063,33662653473,Celo,301036,378578,373635,2024-09-23 01:00:22.401524
base,L2,Likely Sybil,2024-08-07 00:00:00.000 UTC,5.480024268738846,5.080056144072674,190384643291,183241718865,Base,40602,591460,537293,2024-09-23 01:00:22.401524
polygon,L1,Likely Sybil,2024-05-20 00:00:00.000 UTC,4309.88861888906,3907.883248674264,76915124161,74238210777,Polygon PoS,454580,1056058,1008691,2024-09-23 01:00:22.401524
avalanche_c,L1,Potential Non-Sybil,2024-07-22 00:00:00.000 UTC,840.3003172637675,780.7611397164347,26417397985,25122054429,Avalanche C-Chain,16471,144773,135626,2024-09-23 01:00:22.401524
celo,L1,Volume too Low,2024-06-08 00:00:00.000 UTC,35.27932545421483,35.18697245212701,6282867463,6268078803,Celo,34524,51946,51759,2024-09-23 01:00:22.401524
optimism,L2,Potential Non-Sybil,2024-06-23 00:00:00.000 UTC,14.789813514568284,14.532972467627287,196585963010,194725563198,OP Mainnet,49056,329742,318799,2024-09-23 01:00:22.401524
optimism,L2,Volume too Low,2024-07-10 00:00:00.000 UTC,0.42420908481313585,0.4203747352486525,3965677884,3897862482,OP Mainnet,38188,49789,49441,2024-09-23 01:00:22.401524
base,L2,Potential Non-Sybil,2024-04-05 00:00:00.000 UTC,128.0558587838314,117.47597939653448,323075659478,282351278953,Base,174938,2147822,1494788,2024-09-23 01:00:22.401524
arbitrum,L2,Likely Sybil,2024-04-04 00:00:00.000 UTC,48.80421751804762,39.5350823582598,32365773563,26061601555,Arbitrum One,3217,215456,147117,2024-09-23 01:00:22.401524
zkevm,L2,Volume too Low,2024-06-17 00:00:00.000 UTC,0.047551113403624175,0.04708971904688421,326737336,322546781,Polygon zkEVM,1398,2524,2507,2024-09-23 01:00:22.401524
zksync,L2,Likely Sybil,2024-07-15 00:00:00.000 UTC,0.1853365331165008,0.16676178889525092,4095834986,3685343401,zkSync Era,10884,24664,23283,2024-09-23 01:00:22.401524
zora,L2,Likely Sybil,2024-07-12 00:00:00.000 UTC,0.0015640990209121858,0.0015640990209121858,5951454797,5951454797,ZORA,197,7976,7976,2024-09-23 01:00:22.401524
arbitrum,L2,Likely Sybil,2024-06-27 00:00:00.000 UTC,53.52653276650223,12.588960623047633,83704161029,46841208518,Arbitrum One,145975,509612,387381,2024-09-23 01:00:22.401524
arbitrum,L2,Volume too Low,2024-08-13 00:00:00.000 UTC,0.9026900383773715,0.8946064467038918,24202477056,23748959355,Arbitrum One,166382,221516,217095,2024-09-23 01:00:22.401524
arbitrum,L2,Volume too Low,2024-09-21 00:00:00.000 UTC,2.8880318463306223,2.882006815995742,27682969910,27513091348,Arbitrum One,157339,228506,226976,2024-09-23 01:00:22.401524
bnb,L1,Potential Non-Sybil,2024-09-10 00:00:00.000 UTC,578.0726921245192,555.4270348380305,281852238949,265603203316,BNB,446416,2206247,2072640,2024-09-23 01:00:22.401524
bnb,L1,Likely Sybil,2024-08-28 00:00:00.000 UTC,66.35004645393099,64.34821668179862,21124640689,20686710771,BNB,85719,394298,387577,2024-09-23 01:00:22.401524
ethereum,L1,Volume too Low,2024-05-15 00:00:00.000 UTC,166.20981520508738,163.31006219331707,21448141256,21098159075,Ethereum,217927,326417,323755,2024-09-23 01:00:22.401524
celo,L1,Potential Non-Sybil,2024-07-02 00:00:00.000 UTC,1105.4497202980767,1075.415161164549,136120336187,133834241321,Celo,57291,329708,312980,2024-09-23 01:00:22.401524
zkevm,L2,Potential Non-Sybil,2024-06-01 00:00:00.000 UTC,0.2495930507548387,0.24125152198766184,2036836046,1954455466,Polygon zkEVM,5462,14075,13829,2024-09-23 01:00:22.401524
zkevm,L2,Volume too Low,2024-03-27 00:00:00.000 UTC,0.5902711981060793,0.5830965692160792,126179204,124664615,Polygon zkEVM,754,1235,1226,2024-09-23 01:00:22.401524
celo,L1,Potential Non-Sybil,2024-04-06 00:00:00.000 UTC,407.6100576950042,384.47259321863504,52928295602,51924872751,Celo,49711,180553,175355,2024-09-23 01:00:22.401524
ethereum,L1,Volume too Low,2024-08-17 00:00:00.000 UTC,34.952866032175095,34.238163459824726,18693627477,18260813940,Ethereum,227598,298488,295699,2024-09-23 01:00:22.401524
celo,L1,Potential Non-Sybil,2024-05-09 00:00:00.000 UTC,630.8153673798755,542.8409350074065,62887695252,59694425236,Celo,60326,246099,219531,2024-09-23 01:00:22.401524
polygon,L1,Potential Non-Sybil,2024-05-09 00:00:00.000 UTC,28688.771449827436,25977.627461041484,438934617377,418598558125,Polygon PoS,454084,2729132,2600747,2024-09-23 01:00:22.401524
zksync,L2,Likely Sybil,2024-06-30 00:00:00.000 UTC,0.09803749237500063,0.08393152895000029,3921499695,3357261158,zkSync Era,8590,21367,19306,2024-09-23 01:00:22.401524
fantom,L1,Likely Sybil,2024-06-30 00:00:00.000 UTC,140.57462051068092,133.84563265350735,19210842890,18795129312,Fantom,5147,31129,28924,2024-09-23 01:00:22.401524
fantom,L1,Volume too Low,2024-06-14 00:00:00.000 UTC,70.35126590858387,45.66135305202422,1857985921,1495051802,Fantom,6648,15156,13461,2024-09-23 01:00:22.401524
zora,L2,Likely Sybil,2024-05-24 00:00:00.000 UTC,0.006010277943124545,0.006010277943124545,2056671535,2056671535,ZORA,235,5580,5580,2024-09-23 01:00:22.401524
optimism,L2,Likely Sybil,2024-04-09 00:00:00.000 UTC,0.6128420090615918,0.5292376675675708,3453482316,3095672965,OP Mainnet,3956,40448,37651,2024-09-23 01:00:22.401524
optimism,L2,Potential Non-Sybil,2024-08-22 00:00:00.000 UTC,4.123693318463448,3.9682565806283567,152888968639,150237582179,OP Mainnet,28855,324984,308032,2024-09-23 01:00:22.401524
arbitrum,L2,Potential Non-Sybil,2024-06-19 00:00:00.000 UTC,5908.132879296452,4914.732956268504,296096977502,279669326993,Arbitrum One,291528,1300517,1219095,2024-09-23 01:00:22.401524
linea,L2,Potential Non-Sybil,2024-06-12 00:00:00.000 UTC,5.938556298952654,5.647846627016457,54494167945,52837702629,Linea,122492,348180,342176,2024-09-23 01:00:22.401524
polygon,L1,Likely Sybil,2024-06-08 00:00:00.000 UTC,3272.5877685750097,3008.596062995287,67643757232,62149023265,Polygon PoS,457100,1029211,953738,2024-09-23 01:00:22.401524
ethereum,L1,Volume too Low,2024-07-04 00:00:00.000 UTC,163.15137500529727,159.63672592179526,19102326493,18759547422,Ethereum,246520,352879,349477,2024-09-23 01:00:22.401524
zksync,L2,Volume too Low,2024-03-31 00:00:00.000 UTC,2.251366531111338,2.244319508786342,64557157613,64275276720,zkSync Era,53983,100133,99247,2024-09-23 01:00:22.401524
avalanche_c,L1,Potential Non-Sybil,2024-04-07 00:00:00.000 UTC,950.736073661504,863.9131195663206,29263548697,27603173295,Avalanche C-Chain,23090,191501,178208,2024-09-23 01:00:22.401524
