origin_key,dt,daa,fdv_eth,fdv_usd,fees_paid_eth,fees_paid_usd,gas_per_second,market_cap_eth,market_cap_usd,profit_eth,profit_usd,rent_paid_eth,rent_paid_usd,stables_mcap,stables_mcap_eth,total_blob_size_mb,total_blobs_eth,total_blobs_usd,tvl,tvl_eth,txcosts_median_eth,txcosts_median_usd,txcount,chain_name,evm_chain_id
optimism,2023-05-01,36037.0,4960047.068930418,9351632742.652946,80.73232487075546,152212.07423232272,1.016798,363578.6481937564,686109891.5223354,11.393933656030768,21482.030626844335,69.3383912147247,130730.0436054784,627091893.5,332605.5881256,,,,2329368004.22,1235482.1088187902,0.0003734325301419,0.7040666807220001,170141.0,OP Mainnet,10.0
optimism,2023-05-02,36065.0,4884840.235663185,8952572725.880062,93.61979412596642,171579.41202980708,0.863345,357850.67329887976,655650504.8638982,12.76120887740582,23387.796741240087,80.8585852485606,148191.615288567,625895129.93,341510.514083777,,,,2259757277.91,1233003.4741920915,0.0004397205338551,0.8058871669251506,162368.0,OP Mainnet,10.0
optimism,2023-05-03,83595.0,4969064.963126005,9296268713.053862,166.7276686595085,311918.88640247117,1.292815,364479.0424786819,681757631.055489,34.02032807524418,63646.20181877479,132.70734058426433,248272.6845836964,626713338.95,334992.3921763592,,,,2308059871.27,1233709.9747364437,0.0004486661996019,0.8393775458592564,282067.0,OP Mainnet,10.0
optimism,2023-05-04,48588.0,4879606.8004812375,9289445123.37184,108.2069228900029,205996.57170255537,1.003122,357710.9774796695,680728307.0210149,18.569634562953738,35351.53718053989,89.63728832704916,170645.03452201548,624645417.3,328116.9096395031,,,,2327510685.94,1222606.605719755,0.0003994356349852,0.7604168866942843,208585.0,OP Mainnet,10.0
optimism,2023-05-05,34639.0,4633734.716330542,8699379093.995386,139.10977468919475,261164.85724498332,0.957162,339591.0907183817,637555291.1612126,16.877410657869433,31685.670938476487,122.23236403132532,229479.18630650683,628053225.13,334533.30422133073,,,,2268555340.97,1208348.7253274692,0.0007055920021905,1.3246792681319566,147845.0,OP Mainnet,10.0
optimism,2023-05-06,29182.0,4267522.391801519,8507787971.913012,119.11514239124702,237469.49228804192,0.971099,312487.15605959215,622811071.8612577,11.356122554680454,22639.71316562783,107.75901983656657,214829.77912241407,626851106.96,314429.6900802832,,,,2288345584.16,1147838.4337764708,0.0006685133633844,1.3327569090185658,131734.0,OP Mainnet,10.0
optimism,2023-05-07,30680.0,4228071.858851469,8035072574.0037565,92.56625297913956,175913.88827365398,0.766156,310024.60457279446,588405139.5033987,9.197050412502122,17478.172083693004,83.36920256663744,158435.71618996098,624902156.89,328824.8114435711,,,,2196343539.45,1155720.527225002,0.0005412018755452,1.0285057804987026,127543.0,OP Mainnet,10.0
optimism,2023-05-08,29550.0,4304119.656605954,8157297334.035269,115.61760400865748,219121.96876307967,1.334829,314652.3943099626,596772668.905815,12.182718467586938,23089.055325035846,103.43488554107054,196032.91343804382,625542089.89,330061.28070092446,,,,2204766647.3,1163323.9633523095,0.0005716907136415,1.083485475856386,148453.0,OP Mainnet,10.0
optimism,2023-05-09,42162.0,3994120.305097888,7386281265.322341,93.14266709195124,172247.6751802733,0.891537,292525.8147386683,540727285.8091736,10.496294997060971,19410.678990598906,82.64637209489027,152836.9961896744,627176570.47,339144.7719106813,,,,2101891999.37,1136594.8861466951,0.0004415802675183,0.8166093677607716,163207.0,OP Mainnet,10.0
optimism,2023-05-10,37262.0,3968719.359730742,7326510983.935753,122.27230113177504,225722.52559924705,1.226434,290426.6313441877,536442669.6216218,17.30825529084619,31952.151565020737,104.96404584092885,193770.37403422632,627275119.82,339790.5111130706,,,,2093030196.64,1133779.7049809285,0.0004901162459997,0.9047860869572244,179659.0,OP Mainnet,10.0
optimism,2023-05-11,55351.0,4024018.5742459646,7415725238.588858,132.28597127831875,243785.2603858052,1.24882,295006.3043418,543337619.1652993,17.365137024459912,32001.612946821828,114.92083425385884,211783.64743898337,626615708.9,340022.47526739846,,,,2099696372.35,1139364.9212684527,0.0004958269594295,0.9137424266743378,208587.0,OP Mainnet,10.0
