blockchain,chain_type,classification,dt,eth_fees,eth_fees_success,gas_used,gas_used_success,num_senders,num_txs,num_txs_success,last_updated,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
zksync,L2,Potential Non-Sybil,2024-08-31,0.9512698410157634,0.9420180154272642,21022537923,20818077689,63403,142646,141760,2024-09-02 01:00:22.804107,dune,zksync era,False,,,Other EVMs,,zkSync Era
zksync,L2,Likely Sybil,2024-08-31,0.0957681829229999,0.09515486062199989,2116423932,2102869848,10450,16793,16730,2024-09-02 01:00:22.804107,dune,zksync era,False,,,Other EVMs,,zkSync Era
zkevm,L2,Potential Non-Sybil,2024-08-31,0.052700312422474783,0.04687353940292215,1725125303,1412767437,3465,11122,10007,2024-09-02 01:00:22.804107,dune,polygon zkevm,False,,,Other EVMs,,Polygon zkEVM
zkevm,L2,Likely Sybil,2024-08-31,0.00017779457594973002,0.00017534280982473,10490599,10368420,58,135,133,2024-09-02 01:00:22.804107,dune,polygon zkevm,False,,,Other EVMs,,Polygon zkEVM
zkevm,L2,Volume too Low,2024-08-31,0.005726139922993609,0.005657994237733609,142395770,136953415,673,1159,1143,2024-09-02 01:00:22.804107,dune,polygon zkevm,False,,,Other EVMs,,Polygon zkEVM
scroll,L2,Potential Non-Sybil,2024-08-31,2.613474526708883,2.5516045684023583,46924809333,45849383989,50187,204191,200068,2024-09-02 01:00:22.804107,dune,scroll,False,,,Other EVMs,,Scroll
scroll,L2,Volume too Low,2024-08-31,0.10819960480683634,0.10625626332986729,2177136837,2137222503,4998,11124,10977,2024-09-02 01:00:22.804107,dune,scroll,False,,,Other EVMs,,Scroll
scroll,L2,Likely Sybil,2024-08-31,0.020056030857430265,0.019486549518869273,265489729,253963959,540,9183,9052,2024-09-02 01:00:22.804107,dune,scroll,False,,,Other EVMs,,Scroll
polygon,L1,Potential Non-Sybil,2024-08-31,19461.92127659928,18036.278884553583,360278942153,346110845652,247039,1806849,1685494,2024-09-02 01:00:22.804107,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
polygon,L1,Likely Sybil,2024-08-31,2634.668640096056,2399.163735555052,65423528111,60309334673,265254,670982,591674,2024-09-02 01:00:22.804107,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
polygon,L1,Volume too Low,2024-08-31,928.0273913984386,916.4623668910438,22734228028,22465297960,115596,244480,242918,2024-09-02 01:00:22.804107,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
