month,chain,chainId,layer,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,provider,is_upcoming,is_archived,is_current_chain,totalUsd_min,totalUsd_last,totalUsd_mean,transactions_sum,transactions_mean,canonicalUsd_min,canonicalUsd_last,canonicalUsd_mean,externalUsd_min,externalUsd_last,externalUsd_mean,nativeUsd_min,nativeUsd_last,nativeUsd_mean,months_live
2020-04-01,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,6.0
2020-04-01,xdai,,,False,,,Other EVMs,,,,False,False,False,53.99,101.3,132.14033333333333,0.0,,53.99,101.3,132.14033333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-05-01,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,7.0
2020-05-01,bridge,,,False,,,Other EVMs,,,,False,False,False,70.98,195.47,137.0625806451613,0.0,,70.98,195.47,137.0625806451613,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-05-01,deversifi,,L2,False,,,Other EVMs,,,StarkEx,False,False,True,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-01,gluon,,L2,False,,,Other EVMs,,,,False,True,False,33781.21,141234.55,68777.30419354839,0.0,,33781.21,141234.55,68777.30419354839,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-05-01,layer2,,,False,,,Other EVMs,,,,False,False,False,262781.26,388285.43,359496.315483871,0.0,,262781.26,388285.43,359496.315483871,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-05-01,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,224265.45,245156.02,289272.4590322581,0.0,,224265.45,245156.02,289272.4590322581,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-05-01,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,7.0
2020-05-01,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,7.0
2020-05-01,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,1115.55,1894.86,1446.5522580645163,0.0,,1115.55,1894.86,1446.5522580645163,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-05-01,polygon-plasma,,,False,,,Other EVMs,,,,False,False,False,0.19,0.19,0.19,0.0,,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-05-01,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,7.0
2020-05-01,xdai,,,False,,,Other EVMs,,,,False,False,False,70.98,195.28,137.05645161290323,0.0,,70.98,195.28,137.05645161290323,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-06-01,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,8.0
2020-06-01,bridge,,,False,,,Other EVMs,,,,False,False,False,77.07,147.8,141.86066666666665,0.0,,77.07,147.8,141.86066666666665,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-06-01,deversifi,,L2,False,,,Other EVMs,,,StarkEx,False,False,True,23.23,1141346.22,1434856.111,13229.0,440.96666666666664,23.23,1141346.22,1434856.111,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-01,gluon,,L2,False,,,Other EVMs,,,,False,True,False,139948.36,142306.09,141508.449,0.0,,139948.36,142306.09,141508.449,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-06-01,layer2,,,False,,,Other EVMs,,,,False,False,False,393347.82,1500885.61,1814972.0450000002,0.0,,393347.82,1500885.61,1814972.0450000002,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-06-01,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,201011.34,207237.05,231870.58833333335,0.0,,201011.34,207237.05,231870.58833333335,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-06-01,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,8.0
2020-06-01,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,8.0
2020-06-01,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,1816.63,8097.78,6079.397333333333,0.0,,1816.63,8097.78,6079.397333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-06-01,polygon-plasma,,,False,,,Other EVMs,,,,False,False,False,0.15,12.11,3.5343333333333335,0.0,,0.15,12.11,3.5343333333333335,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-06-01,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,8.0
2020-06-01,xdai,,,False,,,Other EVMs,,,,False,False,False,76.91,135.69,138.32633333333334,0.0,,76.91,135.69,138.32633333333334,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-06-01,zksync,,L2,False,,,Other EVMs,,,ZKsync Lite,False,False,True,1.31,1898.47,1314.9986666666666,3321.0,207.5625,1.31,1898.47,1314.9986666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-01,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,9.0
2020-07-01,bridge,,,False,,,Other EVMs,,,,False,False,False,28.54,2073.42,503.8283870967742,0.0,,28.54,2073.42,503.8283870967742,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-07-01,deversifi,,L2,False,,,Other EVMs,,,StarkEx,False,False,True,2083503.79,2125899.71,2552908.379677419,16376.0,528.258064516129,2083503.79,2125899.71,2552908.379677419,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-07-01,gluon,,L2,False,,,Other EVMs,,,,False,True,False,164770.83,196195.61,177432.61193548387,0.0,,164770.83,196195.61,177432.61193548387,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-07-01,layer2,,,False,,,Other EVMs,,,,False,False,False,2524778.9,2588252.03,3000380.021935484,0.0,,2524778.9,2588252.03,3000380.021935484,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-07-01,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,205229.53,225833.37,237178.675483871,0.0,,205229.53,225833.37,237178.675483871,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-07-01,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,9.0
2020-07-01,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,9.0
2020-07-01,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,22768.49,29911.72,25522.525806451613,0.0,,22768.49,29911.72,25522.525806451613,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-07-01,polygon-plasma,,,False,,,Other EVMs,,,,False,False,False,13.68,1913.48,383.7658064516129,0.0,,13.68,1913.48,383.7658064516129,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-07-01,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,9.0
2020-07-01,xdai,,,False,,,Other EVMs,,,,False,False,False,5.08,159.94,120.06258064516129,0.0,,5.08,159.94,120.06258064516129,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-07-01,zksync,,L2,False,,,Other EVMs,,,ZKsync Lite,False,False,True,1866.13,10411.62,7337.829032258065,2130.0,68.70967741935483,1866.13,10411.62,7337.829032258065,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-08-01,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,10.0
2020-08-01,bridge,,,False,,,Other EVMs,,,,False,False,False,2478.41,266074.03,41552.73193548387,0.0,,2478.41,266074.03,41552.73193548387,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-08-01,deversifi,,L2,False,,,Other EVMs,,,StarkEx,False,False,True,1803962.82,3235216.33,2534948.317419355,9431.0,304.2258064516129,1803962.82,3235216.33,2534948.317419355,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-08-01,gluon,,L2,False,,,Other EVMs,,,,False,True,False,191905.5,274300.24,219359.10806451613,0.0,,191905.5,274300.24,219359.10806451613,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-08-01,layer2,,,False,,,Other EVMs,,,,False,False,False,2280465.93,6933458.4,3467424.7487096777,0.0,,2280465.93,6933458.4,3467424.7487096777,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-08-01,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,219592.75,335210.79,272749.50064516126,0.0,,219592.75,335210.79,272749.50064516126,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2020-08-01,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,10.0
2020-08-01,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,10.0
2020-08-01,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,15424.54,3074376.47,427158.9929032258,0.0,,15424.54,3074376.47,427158.9929032258,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-08-01,omni,,,False,,,Other EVMs,,,,False,False,False,0.0,216243.5,12728.362592592592,0.0,,0.0,216243.5,12728.362592592592,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-01,polygon-plasma,,,False,,,Other EVMs,,,,False,False,False,2376.07,45618.85,30081.85451612903,0.0,,2376.07,45618.85,30081.85451612903,0.0,0.0,0.0,0.0,0.0,0.0,4.0
