blockchain,layer,creator_address,date,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
arbitrum,L2,1379,2024-05-15,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,19672,2024-05-15,all,False,,,Other EVMs,,All
zora,L2,52,2024-05-14,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2233,2024-05-14,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,539,2024-05-14,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,13807,2024-05-14,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-14,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,14856,2024-05-14,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7367,2024-05-14,l1s,False,,,Other EVMs,,L1s
gnosis,L1,138,2024-05-14,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,180,2024-05-14,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2084,2024-05-14,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,130,2024-05-14,celo,False,,,Other EVMs,,Celo
bnb,L1,3100,2024-05-14,bnb,False,,,Other EVMs,,BNB
base,L2,13440,2024-05-14,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,424,2024-05-14,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1381,2024-05-14,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,21461,2024-05-14,all,False,,,Other EVMs,,All
zora,L2,51,2024-05-13,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2241,2024-05-13,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,541,2024-05-13,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,15274,2024-05-13,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-13,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,16313,2024-05-13,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7403,2024-05-13,l1s,False,,,Other EVMs,,L1s
gnosis,L1,138,2024-05-13,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,183,2024-05-13,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2084,2024-05-13,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,134,2024-05-13,celo,False,,,Other EVMs,,Celo
bnb,L1,3141,2024-05-13,bnb,False,,,Other EVMs,,BNB
base,L2,14904,2024-05-13,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,421,2024-05-13,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1381,2024-05-13,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,22945,2024-05-13,all,False,,,Other EVMs,,All
zora,L2,53,2024-05-12,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2228,2024-05-12,polygon pos,False,,,Other EVMs,,Polygon PoS
