week,chain,chainId,layer,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,provider,is_upcoming,is_archived,is_current_chain,totalUsd_min,totalUsd_last,totalUsd_mean,transactions_sum,transactions_mean,canonicalUsd_min,canonicalUsd_last,canonicalUsd_mean,externalUsd_min,externalUsd_last,externalUsd_mean,nativeUsd_min,nativeUsd_last,nativeUsd_mean,weeks_live
2020-03-16,gluon,,L2,False,,,Other EVMs,,,,False,True,False,264774.32,268094.38,279756.71,0.0,,264774.32,268094.38,279756.71,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2020-03-16,layer2,,,False,,,Other EVMs,,,,False,False,False,331266.36,331909.43,344275.82571428566,0.0,,331266.36,331909.43,344275.82571428566,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2020-03-16,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,37596.11,63815.05,64519.11571428571,0.0,,37596.11,63815.05,64519.11571428571,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2020-03-16,xdai,,,False,,,Other EVMs,,,,False,False,False,39628.5,42022.77,41215.15857142857,0.0,,39628.5,42022.77,41215.15857142857,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2020-03-23,bridge,,,False,,,Other EVMs,,,,False,False,False,40271.52,40703.55,41173.34142857143,0.0,,40271.52,40703.55,41173.34142857143,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2020-03-23,gluon,,L2,False,,,Other EVMs,,,,False,True,False,24943.96,26056.76,26304.652857142857,0.0,,24943.96,26056.76,26304.652857142857,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2020-03-23,layer2,,,False,,,Other EVMs,,,,False,False,False,81807.48,265428.96,149741.59714285712,0.0,,81807.48,265428.96,149741.59714285712,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2020-03-23,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,56863.52,239187.59,123305.42857142857,0.0,,56863.52,239187.59,123305.42857142857,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2020-03-23,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,0.0,184.61,153.435,0.0,,0.0,184.61,153.435,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-23,xdai,,,False,,,Other EVMs,,,,False,False,False,40271.52,40703.55,41173.34142857143,0.0,,40271.52,40703.55,41173.34142857143,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2020-03-30,bridge,,,False,,,Other EVMs,,,,False,False,False,40679.78,41426.25,41069.80714285715,0.0,,40679.78,41426.25,41069.80714285715,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2020-03-30,gluon,,L2,False,,,Other EVMs,,,,False,True,False,26469.22,26469.22,27473.32285714286,0.0,,26469.22,26469.22,27473.32285714286,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2020-03-30,layer2,,,False,,,Other EVMs,,,,False,False,False,323980.49,580352.46,443542.34142857144,0.0,,323980.49,580352.46,443542.34142857144,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2020-03-30,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,295976.16,553135.69,415451.5157142857,0.0,,295976.16,553135.69,415451.5157142857,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2020-03-30,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,208.62,747.55,617.5028571428572,0.0,,208.62,747.55,617.5028571428572,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-30,xdai,,,False,,,Other EVMs,,,,False,False,False,40679.78,41426.25,41069.80714285715,0.0,,40679.78,41426.25,41069.80714285715,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2020-04-06,bridge,,,False,,,Other EVMs,,,,False,False,False,80.99,121.76,5934.181428571428,0.0,,80.99,121.76,5934.181428571428,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2020-04-06,gluon,,L2,False,,,Other EVMs,,,,False,True,False,27125.73,28481.13,27986.681428571428,0.0,,27125.73,28481.13,27986.681428571428,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2020-04-06,layer2,,,False,,,Other EVMs,,,,False,False,False,592457.28,838286.08,709455.6742857143,0.0,,592457.28,838286.08,709455.6742857143,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2020-04-06,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,564530.32,808946.17,680631.0957142857,0.0,,564530.32,808946.17,680631.0957142857,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2020-04-06,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,801.23,858.78,837.8971428571429,0.0,,801.23,858.78,837.8971428571429,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-04-06,xdai,,,False,,,Other EVMs,,,,False,False,False,80.99,121.76,5934.181428571428,0.0,,80.99,121.76,5934.181428571428,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2020-04-13,bridge,,,False,,,Other EVMs,,,,False,False,False,53.99,98.27,112.69857142857143,0.0,,53.99,98.27,112.69857142857143,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2020-04-13,gluon,,L2,False,,,Other EVMs,,,,False,True,False,30560.88,30586.39,31382.941428571427,0.0,,30560.88,30586.39,31382.941428571427,0.0,0.0,0.0,0.0,0.0,0.0,22.0
2020-04-13,layer2,,,False,,,Other EVMs,,,,False,False,False,664883.39,700239.01,704833.4042857143,0.0,,664883.39,700239.01,704833.4042857143,0.0,0.0,0.0,0.0,0.0,0.0,22.0
2020-04-13,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,633400.52,668722.68,672484.0128571428,0.0,,633400.52,668722.68,672484.0128571428,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2020-04-13,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,921.99,929.94,966.4499999999999,0.0,,921.99,929.94,966.4499999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-04-13,xdai,,,False,,,Other EVMs,,,,False,False,False,53.99,98.27,112.69857142857143,0.0,,53.99,98.27,112.69857142857143,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2020-04-20,bridge,,,False,,,Other EVMs,,,,False,False,False,100.67,100.67,152.41000000000003,0.0,,100.67,100.67,152.41000000000003,0.0,0.0,0.0,0.0,0.0,0.0,22.0
2020-04-20,gluon,,L2,False,,,Other EVMs,,,,False,True,False,29851.26,33081.57,31713.38857142857,0.0,,29851.26,33081.57,31713.38857142857,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2020-04-20,layer2,,,False,,,Other EVMs,,,,False,False,False,524244.61,524244.61,611926.4085714285,0.0,,524244.61,524244.61,611926.4085714285,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2020-04-20,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,490142.73,490142.73,579249.0199999999,0.0,,490142.73,490142.73,579249.0199999999,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2020-04-20,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,878.38,1020.31,964.0,0.0,,878.38,1020.31,964.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-04-20,xdai,,,False,,,Other EVMs,,,,False,False,False,100.67,100.67,152.41000000000003,0.0,,100.67,100.67,152.41000000000003,0.0,0.0,0.0,0.0,0.0,0.0,22.0
2020-04-27,bridge,,,False,,,Other EVMs,,,,False,False,False,101.41,101.75,142.0614285714286,0.0,,101.41,101.75,142.0614285714286,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2020-04-27,gluon,,L2,False,,,Other EVMs,,,,False,True,False,31897.47,35240.19,33571.66285714286,0.0,,31897.47,35240.19,33571.66285714286,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2020-04-27,layer2,,,False,,,Other EVMs,,,,False,False,False,362634.59,362634.59,435024.3885714286,0.0,,362634.59,362634.59,435024.3885714286,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2020-04-27,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,326261.2,326261.2,400407.5671428572,0.0,,326261.2,326261.2,400407.5671428572,0.0,0.0,0.0,0.0,0.0,0.0,21.0
2020-04-27,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,966.13,1133.2,1045.1585714285716,0.0,,966.13,1133.2,1045.1585714285716,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-04-27,xdai,,,False,,,Other EVMs,,,,False,False,False,101.41,101.75,142.0614285714286,0.0,,101.41,101.75,142.0614285714286,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2020-05-04,bridge,,,False,,,Other EVMs,,,,False,False,False,100.98,134.88,118.24285714285715,0.0,,100.98,134.88,118.24285714285715,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2020-05-04,gluon,,L2,False,,,Other EVMs,,,,False,True,False,35061.48,36696.19,36384.87285714286,0.0,,35061.48,36696.19,36384.87285714286,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-05-04,layer2,,,False,,,Other EVMs,,,,False,False,False,335841.05,388809.1,373836.50999999995,0.0,,335841.05,388809.1,373836.50999999995,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-05-04,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,299549.21,350869.9,336227.83428571426,0.0,,299549.21,350869.9,336227.83428571426,0.0,0.0,0.0,0.0,0.0,0.0,22.0
2020-05-04,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,1127.77,1243.01,1223.8028571428572,0.0,,1127.77,1243.01,1223.8028571428572,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-05-04,xdai,,,False,,,Other EVMs,,,,False,False,False,100.98,134.88,118.24285714285715,0.0,,100.98,134.88,118.24285714285715,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2020-05-11,bridge,,,False,,,Other EVMs,,,,False,False,False,100.57,100.57,132.50571428571428,0.0,,100.57,100.57,132.50571428571428,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-05-11,gluon,,L2,False,,,Other EVMs,,,,False,True,False,34072.14,34072.14,36044.148571428566,0.0,,34072.14,34072.14,36044.148571428566,0.0,0.0,0.0,0.0,0.0,0.0,26.0
2020-05-11,layer2,,,False,,,Other EVMs,,,,False,False,False,362737.62,395735.78,389837.81142857147,0.0,,362737.62,395735.78,389837.81142857147,0.0,0.0,0.0,0.0,0.0,0.0,26.0
2020-05-11,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,325239.5,360531.23,352579.7842857143,0.0,,325239.5,360531.23,352579.7842857143,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2020-05-11,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,1132.41,1132.41,1213.8785714285714,0.0,,1132.41,1132.41,1213.8785714285714,0.0,0.0,0.0,0.0,0.0,0.0,8.0
