defillama_slug,geckoId,symbol,cmcId,categories,chainId,github,twitter,url,parent,governanceID
VeChain,vechain,VET,3077,,,['vechain'],vechainofficial,https://www.vechain.org/,,
XDC,xdce-crowd-sale,XDC,2634,,,['XDCFoundation'],XinFin_Official,https://xinfin.org/,,
Velas,velas,VLX,4747,['EVM'],106,['velas'],VelasBlockchain,https://velas.com/en,,['snapshot:velascommunity.eth']
Polkadot,polkadot,DOT,6636,,,['paritytech'],Polkadot,https://polkadot.network/,,
CosmosHub,cosmos,ATOM,3794,,,['cosmos'],cosmos,https://cosmos.network/,,
EthereumClassic,ethereum-classic,ETC,1321,['EVM'],61,['ethereumclassic'],eth_classic,https://ethereumclassic.org/,,
Sora,sora,XOR,5802,,,['sora-xor'],sora_xor,https://sora.org/,,
Aurora,aurora-near,AURORA,14803,['EVM'],1313161554,['aurora-is-near'],auroraisnear,https://aurora.dev/,"{'chain': 'Near', 'types': ['emulator', 'gas']}",
Ronin,,RON,,['EVM'],2020,['axieinfinity'],Ronin_Network,https://roninchain.com/,,
smartBCH,bitcoin-cash,BCH,1831,['EVM'],10000,['smartbch'],SmartBCH,https://smartbch.org/,,
zkSync Lite,,,,['Rollup'],,['matter-labs'],zksync,https://zksync.io/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
Godwoken,,,,['EVM'],71394,['godwokenrises'],GodwokenRises,https://godwoken.com/,"{'chain': 'Nervos', 'types': ['emulator', 'gas']}",
Callisto,callisto,CLO,2757,['EVM'],820,['CallistoNetwork'],CallistoSupport,https://callisto.network/,,
CSC,coinex-token,CET,2941,['EVM'],52,['casinocoin'],,,,
Ergo,ergo,ERG,1555,,,['ergoplatform'],ergo_platform,https://ergoplatform.org/en/,,
Cardano,cardano,ADA,2010,,,['cardano-foundation'],Cardano,https://cardano.org/,,
Liquidchain,liquidchain,XLC,,['EVM'],5050,['Liquidchain'],,,,
Nahmii,nahmii,NII,4865,"['EVM', 'Rollup']",5551,['nahmii'],Nahmii_io,https://www.nahmii.io/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
Parallel,,PARA,,['Parachain'],,['parallelchain-io'],ParallelFi,https://parallel.fi/,"{'chain': 'Polkadot', 'types': ['parachain']}",
Meter,meter,MTRG,5919,['EVM'],82,['meterio'],Meter_IO,https://meter.io/,,['snapshot:meter-mainnet.eth']
Oasis Emerald,oasis-network,ROSE,7653,['EVM'],42262,['oasisprotocol'],OasisProtocol,https://oasisprotocol.org/,,
Theta,theta-token,THETA,2416,['EVM'],361,['thetatoken'],Theta_Network,https://thetatoken.org/,,
Syscoin,syscoin,SYS,541,['EVM'],57,['syscoin'],syscoin,https://syscoin.org/,,
Moonbeam,moonbeam,GLMR,6836,"['EVM', 'Parachain']",1284,['moonbeam-foundation'],MoonbeamNetwork,https://moonbeam.network/,"{'chain': 'Polkadot', 'types': ['parachain']}",['snapshot:moonbeam-foundation.eth']
Astar,astar,ASTR,12885,"['EVM', 'Parachain']",592,['AstarNetwork'],AstarNetwork,https://unstoppable.astar.network/,"{'chain': 'Polkadot', 'types': ['parachain']}",
Curio,,,,['EVM'],836542336838601,['CurioTeam'],,,"{'chain': 'SKALE', 'types': ['skale']}",['snapshot:curiotools.eth']
SKALE,skale,SKL,5691,['EVM'],,['skalenetwork'],SkaleNetwork,https://skale.space/,,
Bittorrent,bittorrent,BTT,16086,['EVM'],199,['bttcprotocol'],BitTorrent,https://bt.io/,,
Genshiro,genshiro,GENS,10278,"['Parachain', 'EVM']",,,GenshiroDeFi,https://genshiro.io/,"{'chain': 'Kusama', 'types': ['parachain']}",
Wax,wax,WAXP,2300,,,['worldwide-asset-exchange'],WAX_io,https://www.wax.io/,,
Evmos,evmos,EVMOS,,"['EVM', 'Cosmos']",9001,['evmos'],EvmosOrg,https://evmos.org/,,['snapshot:evmosdao.eth']
Proton,proton,XPR,5350,,,"['ProtonProtocol', 'XPRNetwork']",,,,
