dt,blockchain,layer,chain_id,num_raw_txs,num_success_txs,num_qualified_txs,source,is_op_chain,op_based_version,alignment,chain_name,display_name
2024-09-30,zksync,L2,324,199032,196659,199032,dune,False,,Other EVMs,,zkSync Era
2024-09-30,zkevm,L2,1101,16353,13362,8440,dune,False,,Other EVMs,,Polygon zkEVM
2024-09-30,swan,L2,254.0,126735,126731,126179,goldsky,True,modern,OP Chain,swan,SwanChain
2024-09-30,shape,L2,360.0,5149,5123,4365,goldsky,True,modern,OP Chain,shape,Shape
2024-09-30,sei,L1,1329,127461,124298,89521,dune,False,,Other EVMs,,Sei Network
2024-09-30,scroll,L2,534352,326946,317510,250416,dune,False,,Other EVMs,,Scroll
2024-09-30,redstone,L2,690.0,1753,1711,1656,goldsky,True,modern,OP Chain,redstone,Redstone
2024-09-30,race,L2,6805.0,2,2,0,goldsky,True,modern,OP Chain,race,Race
2024-09-30,polynomial,L2,8008.0,312,310,309,goldsky,True,modern,OP Chain,polynomial,Polynomial Chain
2024-09-30,polygon,L1,137,2666167,2400396,1842229,dune,False,,Other EVMs,,Polygon PoS
2024-09-30,orderly,L2,291.0,4776,4764,3459,goldsky,True,modern,OP Chain,orderly,Orderly
2024-09-30,op,L2,10.0,774292,735511,498364,goldsky,True,modern,OP Chain,op,OP Mainnet
2024-09-30,mode,L2,34443.0,84990,83070,36188,goldsky,True,modern,OP Chain,mode,Mode
2024-09-30,mint,L2,185.0,96475,95848,92142,goldsky,True,modern,OP Chain,mint,Mint
2024-09-30,metal,L2,1750.0,46,46,34,goldsky,True,modern,OP Chain,metal,Metal
2024-09-30,mantle,L2,5000,415022,407870,282291,dune,False,,Other EVMs,,Mantle
2024-09-30,lyra,L2,957.0,7188,7185,5871,goldsky,True,modern,OP Chain,lyra,Derive
2024-09-30,lisk,L2,1135.0,828,794,580,goldsky,True,modern,OP Chain,lisk,Lisk
2024-09-30,linea,L2,59144,268005,259835,184108,dune,False,,Other EVMs,,Linea
2024-09-30,kroma,L2,255.0,226438,226402,12559,goldsky,True,modern,OP Chain,kroma,Kroma
2024-09-30,ham,L3,5112.0,62527,62426,61076,goldsky,True,modern,OP Chain,ham,Ham
2024-09-30,gnosis,L1,100,94413,87611,51074,dune,False,,Other EVMs,,Gnosis
2024-09-30,fraxtal,L2,252.0,3668,3592,1894,goldsky,True,modern,OP Chain,fraxtal,Fraxtal
2024-09-30,fantom,L1,250,317736,296863,201346,dune,False,,Other EVMs,,Fantom
2024-09-30,ethereum,L1,1,1194156,1165277,669759,dune,False,,Other EVMs,,Ethereum
2024-09-30,cyber,L2,7560.0,72322,72281,53124,goldsky,True,modern,OP Chain,cyber,Cyber
2024-09-30,celo,L1,42220,1349527,1313024,1263753,dune,False,,Other EVMs,,Celo
2024-09-30,bob,L2,60808.0,41408,40896,19983,goldsky,True,modern,OP Chain,bob,BOB (Build on Bitcoin)
2024-09-30,bnb,L1,56,3466615,3315405,3010028,dune,False,,Other EVMs,,BNB
2024-09-30,blast,L2,81457,558913,553610,177410,dune,False,,Other EVMs,,Blast
2024-09-30,base,L2,8453.0,5056431,4766638,2774664,goldsky,True,modern,OP Chain,base,Base
2024-09-30,avalanche_c,L1,43114,165292,157540,119594,dune,False,,Other EVMs,,Avalanche C-Chain
2024-09-30,arbitrum,L2,42161,1798601,1580252,1280448,dune,False,,Other EVMs,,Arbitrum One
2024-09-29,zora,L2,7777777.0,75734,75525,61034,goldsky,True,modern,OP Chain,zora,Zora
2024-09-29,zksync,L2,324,185545,184361,185547,dune,False,,Other EVMs,,zkSync Era
2024-09-29,zkevm,L2,1101,11361,10197,6187,dune,False,,Other EVMs,,Polygon zkEVM
2024-09-29,swan,L2,254.0,95935,95925,95142,goldsky,True,modern,OP Chain,swan,SwanChain
2024-09-29,shape,L2,360.0,1230,1230,1201,goldsky,True,modern,OP Chain,shape,Shape
2024-09-29,sei,L1,1329,153153,150179,108390,dune,False,,Other EVMs,,Sei Network
2024-09-29,scroll,L2,534352,305938,300110,234508,dune,False,,Other EVMs,,Scroll
2024-09-29,redstone,L2,690.0,1442,1301,1099,goldsky,True,modern,OP Chain,redstone,Redstone
2024-09-29,polynomial,L2,8008.0,183,183,183,goldsky,True,modern,OP Chain,polynomial,Polynomial Chain
2024-09-29,polygon,L1,137,2371623,2152211,1739102,dune,False,,Other EVMs,,Polygon PoS
2024-09-29,orderly,L2,291.0,3726,3724,2600,goldsky,True,modern,OP Chain,orderly,Orderly
2024-09-29,op,L2,10.0,710426,687757,467573,goldsky,True,modern,OP Chain,op,OP Mainnet
2024-09-29,mode,L2,34443.0,97191,94129,47650,goldsky,True,modern,OP Chain,mode,Mode
2024-09-29,mint,L2,185.0,97818,97237,94656,goldsky,True,modern,OP Chain,mint,Mint
2024-09-29,metal,L2,1750.0,15,15,11,goldsky,True,modern,OP Chain,metal,Metal
2024-09-29,mantle,L2,5000,479662,475488,265108,dune,False,,Other EVMs,,Mantle
2024-09-29,lyra,L2,957.0,4631,4631,3512,goldsky,True,modern,OP Chain,lyra,Derive
2024-09-29,lisk,L2,1135.0,341,336,266,goldsky,True,modern,OP Chain,lisk,Lisk
2024-09-29,linea,L2,59144,232811,229026,170433,dune,False,,Other EVMs,,Linea
2024-09-29,kroma,L2,255.0,261615,261525,21251,goldsky,True,modern,OP Chain,kroma,Kroma
2024-09-29,ham,L3,5112.0,77822,77678,76388,goldsky,True,modern,OP Chain,ham,Ham
2024-09-29,gnosis,L1,100,80323,76523,47134,dune,False,,Other EVMs,,Gnosis
2024-09-29,fraxtal,L2,252.0,3678,3642,1808,goldsky,True,modern,OP Chain,fraxtal,Fraxtal
2024-09-29,fantom,L1,250,301489,281891,197990,dune,False,,Other EVMs,,Fantom
2024-09-29,ethereum,L1,1,1115639,1090421,626582,dune,False,,Other EVMs,,Ethereum
2024-09-29,cyber,L2,7560.0,93516,93486,66457,goldsky,True,modern,OP Chain,cyber,Cyber
2024-09-29,celo,L1,42220,1345075,1298629,1249713,dune,False,,Other EVMs,,Celo
2024-09-29,bob,L2,60808.0,38033,37448,17801,goldsky,True,modern,OP Chain,bob,BOB (Build on Bitcoin)
2024-09-29,bnb,L1,56,3149955,3019337,2642581,dune,False,,Other EVMs,,BNB
2024-09-29,blast,L2,81457,550953,546542,161461,dune,False,,Other EVMs,,Blast
2024-09-29,base,L2,8453.0,5090373,4776270,2603206,goldsky,True,modern,OP Chain,base,Base
2024-09-29,avalanche_c,L1,43114,136841,131914,99003,dune,False,,Other EVMs,,Avalanche C-Chain
2024-09-29,arbitrum,L2,42161,1381410,1280121,1077728,dune,False,,Other EVMs,,Arbitrum One
2024-09-28,zora,L2,7777777.0,86585,86417,73759,goldsky,True,modern,OP Chain,zora,Zora
2024-09-28,zksync,L2,324,185420,184375,185421,dune,False,,Other EVMs,,zkSync Era
2024-09-28,zkevm,L2,1101,11683,10400,6387,dune,False,,Other EVMs,,Polygon zkEVM
2024-09-28,xterio,L2,2702128.0,1,1,0,goldsky,True,modern,OP Chain,xterio,Xterio
2024-09-28,swan,L2,254.0,59504,59482,57932,goldsky,True,modern,OP Chain,swan,SwanChain
2024-09-28,shape,L2,360.0,11,11,10,goldsky,True,modern,OP Chain,shape,Shape
2024-09-28,sei,L1,1329,97094,95603,71526,dune,False,,Other EVMs,,Sei Network
2024-09-28,scroll,L2,534352,303833,297851,231530,dune,False,,Other EVMs,,Scroll
2024-09-28,redstone,L2,690.0,642,635,589,goldsky,True,modern,OP Chain,redstone,Redstone
2024-09-28,polynomial,L2,8008.0,261,258,258,goldsky,True,modern,OP Chain,polynomial,Polynomial Chain
2024-09-28,polygon,L1,137,2345939,2129635,1716138,dune,False,,Other EVMs,,Polygon PoS
2024-09-28,orderly,L2,291.0,3826,3824,2733,goldsky,True,modern,OP Chain,orderly,Orderly
2024-09-28,op,L2,10.0,729918,713430,496342,goldsky,True,modern,OP Chain,op,OP Mainnet
2024-09-28,mode,L2,34443.0,90243,88853,41484,goldsky,True,modern,OP Chain,mode,Mode
2024-09-28,mint,L2,185.0,97163,96595,93086,goldsky,True,modern,OP Chain,mint,Mint
2024-09-28,metal,L2,1750.0,21,21,15,goldsky,True,modern,OP Chain,metal,Metal
2024-09-28,mantle,L2,5000,468558,463327,254106,dune,False,,Other EVMs,,Mantle
2024-09-28,lyra,L2,957.0,4353,4352,3266,goldsky,True,modern,OP Chain,lyra,Derive
2024-09-28,lisk,L2,1135.0,376,355,306,goldsky,True,modern,OP Chain,lisk,Lisk
2024-09-28,linea,L2,59144,250129,245147,169033,dune,False,,Other EVMs,,Linea
2024-09-28,kroma,L2,255.0,212228,211309,13016,goldsky,True,modern,OP Chain,kroma,Kroma
2024-09-28,ham,L3,5112.0,77523,77360,76457,goldsky,True,modern,OP Chain,ham,Ham
2024-09-28,gnosis,L1,100,73549,71365,48510,dune,False,,Other EVMs,,Gnosis
2024-09-28,fraxtal,L2,252.0,4321,4202,2652,goldsky,True,modern,OP Chain,fraxtal,Fraxtal
2024-09-28,fantom,L1,250,302001,280711,194217,dune,False,,Other EVMs,,Fantom
2024-09-28,ethereum,L1,1,1112926,1096507,639281,dune,False,,Other EVMs,,Ethereum
2024-09-28,cyber,L2,7560.0,98989,98966,76173,goldsky,True,modern,OP Chain,cyber,Cyber
2024-09-28,celo,L1,42220,1212587,1183133,1142508,dune,False,,Other EVMs,,Celo
2024-09-28,bob,L2,60808.0,40057,39378,19038,goldsky,True,modern,OP Chain,bob,BOB (Build on Bitcoin)
2024-09-28,bnb,L1,56,3564508,3425832,2925503,dune,False,,Other EVMs,,BNB
2024-09-28,blast,L2,81457,625431,621562,233850,dune,False,,Other EVMs,,Blast
2024-09-28,base,L2,8453.0,5180154,4861058,2683253,goldsky,True,modern,OP Chain,base,Base
2024-09-28,avalanche_c,L1,43114,139851,133922,100213,dune,False,,Other EVMs,,Avalanche C-Chain
2024-09-28,arbitrum,L2,42161,1446506,1327670,1105522,dune,False,,Other EVMs,,Arbitrum One
2024-09-27,zora,L2,7777777.0,87077,86821,72569,goldsky,True,modern,OP Chain,zora,Zora
2024-09-27,zksync,L2,324,211189,209494,211189,dune,False,,Other EVMs,,zkSync Era
2024-09-27,zkevm,L2,1101,11114,10187,5966,dune,False,,Other EVMs,,Polygon zkEVM
2024-09-27,xterio,L2,2702128.0,5,5,0,goldsky,True,modern,OP Chain,xterio,Xterio
2024-09-27,swan,L2,254.0,48079,48059,46631,goldsky,True,modern,OP Chain,swan,SwanChain
2024-09-27,shape,L2,360.0,44,44,34,goldsky,True,modern,OP Chain,shape,Shape
2024-09-27,sei,L1,1329,87124,84981,51435,dune,False,,Other EVMs,,Sei Network
2024-09-27,scroll,L2,534352,337523,328462,248806,dune,False,,Other EVMs,,Scroll
2024-09-27,redstone,L2,690.0,1871,1678,1623,goldsky,True,modern,OP Chain,redstone,Redstone
2024-09-27,race,L2,6805.0,8,8,8,goldsky,True,modern,OP Chain,race,Race
2024-09-27,polynomial,L2,8008.0,340,340,339,goldsky,True,modern,OP Chain,polynomial,Polynomial Chain
2024-09-27,polygon,L1,137,2605228,2356560,1852785,dune,False,,Other EVMs,,Polygon PoS
2024-09-27,orderly,L2,291.0,4847,4845,3487,goldsky,True,modern,OP Chain,orderly,Orderly
2024-09-27,op,L2,10.0,869369,831957,559602,goldsky,True,modern,OP Chain,op,OP Mainnet
2024-09-27,mode,L2,34443.0,105556,104042,52157,goldsky,True,modern,OP Chain,mode,Mode
2024-09-27,mint,L2,185.0,91829,91146,88404,goldsky,True,modern,OP Chain,mint,Mint
2024-09-27,metal,L2,1750.0,22,22,17,goldsky,True,modern,OP Chain,metal,Metal
2024-09-27,mantle,L2,5000,375174,366732,262739,dune,False,,Other EVMs,,Mantle
2024-09-27,lyra,L2,957.0,7631,7630,6249,goldsky,True,modern,OP Chain,lyra,Derive
2024-09-27,lisk,L2,1135.0,409,409,343,goldsky,True,modern,OP Chain,lisk,Lisk
