dt,blockchain,layer,num_qualified_txs,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
2024-03-27,ethereum,L1,693026.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-27,celo,L1,245126.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-27,bnb,L1,3016907.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-27,blast,L2,352797.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-27,base,L2,1026720.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-27,avalanche_c,L1,240307.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-27,arbitrum,L2,1251074.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-26,zora,L2,83497.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-26,zksync,L2,1297447.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-26,scroll,L2,309142.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-26,polygon,L1,4652410.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-26,optimism,L2,519281.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-26,mode,L2,89388.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-26,gnosis,L1,163479.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-26,fraxtal,L2,8713.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-26,fantom,L1,116348.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-26,ethereum,L1,731059.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-26,celo,L1,258531.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-26,bnb,L1,3206519.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-26,blast,L2,354835.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-26,base,L2,918674.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-26,avalanche_c,L1,244616.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-26,arbitrum,L2,1178782.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-25,zora,L2,91652.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-25,zksync,L2,1282698.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-25,scroll,L2,328266.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-25,polygon,L1,4413871.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-25,optimism,L2,476805.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-25,mode,L2,102410.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-25,gnosis,L1,150650.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-25,fraxtal,L2,8944.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-25,fantom,L1,123766.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-25,ethereum,L1,680569.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-25,celo,L1,232708.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-25,bnb,L1,3161673.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-25,blast,L2,326460.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-25,base,L2,927031.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-25,avalanche_c,L1,237043.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-25,arbitrum,L2,1114194.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-24,zora,L2,95257.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-24,zksync,L2,1405024.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-24,scroll,L2,317004.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-24,polygon,L1,4194562.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-24,optimism,L2,394547.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-24,mode,L2,108222.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-24,gnosis,L1,148274.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-24,fraxtal,L2,10308.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-24,fantom,L1,157063.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-24,ethereum,L1,660291.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-24,celo,L1,242012.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-24,bnb,L1,2689397.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-24,blast,L2,293816.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-24,base,L2,926683.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-24,avalanche_c,L1,206132.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-24,arbitrum,L2,986502.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-23,zora,L2,88063.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-23,zksync,L2,1402475.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-23,scroll,L2,332209.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-23,polygon,L1,4251460.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-23,optimism,L2,402717.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-23,mode,L2,98934.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-23,gnosis,L1,162963.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-23,fraxtal,L2,8836.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-23,fantom,L1,131514.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-23,ethereum,L1,705302.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-23,celo,L1,253756.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-23,bnb,L1,2677270.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-23,blast,L2,277856.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-23,base,L2,831604.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-23,avalanche_c,L1,205776.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-23,arbitrum,L2,996472.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-22,zora,L2,77766.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-22,zksync,L2,1282707.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-22,scroll,L2,293650.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-22,polygon,L1,4509319.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-22,optimism,L2,441558.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-22,mode,L2,105621.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-22,gnosis,L1,160632.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-22,fraxtal,L2,8936.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-22,fantom,L1,124481.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-22,ethereum,L1,712700.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-22,celo,L1,260204.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-22,bnb,L1,2950951.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-22,blast,L2,258569.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-22,base,L2,816164.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-22,avalanche_c,L1,245321.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-22,arbitrum,L2,1123632.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-21,zora,L2,98838.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-21,zksync,L2,1228252.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-21,scroll,L2,291865.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-21,polygon,L1,4432849.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-21,optimism,L2,432264.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-21,mode,L2,88264.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-21,gnosis,L1,124303.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-21,fraxtal,L2,9660.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-21,fantom,L1,113862.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-21,ethereum,L1,718944.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-21,celo,L1,268737.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-21,bnb,L1,2881955.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-21,blast,L2,254039.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-21,base,L2,856301.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-21,avalanche_c,L1,240997.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-21,arbitrum,L2,1081234.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-20,zora,L2,81642.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-20,zksync,L2,1242335.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-20,scroll,L2,241433.0,dune,scroll,False,,,Other EVMs,,Scroll
