layer,name,chainId,explorerUrl,category,slug,isArchived,file_name,rpcUrl,provider,hostChain,da_provider_name,badges,is_upcoming,is_archived,is_current_chain,websites,documentation,repositories,provider_entity,chain
L2,Gluon,,,Plasma,gluon,,gluon,,,,,,False,True,False,"'https://gluon.network/', 'https://leverj.io/'",'https://leverj.io/assets/documents/Gluon-Layer2.pdf',,,gluon
L2,GPT Protocol,,,Funds can be lost if,gpt,,gpt,https://rpc.gptprotocol.io,Polygon CDK,,DAC,"Badge.DA.DAC, Badge.RaaS.Gateway",False,False,True,'https://gptprotocol.org/',,'https://github.com/gptprotocol',Polygon: CDK,gpt
L2,GRVT,,,Validium,grvt,,grvt,,ZK Stack,,,,True,False,False,'https://grvt.io','https://docs.grvt.io',,zkSync: ZK Stack,grvt
L2,Gwyneth,,,ZK Rollup,gwyneth,,gwyneth,,Taiko,,,,True,False,False,"'https://mirror.xyz/0xeac5Bc2abB5141c1510c18a9637437D49cE71e3F/r6CyuXtA7HKGw4FtF3b6YBHRoL5Kmbh_zufHFvKxIuQ',",,'https://github.com/taikoxyz/taiko-reth/pulls',Taiko,gwyneth
L2,Polygon Hermez,,,ZK Rollup,hermez,,hermez,,Polygon,,,,False,True,False,'https://hermez.io/',"'https://docs.hermez.io/',
        'https://hermez.io/polygon-hermez-whitepaper.pdf',",'https://github.com/0xpolygonhermez',Polygon: CDK,hermez
L2,Honeypot (Cartesi),,,Optimistic Rollup,honeypot,,honeypot,,Cartesi Rollups,,,"Badge.VM.CartesiVM,
    Badge.VM.AppChain,
    Badge.DA.EthereumCalldata,
    Badge.Stack.Cartesi,",False,False,True,'https://cartesi.io/','https://docs.cartesi.io/cartesi-rollups/','https://github.com/cartesi/honeypot',Cartesi Rollups,honeypot
L2,Hybrid,,,Optimium,hybrid,,hybrid,,Arbitrum,,,,True,False,False,'https://buildonhybrid.com/',,,Arbitrum: Orbit,hybrid
L2,HYCHAIN,,,,hychain,,hychain,https://rpc.hychain.com/http,Arbitrum Orbit,,,"Badge.DA.DAC, Badge.RaaS.Caldera",False,False,True,'https://hychain.com','https://docs.hychain.com','https://github.com/kintoxyz',Arbitrum: Orbit,hychain
L2,Hypr,,,,hypr,,hypr,https://rpc.hypr.network,OP Stack,,,Badge.DA.Celestia,False,False,True,'https://hypr.network/','https://docs.hypr.network',,Optimism: OP Stack,hypr
L2,Immutable X,,,Validium,immutablex,,immutablex,,StarkEx,,,"Badge.VM.AppChain,
    Badge.DA.DAC,
    Badge.Stack.StarkEx,
    Badge.Infra.SHARP,",False,False,True,'https://immutable.com/',"'https://docs.starkware.co/starkex/perpetual/perpetual_overview.html',",'https://github.com/starkware-libs/starkex-contracts',Starkware: Starknet Stack,immutablex
L2,INTMAX,,,ZK Rollup,intmax,,intmax,,,,,,True,False,False,'https://intmax.io/',"'https://eprint.iacr.org/2023/1082.pdf',
        'https://medium.com/intmax/the-deep-dive-into-statelessness-intmax2-algorithm-was-published-be7a306048ff',",'https://github.com/InternetMaximalism',,intmax
L2,Kakarot zkEVM,,,ZK Rollup,kakarotzkevm,,kakarotzkevm,,,,,,True,False,False,'https://kakarot.org/','https://docs.kakarot.org/',,,kakarotzkevm
L2,Karak,,,,karak,,karak,https://rpc.karak.network/,OP Stack,,,"Badge.DA.Celestia, Badge.RaaS.Caldera",False,False,True,'https://karak.network/',"'https://docs.karak.network/karak/general/karak-overview',",,Optimism: OP Stack,karak
L2,Kinto,7887,https://explorer.kinto.xyz,,kinto,,kinto,,Arbitrum Orbit,,,Badge.RaaS.Caldera,False,False,True,'https://kinto.xyz','https://docs.kinto.xyz','https://github.com/kintoxyz',Arbitrum: Orbit,kinto
L2,Kroma,255,https://kromascan.com,Optimistic Rollup,kroma,,kroma,,OP Stack,,,"Badge.VM.EVM,
    Badge.DA.EthereumBlobs,
    Badge.Stack.OPStack,
    Badge.Infra.Superchain,",False,False,True,'https://kroma.network/',"'https://docs.kroma.network/',
        'https://specs.kroma.network/',",'https://github.com/kroma-network/',Optimism: OP Stack,kroma
L2,Lambda Chain,56026,https://scan.lambda.im,,lambda,,lambda,https://nrpc.lambda.im,OP Stack,,,,False,False,True,'https://lambda.im/',"'https://docs.lambda.im/', 'https://docs.optimism.io/'",'https://github.com/LambdaIM',Optimism: OP Stack,lambda
L2,Layer2.Finance,,,Optimistic Rollup,layer2finance,,layer2finance,,,,,,False,True,False,'https://layer2.finance/','https://docs.l2.finance/',"'https://github.com/celer-network/layer2-finance-contracts',",,layer2finance
L2,L2.Finance-zk,,,Validium,layer2financezk,,layer2financezk,,StarkEx,,,,False,True,False,'https://layer2.finance/',,"'https://github.com/starkware-libs/starkex-contracts',
        'https://github.com/celer-network/defi-pooling-broker-contracts',",Starkware: Starknet Stack,layer2financezk
L2,LayerAI,,,ZK Rollup,layerai,,layerai,,Polygon,,,,True,False,False,'https://layerai.org/','https://docs.layerai.org/',,Polygon: CDK,layerai
L2,Lens,,,Validium,lens,,lens,,ZK Stack,,,,True,False,False,'https://lens.xyz','https://docs.lens.xyz','https://github.com/lens-protocol',zkSync: ZK Stack,lens
L2,Linea,59144,https://lineascan.build,ZK Rollup,linea,,linea,,,,,"Badge.VM.EVM, Badge.DA.EthereumBlobs, Badge.Other.L3HostChain",False,False,True,'https://linea.build/','https://docs.linea.build/',"'https://github.com/Consensys?q=linea&type=all&language=&sort=stargazers',",,linea
L2,Lisk,,,,lisk,,lisk,https://rpc.api.lisk.com,OP Stack,,,"Badge.RaaS.Gelato, Badge.Other.MigratedFromL1",False,False,True,'https://lisk.com/','https://docs.lisk.com/','https://github.com/LiskHQ/lisk-node',Optimism: OP Stack,lisk
L2,Loopring,,,ZK Rollup,loopring,,loopring,,Loopring,,,"Badge.VM.AppChain, Badge.DA.EthereumCalldata",False,False,True,'https://loopring.org',"'https://github.com/Loopring/protocols/blob/master/packages/loopring_v3/DESIGN.md',
        'https://docs.loopring.io/',",'https://github.com/Loopring/protocols',Loopring,loopring
L2,Lumia,,,Validium,lumia,,lumia,,Polygon,,,Badge.Infra.AggLayer,True,False,False,'https://lumia.org/','https://docs.lumia.org/','https://github.com/orionprotocol',Polygon: CDK,lumia
L2,Derive,957,https://explorer.lyra.finance,,lyra,,lyra,https://rpc.lyra.finance,OP Stack,,,"Badge.DA.Celestia, Badge.Infra.Superchain, Badge.RaaS.Conduit",False,False,True,'https://derive.xyz/','https://docs.lyra.finance/','https://github.com/lyra-finance/v2-core',Optimism: OP Stack,lyra
L2,Manta Pacific,169,https://pacific-explorer.manta.network,,mantapacific,,mantapacific,https://pacific-rpc.manta.network/http,OP Stack,,,"Badge.DA.Celestia, Badge.RaaS.Caldera",False,False,True,'https://pacific.manta.network/','https://docs.manta.network/','https://github.com/Manta-Network',Optimism: OP Stack,mantapacific
L2,Mantle,5000,https://explorer.mantle.xyz/,,mantle,,mantle,https://rpc.mantle.xyz,OP Stack,,MantleDA,Badge.DA.CustomDA,False,False,True,'https://mantle.xyz/','https://docs-v2.mantle.xyz/','https://github.com/mantlenetworkio',Optimism: OP Stack,mantle
L2,Metal,,,,metal,,metal,https://rpc.metall2.com,OP Stack,,,"Badge.Infra.Superchain, Badge.RaaS.Conduit",False,False,True,'https://metall2.com/',,,Optimism: OP Stack,metal
L2,Metis Andromeda,1088,https://explorer.metis.io,Optimium,metis,,metis,,OVM,,,"Badge.VM.EVM, Badge.DA.CustomDA, Badge.Fork.OVM",False,False,True,'https://metis.io','https://docs.metis.io','https://github.com/MetisProtocol',Optimism: OP Stack,metis
L2,Millicent One,,,Optimistic Rollup,millicent,,millicent,,Arbitrum,,,,True,False,False,'https://millicent.io/',,,Arbitrum: Orbit,millicent
L2,Mint,185,https://explorer.mintchain.io,,mint,,mint,,OP Stack,,,Badge.RaaS.Conduit,False,False,True,'https://mintchain.io/','https://docs.mintchain.io/','https://github.com/Mint-Blockchain',Optimism: OP Stack,mint
L2,Mode Network,34443,https://explorer.mode.network,,mode,,mode,https://mainnet.mode.network/,OP Stack,,,"Badge.Infra.Superchain, Badge.RaaS.Conduit",False,False,True,'https://mode.network/','https://docs.mode.network/',,Optimism: OP Stack,mode
L2,Moonveil,,,Validium,moonveil,,moonveil,,Polygon,,,,True,False,False,'https://www.moonveil.gg/',,'https://github.com/SwellNetwork',Polygon: CDK,moonveil
L2,Morph,,,Optimistic Rollup,morph,,morph,,,,,,True,False,False,'https://morphl2.io','https://docs.morphl2.io','https://github.com/morph-l2',,morph
L2,M2,,,Validium,move,,move,,,,,,True,False,False,'https://movementlabs.xyz','https://docs.movementlabs.xyz/',,,move
L2,Myria,,,Validium,myria,,myria,,StarkEx,,,"Badge.VM.AppChain,
    Badge.DA.DAC,
    Badge.Stack.StarkEx,
    Badge.Infra.SHARP,",False,False,True,'https://myria.com/','https://docs.starkware.co/starkex/index.html','https://github.com/starkware-libs/starkex-contracts',Starkware: Starknet Stack,myria
L2,MyShell L2,,,Optimium,myshell,,myshell,,OP Stack,,,,True,False,False,'https://myshell.ai/','https://docs.myshell.ai/',,Optimism: OP Stack,myshell
L2,Network3,,,Validium,network3,,network3,,,,,,True,False,False,'https://network3.io/',"'https://litepaper.network3.ai/~/changes/0jJxEcDKtGZ0s8Ew29KS',",,,network3
L2,=nil;,,,ZK Rollup,nil,,nil,,,,,,True,False,False,'https://nil.foundation/','https://docs.nil.foundation/nil/',,,nil
L2,Arbitrum Nova,42170,https://nova.arbiscan.io,,nova,,nova,https://nova.arbitrum.io/rpc,Arbitrum Orbit,,,"Badge.VM.WasmVM,
    Badge.DA.DAC,
    Badge.Stack.Nitro,
    Badge.Other.Governance,
    Badge.Other.L3HostChain,",False,False,True,"'https://nova.arbitrum.io/',
        'https://arbitrum.io/',
        'https://arbitrum.foundation/',","'https://developer.arbitrum.io/',
        'https://developer.arbitrum.io/inside-arbitrum-nitro/#inside-anytrust',","'https://github.com/ArbitrumFoundation/docs',
        'https://github.com/ArbitrumFoundation/governance',
        'https://github.com/OffchainLabs/nitro',",Arbitrum: Orbit,nova
L2,OEV Network,,,Optimium,oev,,oev,,Arbitrum,,,,True,False,False,'https://api3.org/oev/',"'https://medium.com/api3/api3-builds-oev-network-on-arbitrum-orbit-b29f8f5d7dcf',",,Arbitrum: Orbit,oev
L2,Ola,,,ZK Rollup,ola,,ola,,,,,,True,False,False,'https://olavm.org/','https://ola-2.gitbook.io/ola-developer-documents/','https://github.com/Sin7Y',,ola
L2,OMG Network,,,Plasma,omgnetwork,,omgnetwork,,,,,,False,True,False,'https://omg.network','https://docs.omg.network/','https://github.com/omgnetwork/plasma-contracts',,omgnetwork
L2,OP Mainnet,10,https://optimistic.etherscan.io,Optimistic Rollup,optimism,,optimism,,OP Stack,,,"Badge.VM.EVM,
    Badge.DA.EthereumBlobs,
    Badge.Stack.OPStack,
    Badge.Infra.Superchain,
    Badge.Other.L3HostChain,
    Badge.Other.Governance,",False,False,True,'https://optimism.io/','https://community.optimism.io','https://github.com/ethereum-optimism/optimism',Optimism: OP Stack,optimism
L2,Optopia,62050,,,optopia,,optopia,https://rpc-mainnet-2.optopia.ai,OP Stack,,,,False,False,True,'https://optopia.ai/',"'https://docs.optopia.ai/', 'https://stack.optimism.io/'",'https://github.com/OptopiaLabs',Optimism: OP Stack,optopia
L2,Orderly Network,,,,orderly,,orderly,https://rpc.orderly.network,OP Stack,,,"Badge.DA.Celestia, Badge.Infra.Superchain, Badge.RaaS.Conduit",False,False,True,'https://orderly.network/',"'https://orderly.network/docs/build-on-evm/building-on-evm',",,Optimism: OP Stack,orderly
L2,Palm,,,Validium,palm,,palm,,Polygon,,,,True,False,False,'https://palm.network/','https://docs.palm.io/',,Polygon: CDK,palm
L2,Paradex,,,ZK Rollup,paradex,,paradex,,Starknet,,,"Badge.VM.CairoVM,
    Badge.DA.EthereumBlobs,
    Badge.Fork.StarknetFork,
    Badge.Infra.SHARP,",False,False,True,'https://paradex.trade/','https://docs.paradex.trade/','https://github.com/tradeparadex',Starkware: Starknet Stack,paradex
L2,Parallel,,,,parallel,,parallel,,Arbitrum Orbit,,,,False,False,True,'https://parallel.fi','https://docs.parallel.fi/parallel-chain/overview',,Arbitrum: Orbit,parallel
