date,chain,layer,defillama_slug,source,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,chainId,tvl_min,tvl_last,tvl_mean,distinct_protocol_min,distinct_protocol_last,distinct_protocol_mean,distinct_parent_protocol_min,distinct_parent_protocol_last,distinct_parent_protocol_mean,sum_token_value_usd_flow_sum,sum_token_value_usd_price_change_sum
2021-07-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-07-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,53376988231.841805,65647865150.48002,58316672076.005066,,,,,,,0.0,0.0
2021-07-01,Fantom,L1,Fantom,chain,False,,,Other EVMs,,,250,194082869.97500813,257204743.9410239,230415710.07582334,,,,,,,0.0,0.0
2021-07-01,Gnosis,L1,Gnosis,chain,False,,,Other EVMs,,,100,25339709.095243756,41239700.57116395,30478669.57618938,,,,,,,0.0,0.0
2021-07-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-07-01,OP Mainnet,L2,Optimism,chain,True,10,modern,OP Chain,op,OP Mainnet,10,51021473.14135977,70021404.27233624,61293296.53953085,1.0,1.0,1.0,1.0,1.0,1.0,4290904.875442265,-2213618.1104222666
2021-07-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,4909223418.119766,6077356360.627729,5504466566.960336,,,,,,,0.0,0.0
2021-08-01,Arbitrum,L2,Arbitrum,chain,False,,,Other EVMs,,,42161,0.0,473416.83994076075,29783.503881945984,,,,,,,0.0,0.0
2021-08-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,154346166.50629488,1916268591.9350443,740302122.0185548,,,,,,,0.0,0.0
2021-08-01,Aztec,L2,protocols/aztec,protocol,False,,,Other EVMs,,,-1,739679.6031399999,1077107.23077,946663.5987377419,,,,,,,0.0,0.0
2021-08-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,11271217367.161755,15108463905.71844,14062352538.744495,,,,,,,0.0,0.0
2021-08-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,326446770.46042985,800415277.7116352,411579680.97695714,,,,,,,0.0,0.0
2021-08-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-08-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,65130941162.43222,83060894742.13892,75352106452.47682,,,,,,,0.0,0.0
2021-08-01,Fantom,L1,Fantom,chain,False,,,Other EVMs,,,250,252700007.55656913,619840958.1825283,350320809.9278679,,,,,,,0.0,0.0
2021-08-01,Gnosis,L1,Gnosis,chain,False,,,Other EVMs,,,100,38367294.52118442,45394828.28765061,43078493.121503554,,,,,,,0.0,0.0
2021-08-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-08-01,OP Mainnet,L2,Optimism,chain,True,10,modern,OP Chain,op,OP Mainnet,10,64233597.71674574,106135524.45675845,89105129.68948652,1.0,2.0,1.3548387096774193,1.0,2.0,1.3548387096774193,17989086.7307977,8557535.522302298
