blockchain,layer,chain_id,creator_address,dt,is_op_chain,op_based_version,alignment,chain_name,display_name
polygon,L1,137,1800,2024-07-26,False,,Other EVMs,,Polygon PoS
optimism,L2,10,507,2024-07-26,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3718,2024-07-26,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-26,False,,Aggregate,,L3s
l2,Aggregate,-1,4656,2024-07-26,False,,Aggregate,,L2s
l1,Aggregate,-1,6593,2024-07-26,False,,Aggregate,,L1s
gnosis,L1,100,108,2024-07-26,False,,Other EVMs,,Gnosis
fantom,L1,250,129,2024-07-26,False,,Other EVMs,,Fantom
ethereum,L1,1,2446,2024-07-26,False,,Other EVMs,,Ethereum
celo,L1,42220,89,2024-07-26,False,,Other EVMs,,Celo
bnb,L1,56,2456,2024-07-26,False,,Other EVMs,,BNB
base,L2,8453,3406,2024-07-26,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,348,2024-07-26,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1297,2024-07-26,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10589,2024-07-26,False,,Aggregate,,All
zora,L2,7777777,42,2024-07-25,True,modern,OP Chain,zora,Zora
polygon,L1,137,1839,2024-07-25,False,,Other EVMs,,Polygon PoS
optimism,L2,10,508,2024-07-25,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3782,2024-07-25,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-25,False,,Aggregate,,L3s
l2,Aggregate,-1,4712,2024-07-25,False,,Aggregate,,L2s
l1,Aggregate,-1,6625,2024-07-25,False,,Aggregate,,L1s
gnosis,L1,100,107,2024-07-25,False,,Other EVMs,,Gnosis
fantom,L1,250,131,2024-07-25,False,,Other EVMs,,Fantom
ethereum,L1,1,2433,2024-07-25,False,,Other EVMs,,Ethereum
celo,L1,42220,90,2024-07-25,False,,Other EVMs,,Celo
bnb,L1,56,2455,2024-07-25,False,,Other EVMs,,BNB
base,L2,8453,3467,2024-07-25,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,347,2024-07-25,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1298,2024-07-25,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10676,2024-07-25,False,,Aggregate,,All
zora,L2,7777777,42,2024-07-24,True,modern,OP Chain,zora,Zora
polygon,L1,137,1833,2024-07-24,False,,Other EVMs,,Polygon PoS
optimism,L2,10,506,2024-07-24,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3814,2024-07-24,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-24,False,,Aggregate,,L3s
l2,Aggregate,-1,4755,2024-07-24,False,,Aggregate,,L2s
l1,Aggregate,-1,6635,2024-07-24,False,,Aggregate,,L1s
gnosis,L1,100,111,2024-07-24,False,,Other EVMs,,Gnosis
fantom,L1,250,131,2024-07-24,False,,Other EVMs,,Fantom
ethereum,L1,1,2457,2024-07-24,False,,Other EVMs,,Ethereum
celo,L1,42220,90,2024-07-24,False,,Other EVMs,,Celo
bnb,L1,56,2467,2024-07-24,False,,Other EVMs,,BNB
base,L2,8453,3506,2024-07-24,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,354,2024-07-24,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1309,2024-07-24,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10718,2024-07-24,False,,Aggregate,,All
zora,L2,7777777,42,2024-07-23,True,modern,OP Chain,zora,Zora
polygon,L1,137,1842,2024-07-23,False,,Other EVMs,,Polygon PoS
optimism,L2,10,508,2024-07-23,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3826,2024-07-23,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-23,False,,Aggregate,,L3s
l2,Aggregate,-1,4756,2024-07-23,False,,Aggregate,,L2s
l1,Aggregate,-1,6654,2024-07-23,False,,Aggregate,,L1s
gnosis,L1,100,112,2024-07-23,False,,Other EVMs,,Gnosis
fantom,L1,250,132,2024-07-23,False,,Other EVMs,,Fantom
ethereum,L1,1,2446,2024-07-23,False,,Other EVMs,,Ethereum
celo,L1,42220,91,2024-07-23,False,,Other EVMs,,Celo
bnb,L1,56,2479,2024-07-23,False,,Other EVMs,,BNB
base,L2,8453,3521,2024-07-23,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,362,2024-07-23,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1306,2024-07-23,False,,Other EVMs,,Arbitrum One
