Team,Contract Address,Contract Num By Creator,Creator Address,Date,Days Since Contract Created,Days Since Creator First Deployed,Median Calldata Gas To W Overhead Per Day T28D,Median Eth Fees To Per Day T28D,Median Num Address Users Trace Growth,Median Num Address Users Trace T28D,Median Num Address Users Tx Growth,Median Num Address Users Tx T28D,Median Num Txs To T28D,Median Num Txs Trace T28D,Median Trace Tx Eth Fees Per Day T28D,Total Calldata Gas To W Overhead Growth,Total Calldata Gas To W Overhead T28D,Total Eth Fees To Growth,Total Eth Fees To T28D,Total Trace Tx Eth Fees Growth,Total Trace Tx Eth Fees T28D,Last Updated
Clique,0x1d94bc0fef20ef2e6332a5a46229f2b394fb5f58,11,0x4401a1667dafb63cff06218a69ce11537de9a101,2023-05-11 00:00:00.000,6,128,11869560,0.9439250562029023,,2952,,2952,3014,3014,0.9439250562029018,,53366724,,5.24719066032147,,5.247190660321464,2023-05-12 18:42:29.815561+00:00
Perpetual Protocol,0x78ab37e32c04efa43cbfb782dad1af3a919c597a,823,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,3,533,0,0.0,,21,,0,0,1359,5.669354114282677,,0,,0.0,,10.469770693369279,2023-05-12 18:42:29.815561+00:00
Galxe,0x2f05e799c61b600c65238a9df060caba63db8e78,1,0x98422d38f6c408d0224b8fa4588b807ca5e66b17,2023-05-11 00:00:00.000,234,234,1406624,0.0645647048479393,119.0,221,128.0,215,248,493,0.4076464042535991,11365541.0,35191320,0.7900514576038002,1.3617843193853245,5.323447855541352,9.020955083325857,2023-05-12 18:42:29.815561+00:00
,0xc815db16d4be6ddf2685c201937905abf338f5d7,3,0x5401fe33559a355638b9b37c9640a04a182feff2,2023-05-11 00:00:00.000,237,237,0,0.0,,124,,0,0,487,0.4818760513009044,,0,,0.0,,10.318851387100253,2023-05-12 18:42:29.815561+00:00
,0x8341f96bd961146023e38ebffe3f2905b1bd9fb6,2,0x5401fe33559a355638b9b37c9640a04a182feff2,2023-05-11 00:00:00.000,237,237,0,0.0,,124,,0,0,487,0.4818760513009037,,0,,0.0,,10.307353956307145,2023-05-12 18:42:29.815561+00:00
Thales,0xcdaa51fa12ac485153f5b74f7ba8ed12b673ebfc,215,0x8314125c8b68af2afd0d151eb4a551e88128a2ae,2023-05-11 00:00:00.000,57,509,0,0.0,-57.0,189,0.0,0,0,378,0.9232923006810566,0.0,0,0.0,0.0,6.4448619904916145,10.019173208185967,2023-05-12 18:42:29.815561+00:00
Synthetix,0xecc8a6af92d825acc5b871993fc83d86cced5a19,287,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,35,238,0,0.0,10.0,14,0.0,0,0,61,2.0702961915548497,0.0,0,0.0,0.0,9.32866920703199,10.01358342261686,2023-05-12 18:42:29.815561+00:00
Perpetual Protocol,0x49c1d2f0214396e9a862169c0a2920b4e8e07173,820,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,3,533,0,0.0,,43,,0,0,2214,5.018939459360536,,0,,0.0,,9.969269411165289,2023-05-12 18:42:29.815561+00:00
Decent,0x4056334cdca09a54ad0e99c195a8de321406c242,38,0xfbe304258dcf193b9a320541985e2078ddb34287,2023-05-11 00:00:00.000,83,217,0,0.0,,177,,0,0,224,0.036162901426988775,,0,,0.0,,9.962213707196252,2023-05-12 18:42:29.815561+00:00
Perpetual Protocol,0x62f5a47dde7a2de8c5dbe4d415b27a708564f8c1,813,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,3,533,0,0.0,,22,,0,0,1413,5.135339060025578,,0,,0.0,,9.915134537914987,2023-05-12 18:42:29.815561+00:00
Zerion,0xd7f1dd5d49206349cae8b585fcb0ce3d96f1696f,1,0x161b29d1919d4e06b53ee449376181b5082b30b9,2023-05-11 00:00:00.000,428,428,2411336,0.13143943176448084,-41.0,119,-41.0,119,151,151,0.18436792538931118,-27133145.0,71688556,1.470381455407007,3.9940551773235056,2.35305795646761,5.8691259002662415,2023-05-12 18:42:29.815561+00:00
Overnight,0x73cb180bf0521828d8849bc8cf2b920918e23032,4,0x5cb01385d3097b6a189d1ac8ba3364d900666445,2023-05-11 00:00:00.000,276,276,0,0.0,-123.0,135,0.0,0,0,252,0.22204608204903029,311869.0,1396292,0.009593214332770716,0.044706443360010145,0.6017301368112893,9.68074381680895,2023-05-12 18:42:29.815561+00:00
Firebird Finance,0x350e44fc8d033ab9cd5f832288f0c8f0ceed795f,6,0xc5584892f5b81c58d0547891641a91c245c26209,2023-05-11 00:00:00.000,154,308,0,0.0,-7.0,72,0.0,0,0,110,0.5323549071429919,0.0,0,0.0,0.0,6.199061851714413,9.724028159032846,2023-05-12 18:42:29.815561+00:00
,0x1422265b19db190ce1e5a661551738987ea151c6,2,0xdcb02bb695306a05f1b947a182f8e1f83ce79f3a,2023-05-11 00:00:00.000,233,233,0,0.0,0.0,3,0.0,0,0,548,0.8676962979872092,0.0,0,0.0,0.0,9.50029998158172,9.717512638986557,2023-05-12 18:42:29.815561+00:00
Overnight,0xb79dd08ea68a908a97220c76d19a6aa9cbde4376,3,0x5cb01385d3097b6a189d1ac8ba3364d900666445,2023-05-11 00:00:00.000,276,276,0,0.0,-123.0,135,0.0,0,0,252,0.22180722949439619,0.0,0,0.0,0.0,0.618203711587265,9.674881302006824,2023-05-12 18:42:29.815561+00:00
Arrakis Finance,0xaf9707c1c3b513d36002f8d87bdbd10c8414b847,30,0x88215a2794ddc031439c72922ec8983bde831c78,2023-05-11 00:00:00.000,14,487,0,0.0,,64,,0,0,148,0.8195202030302701,,0,,0.0,,9.648546162300933,2023-05-12 18:42:29.815561+00:00
Perpetual Protocol,0x849383de33378e7dc0fd05f5d03daa33f231dc90,797,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,3,533,0,0.0,,26,,0,0,1353,4.79630310505597,,0,,0.0,,9.537974755685848,2023-05-12 18:42:29.815561+00:00
Dhedge,0xbea170c49036d7917cda7511b57cafd41efedc01,7,0xef31d75a2f85cfdd9032158a2ceb773c84d79192,2023-05-11 00:00:00.000,528,528,0,0.0,-14.0,77,0.0,0,0,163,0.5905732045749725,0.0,0,0.0,0.0,-2.8094227774142286,9.53200194406307,2023-05-12 18:42:29.815561+00:00
,0xe8e0873f12d7e04630989401bc7b54a67e403df9,6,0x5401fe33559a355638b9b37c9640a04a182feff2,2023-05-11 00:00:00.000,237,237,0,0.0,,124,,0,0,487,0.43659550693008264,,0,,0.0,,9.362290322813138,2023-05-12 18:42:29.815561+00:00
Multichain,0xf390830df829cf22c53c8840554b98eafc5dcbc2,10,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251,2023-05-11 00:00:00.000,385,542,0,0.0,-48.0,124,0.0,0,0,496,0.3264422522212338,0.0,0,0.0,0.0,2.796218580093167,9.322159581271924,2023-05-12 18:42:29.815561+00:00
Sonne Finance,0x5ff29e4470799b982408130efaabdeeae7f66a10,40,0xfb59ce8986943163f14c590755b29db2998f2322,2023-05-11 00:00:00.000,225,228,0,0.0,-35.0,77,0.0,0,0,138,0.215381892142845,-1641488.0,0,-0.1117209778041101,0.0,4.603470102999109,9.315955879868335,2023-05-12 18:42:29.815561+00:00
Overnight,0x5ef0f3f3ba2e6d146469baa18e47e7f199db23fc,582,0x5cb01385d3097b6a189d1ac8ba3364d900666445,2023-05-11 00:00:00.000,43,276,0,0.0,0.0,3,0.0,0,0,38,1.435718393746982,0.0,0,0.0,0.0,7.83367565543015,9.142986232916224,2023-05-12 18:42:29.815561+00:00
