,Contract Address,Contract Num By Creator,Contract Project,Creator Address,Days Since Contract Created,Days Since Creator First Deployed,Dt,Median Calldata Gas To W Overhead Per Day,Median Eth Fees To Per Day,Median Num Address Users Trace,Median Num Address Users Tx,Median Num Txs Trace,Median Num Txs Tx,Median Trace L2 Eth Fees Per Day,Median Trace Tx Eth Fees Per Day,Total Calldata Gas To W Overhead T28D,Total Eth Fees To T28D,Total Trace L2 Eth Fees T28D,Total Trace L2 Gas Used T28D,Total Trace Tx Eth Fees T28D,Last Updated
183,0xad7b4c162707e0b2b5f6fddbd3f8538a5fba0d60,135,Perpetual Protocol,0x849a19c0746fb0d335e02dec0d0b3e057e585176,528,531,2023-05-09 00:00:00.000,577384,0.0310845609623874,280,89,17837,134,0.0001851074090535,0.0110927968549885,17703612,0.9573609371506272,0.0054137393534305,3736585476,0.3412612859072602,2023-05-10 21:13:47.048476+00:00
184,0xddbea7f93a4e726eedd4bd015e21c1001fb16fed,19,Zkbridge,0x15051107651f3420144d3a2412d49402c2fac3c0,46,50,2023-05-09 00:00:00.000,0,0.0,129,0,420,0,2.162581807080008e-06,0.0811308406794492,0,0.0,4.0228590338148105e-05,40160835,1.2810417560981355,2023-05-10 21:13:47.048476+00:00
185,0x3fe00c6faf8a622435afc4dc9e0cad98ea1937c1,35,Zkbridge,0x15051107651f3420144d3a2412d49402c2fac3c0,34,50,2023-05-09 00:00:00.000,0,0.0,129,0,420,0,0.0,0.0811308406794493,0,0.0,0.0,0,1.2810417560981353,2023-05-10 21:13:47.048476+00:00
186,0xd30bdfd7e7a65fe109d5de1d4e95f3b800fb7463,251,Synthetix,0x302d2451d9f47620374b54c521423bf0403916a2,34,236,2023-05-09 00:00:00.000,0,0.0,422,0,2697,0,0.0001391048937743,0.035179604214992,0,0.0,0.0053685546591695,3862303448,1.2729930825385456,2023-05-10 21:13:47.048476+00:00
187,0xc5b001dc33727f8f26880b184090d3e252470d45,58,Ethos Reserve,0xe00691e65cd4400c84a174a4c56f20ba43dffd89,41,43,2023-05-09 00:00:00.000,0,0.0,137,0,471,0,0.0,0.0272993377659771,4678384,0.1957900754791193,0.0,0,1.074020179485304,2023-05-10 21:13:47.048476+00:00
188,0xfedfaf1a10335448b7fa0268f56d2b44dbd357de,3,Op,0xab1ef74d2c461e95f4b658ca1f94ac519ad80ba2,345,378,2023-05-09 00:00:00.000,1011808,0.056495803261899,72,72,72,72,1.78702340521e-06,0.0282479016309495,16123104,0.8389737554457057,0.0002480024583814,25506867,0.4194868777228528,2023-05-10 21:13:47.048476+00:00
189,0x8cd6b19a07d754bf36adeee79edf4f2134a8f571,42,Sonne Finance,0xfb59ce8986943163f14c590755b29db2998f2322,223,226,2023-05-09 00:00:00.000,0,0.0,122,0,211,0,3.822671204999999e-05,0.0078958980992682,17854256,0.7227753519005575,0.002595805589547,2560526825,0.5257132755313407,2023-05-10 21:13:47.048476+00:00
190,0x6330d5f08f51057f36f46d6751ecdc0c65ef7e9e,29,Synthetix,0x302d2451d9f47620374b54c521423bf0403916a2,201,236,2023-05-09 00:00:00.000,0,0.0,540,0,732,0,0.0009093317398946,0.0206132808089871,6457336,0.3763598379566709,0.0276000698771347,27342956792,0.8615763974485984,2023-05-10 21:13:47.048476+00:00
191,0x39fde572a18448f8139b7788099f0a0740f51205,43,Multichain,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251,243,540,2023-05-09 00:00:00.000,0,0.0,158,0,378,0,0.0,0.031456582308503,3573968,0.1538701822915665,0.0,0,1.0796611970292518,2023-05-10 21:13:47.048476+00:00
192,0x8f7492de823025b4cfaab1d34c58963f2af5deda,52,Connext,0xade09131c6f43fe22c2cbabb759636c43cfc181e,139,200,2023-05-09 00:00:00.000,0,0.0,95,0,271,0,1.524463999999999e-06,0.03641159612041,4585084,0.206605721186635,0.0003982595335407,36394959,1.0247471355882083,2023-05-10 21:13:47.048476+00:00
