block_date,chain_id,total_len_encoded_transaction,average_len_encoded_transaction,transaction_count,total_len_compressed_transaction,average_len_compressed_transaction,total_estimatedSize,average_estimatedSize,chain_name
2024-05-23,10.0,1448588312,1103.1383358514474,1313152,648344742,493.73167919631544,492905743.4806,375.3607681978933,op
2024-05-19,10.0,600297588,837.7445531731987,716564,286515974,399.8470115718903,213565933.9768,298.04167384462517,op
2024-05-18,10.0,655632718,869.933999241035,753658,295121014,391.58479575616525,219218413.5404,290.872535739553,op
2024-05-17,10.0,792279490,838.3448635630632,945052,356922896,377.67540410474766,263488930.5188,278.808923232584,op
2024-05-16,10.0,866741476,797.0359039814025,1087456,397286670,365.33585726686874,292630881.4734,269.0967556143881,op
2024-05-15,10.0,952516844,844.6589624490332,1127694,422813108,374.9360269718558,312567374.665,277.1739272045431,op
2024-05-14,10.0,1249828832,1296.4733501932528,964022,570066750,591.3420544344424,441652786.4376,458.1355886459023,op
2024-05-13,10.0,1559333772,1523.8821770334928,1023264,653118826,638.2701101573006,509257916.266,497.67989127536976,op
2024-05-12,10.0,1547764350,1931.5473575703725,801308,641838896,800.9890029801275,508384793.1972,634.4436760860992,op
2024-05-11,10.0,1559147514,1834.632218694769,849842,632937422,744.7707009067568,499060334.319,587.2389624412538,op
2024-05-10,10.0,1574865439,1540.4818833633306,1022320,657725446,643.3655274278112,512914282.8668,501.71598214531656,op
2024-06-06,8453.0,2664140738,909.9186266965721,2927889,1072988008,366.47154588169155,786397442.5396,268.5885436707471,base
2024-06-05,8453.0,2556748355,872.6609922760024,2929830,1071825867,365.8321018625654,786668676.1254,268.5031814560572,base
2024-06-04,8453.0,2219860257,820.2710822938884,2706252,1013705913,374.5792753224755,746846501.4099,275.9707896418737,base
2024-06-03,8453.0,2145610544,848.8578866327695,2527644,925247188,366.05122715065886,679915011.8578,268.9916031916678,base
2024-06-02,8453.0,1986168460,889.1159060804371,2233869,792439314,354.73848914148505,578774980.6298,259.0908332716914,base
2024-06-01,8453.0,1663622653,789.1865706335133,2108022,769100754,364.8447473508341,564398678.2808,267.7385142473845,base
2024-05-31,8453.0,1854357412,813.4491589179439,2279623,811570975,356.01104875674616,591863184.7316,259.63204649698656,base
2024-05-30,8453.0,1641126433,723.0065030327809,2269864,783815023,345.3136500689028,569432078.9434,250.86616596562615,base
2024-05-29,8453.0,1490253350,681.6687662154695,2186184,806224645,368.7816967830704,591597201.9737,270.60723249904856,base
2024-05-28,8453.0,1265857489,655.8534458461047,1930092,687236177,356.06394772891656,502190630.5021,260.1899963846801,base
2024-05-27,8453.0,1226920195,692.5163827183628,1771684,628002563,354.46646410985255,456940190.3175,257.9129180584687,base
2024-05-26,8453.0,1352387375,727.8264216804315,1858118,646686902,348.0332799101026,468825826.6001,252.31219255187236,base
2024-05-25,8453.0,1205379693,725.4868367121543,1661477,635630623,382.56961907989097,467368446.6294,281.2969704843341,base
2024-05-24,8453.0,1313382478,650.8827612387058,2017848,717519437,355.58646488734536,521870407.2749,258.6272143763554,base
2024-05-23,8453.0,1347914253,602.4644746828145,2237334,728084381,325.4249839317688,522600946.7959,233.58199839447306,base
2024-05-22,8453.0,1390456500,652.7189493454533,2130253,743667096,349.09801605724766,539309791.4957,253.16701419770328,base
2024-05-22,8453.0,1390456500,652.7189493454533,2130253,743667096,349.09801605724766,539309791.4957,253.16701419770328,base
