chains_filtered,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
Osmosis,0.014723744846224626,0.013518398608281652,0.012211969552614358,0.008088508160864474,0.006160627525838104,0.005932272430810405,0.004744049529791848,0.004210228101048141,0.004598152573939987,0.004226423785366701,0.004046619991297766,0.003880004985853308
Others,0.0727984544155549,0.07023522383342394,0.07255772227211882,0.06416231852507229,0.06652001831700191,0.06113845096043735,0.05846874397718285,0.05758433219689677,0.05956238010075238,0.05562400457176259,0.05047851704360207,0.05013920587048922
Polygon,0.02272517010802798,0.019677514737013718,0.016405271274484063,0.0169419228722274,0.015765627720558353,0.01503254716695681,0.015119622192428668,0.01865421432433389,0.020809418179816724,0.020117401102058504,0.019979595435169705,0.018842075751560387
Pulse,0.015450144436434828,0.0219034533806206,0.02466251477442842,0.017965821905472683,0.015063391537041355,0.014528966612780055,0.013634260326047878,0.013406874327545802,0.015202212934922115,0.017174135644937555,0.02091509197166613,0.029687505393960666
Ripple,0.0,0.0,0.0,0.0,0.0,0.0,0.0006191238072720915,0.0008036306931059794,0.0008644952782492424,0.0,0.0,0.0024416196478415143
Ronin,0.010832930556375115,0.013079605014917069,0.013469219185185264,0.010072976375450595,0.009420028239630226,0.010246141379288377,0.008632901876630248,0.0077788739113382604,0.007786225977582164,0.007246142104657572,0.006826091358746924,0.006474179466332008
Sei,0.0006490264863396249,0.0010153996442343299,0.0016642341398864391,0.001739654875570717,0.0014089917784631634,0.0012086689914352995,0.0014103263178403297,0.0018016883028929593,0.0026839184868277166,0.0026762156418388,0.0036227127303423493,0.0037034421215131254
Solana,0.030143075177605994,0.03247436323393959,0.055104164826289076,0.06169455973631611,0.06813744482873586,0.04851065484334207,0.09485106571467157,0.09874301832560206,0.09705028545849867,0.11716856951739564,0.11594411020289036,0.12171434260755704
Stacks,0.003320756775262753,0.005099614354589945,0.007580370785635843,0.00645970786965202,0.004503569197124028,0.004165378555503183,0.0022986444810081646,0.0029318887545561724,0.002312704495048553,0.0030664043301738544,0.0025576114631541283,0.0027802984626229404
Starknet,0.001904751111201408,0.0025947963304777154,0.004989142403997391,0.0043509614165020884,0.0036952387191299665,0.003921857991718108,0.004812843117068938,0.006018070494382221,0.005837194301060824,0.004874557161703363,0.0042685901588624345,0.0038184656178079216
Sui,0.012185017712659283,0.01861391197090403,0.016825285789958237,0.01337452558605818,0.014291496491563404,0.012173804236531348,0.009943057040654138,0.009179145280236988,0.012454772747796257,0.018142393007068013,0.022278059916460587,0.017556267618765973
TON,0.0011152240258697627,0.001173952726259976,0.0029156457392511296,0.006485879443017214,0.011194639622068433,0.025201545591454193,0.03581493911299786,0.028253205170574707,0.019537592132486042,0.01852119523135644,0.01349540517246077,0.009950576749823747
Taiko,0.0,0.0,0.0,0.0,3.176910772006873e-05,0.00046800246289576677,0.0006186071613077248,0.0006360954074605949,0.0005513518675364446,0.00033518376002981455,0.003251288902813138,0.004974097777332859
Thorchain,0.011307508053502459,0.011065235237999432,0.013223387727842236,0.009199627306694665,0.008822764344573106,0.00793742935699228,0.00659264077143647,0.0064894845224688375,0.006950729387779848,0.007042242439600226,0.007480863054282834,0.007080505312089276
Tron,0.030850059997722362,0.03489790569958595,0.034544483665087534,0.027234266513375613,0.02752917290989185,0.028079096965724717,0.02954007224774613,0.038614481920174575,0.045159896169134725,0.04058407326621638,0.03635281228333027,0.03505063621715882
ZKsync Era,0.007938711944644069,0.006838673184696528,0.0070476108823316706,0.005433197658054662,0.00531351239062713,0.005196377052355316,0.004080485743992669,0.003465506746695494,0.0033746469967566653,0.002974487639371874,0.0027547012588064624,0.0025151171659314312
xDai,0.007129764182980286,0.007558848577884271,0.007837824339292025,0.006058484900048677,0.00580373821130197,0.006116642694558838,0.005451859252609328,0.005495943677259069,0.005365947999208832,0.005545389819502785,0.006007843647129931,0.005390875822259185
zkSync Era,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002293453250415688
