_col15,_col22,_col29,_col36,_col8,announce_date,app_name,category,end_date,gas_fee_eth_per_day,gas_fee_eth_per_day_after,gas_fee_eth_per_day_prev,gas_fee_usd_per_day,gas_fee_usd_per_day_after,gas_fee_usd_per_day_prev,incentive_type,incremental_addr_per_day,incremental_addr_per_day_after,incremental_gas_fee_eth_per_day,incremental_gas_fee_eth_per_day_after,incremental_gas_fee_usd_per_day,incremental_gas_fee_usd_per_day_after,incremental_l1_gas_used_per_day,incremental_l1_gas_used_per_day_after,incremental_l2_gas_used_per_day,incremental_l2_gas_used_per_day_after,incremental_txs_per_day,incremental_txs_per_day_after,l1_gas_used_per_day,l1_gas_used_per_day_after,l1_gas_used_per_day_prev,l2_gas_used_per_day,l2_gas_used_per_day_after,l2_gas_used_per_day_prev,num_addr_per_day,num_addr_per_day_after,num_addr_per_day_prev,num_op,op_source,start_date,txs_per_day,txs_per_day_after,txs_per_day_prev,last_updated
|,|,|,|,|,2022-08-10T00:00:00Z,Kwenta,['Perpetuals'],2023-08-30T00:00:00Z,,,,,,,['Trades/Swaps'],,,,,,,,,,,,,,,,,,,,,,900000,['Phase 0'],2022-08-16T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-08-13T00:00:00Z,Celer,['Cross-Chain / Bridging'],,,,,,,,"['Liquidity Providing / Deposits, Bridging, Gas Rebate']",,,,,,,,,,,,,,,,,,,,,,1000000,['Phase 0'],2022-08-15T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-08-15T00:00:00Z,Slingshot,['DEX (Decentralized Exchange)'],,,,,,,,['Trades/Swaps'],,,,,,,,,,,,,,,,,,,,,,300000,['Phase 0'],2022-08-15T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-08-25T00:00:00Z,Synthetix,"['Synthetic Assets, Perpetuals']",2023-08-30T00:00:00Z,116.29174551976581,10.369463378479498,29.231931995507697,337283.3716073325,30074.77060749646,84781.98119715472,['Liquidity Providing / Deposits'],1000.1782569631628,-375.7057471264368,87.05981352425812,-18.8624686170282,252501.39041017776,-54707.21058965826,4041969485.074573,-1299535978.9425287,68155501131.12022,-10612411456.848278,1745.93153638814,-880.1241379310345,6201569091.74124,860063627.7241379,2159599606.6666665,103701443654.52022,24933531066.551723,35545942523.4,2410.711590296496,1034.8275862068965,1410.5333333333333,9000000,['Phase 0'],2022-08-25T00:00:00Z,4238.33153638814,1612.2758620689656,2492.4,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-08-29T00:00:00Z,Pika Protocol,['Perpetuals'],,,,,,,,"['Liquidity Providing / Deposits, Trades/Swaps']",,,,,,,,,,,,,,,,,,,,,,900000,['Phase 0'],2022-08-29T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-09-06T00:00:00Z,1inch,['DEX (Decentralized Exchange)'],2022-09-06T00:00:00Z,,,,,,,['Retroactive Airdrop'],,,,,,,,,,,,,,,,,,,,,,300000,['Phase 0'],2022-09-06T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-09-09T00:00:00Z,Pickle Finance,['Yield Aggregator'],,,,,,,,['Liquidity Providing / Deposits'],,,,,,,,,,,,,,,,,,,,,,200000,['Season 1'],2022-09-09T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-09-12T00:00:00Z,Aelin,['Other DeFi'],2022-09-14T00:00:00Z,,,,,,,"['Other, Liquidity Providing / Deposits, Bridging']",,,,,,,,,,,,,,,,,,,,,,900000,['Phase 0'],2022-09-12T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-09-13T00:00:00Z,Beefy Finance,['Yield Aggregator'],,,,,,,,"['DEX Liquidity, Liquidity Providing / Deposits']",,,,,,,,,,,,,,,,,,,,,,650000,['Season 1'],2022-09-13T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-09-14T00:00:00Z,Polynomial Protocol,['Options'],,,,,,,,"['Retroactive Airdrop, Liquidity Providing / Deposits']",,,,,,,,,,,,,,,,,,,,,,900000,['Phase 0'],2022-09-14T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-09-19T00:00:00Z,XToken,['Yield Aggregator'],2023-03-21T00:00:00Z,,,,,,,['Liquidity Providing / Deposits'],,,,,,,,,,,,,,,,,,,,,,450000,['Season 1'],2022-09-19T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-09-19T00:00:00Z,Gamma,"['Yield Aggregator', None]",2023-11-29T00:00:00Z,,,,,,,['Liquidity Providing / Deposits'],,,,,,,,,,,,,,,,,,,,,,1450000,"['Season 1', 'Partner Fund']",2022-11-01T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2022-09-22T00:00:00Z,Hop Protocol,['Cross-Chain / Bridging'],,8.584362286419786,,0.9960202087003622,24897.404730848844,,2888.7781559904183,['Bridging'],179.62491909385108,,7.588342077719424,,22008.626574858426,,391789050.1682848,,4243896061.6262136,,809.9343042071198,,473960738.83495146,,82171688.66666667,5225916640.726213,,982020579.1,566.8582524271844,,387.23333333333335,1000000,['Phase 0'],2022-09-22T00:00:00Z,1636.7009708737864,,826.7666666666667,2024-02-19 12:10:10.399885+00:00
