alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,calldata_bytes_l1_inbox,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_bytes_used_total,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_eth_fees_to_validators_total,l1_eth_fees_total,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_total,l1_num_txs_total,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,secs_between_l1_txs_inbox,secs_between_l1_txs_output,share_elapsed,last_updated
OP Stack Fork,,8.627537827458083,8.506382950280253,8.110181582870004,99891593,2024-05-13 00:00:00.000 UTC,,,,455426191,13.555098846899739,40039.248721263815,13.766001965876415,13.748667815253535,0.017334150622878713,360.9756900593897,1251.557717938092,1618413944,1616276612,2137332.0,108617179004,1163122,0.19356896835378914,571.7436454702827,40662.16832466828,40610.99236673408,51.17595793420462,Blast,1081,1105,1081,24.0,79.92599444958371,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,10.829659895307692,9.22225998425589,0,2024-05-13 00:00:00.000 UTC,2.0447232e-11,20447232.0,6.019559718912001e-08,455426191,0.0,0.0,0.026539574782151833,0.0059129943232852315,0.0206265804588666,360.9756900593897,1251.557717938092,2782608,546000,2236608.0,108617179004,1163122,0.005912994302838,17.45317573470326,78.33523418304647,17.453175794898858,60.882058388147605,Mode,156,50,26,24.0,3323.076923076923,3600.0,,2024-06-08 13:14:12.086207
OP Chain,,227.61060801470725,5.603329996086608,4.7865285465000005,2686,2024-05-25 00:00:00.000 UTC,,,,447844440,0.000234527586773824,0.8785064673286318,0.010422593276200843,0.009530547097103824,0.000892046179097019,332.84024957949515,821.7501259862892,1887238,1700872,186366.0,108693616461,1157033,0.009296019510330001,34.82151067563325,39.055640707578874,35.700017142961876,3.355623564616998,Redstone,79,81,79,2.0,1093.6708860759493,43200.0,,2024-06-08 13:14:12.086207
OP Chain,1.0000000000000005e-09,Infinity,6.5776458609805015,5.532127557560523,0,2024-05-25 00:00:00.000 UTC,4.705484800000001e-11,47054848.0,1.7630172676096e-07,447844440,0.0,0.0,0.050619939062909854,0.04958887219298684,0.0010310668699230149,332.84024957949515,821.7501259862892,7725378,7539000,186378.0,108693616461,1157033,0.049588872145932,185.77893298455166,189.6475982392928,185.77893316085343,3.8686650784393564,Metal,359,361,359,2.0,240.66852367688023,43200.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,6.802047621466666,5.373810588222247,0,2024-05-25 00:00:00.000 UTC,1.179648e-11,11796480.0,4.422843236352001e-08,447844440,0.0,0.0,0.014662436070976314,0.00214264501255848,0.012519791058417834,332.84024957949515,821.7501259862892,2644779,315000,2329779.0,108693616461,1157033,0.0021426450007619997,8.032549700012511,54.93791602789382,8.032549744240942,46.905366283652874,Zora,90,40,15,25.0,5760.0,3456.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,19.15539433,15.6656705845,0,2024-05-28 00:00:00.000 UTC,1.048576e-12,1048576.0,4.0472674304e-09,329303329,0.0,0.0,0.0059392332290162265,0.003218106248488576,0.00272112698052765,523.6965054134749,2240.817571260801,341700,168000,173700.0,108571473028,1105315,0.0032181062474400004,12.421850895341118,22.91860412373813,12.421850899388385,10.496753224349746,Mint,8,10,8,2.0,10800.0,43200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,194.7338082740101,5.356688690782717,5.703752018188792,492,2024-05-25 00:00:00.000 UTC,,,,447844440,3.8190613446144e-05,0.1430617357364701,0.013276284283535684,0.001388068027065144,0.01188821625647054,332.84024957949515,821.7501259862892,2343408,259128,2084280.0,108693616461,1157033,0.001349877413619,5.056680128483223,49.68876810521717,5.199741864219694,44.489026240997475,Public Goods Network,12,36,12,24.0,7200.0,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,164.10161235006768,4.523853070331253,4.25455983521786,2911,2024-05-25 00:00:00.000 UTC,,,,447844440,0.00019119675758865997,0.7162541548994981,0.009208035409933918,0.00693627914944066,0.0022717562604932582,332.84024957949515,821.7501259862892,2067226,1533268,533958.0,108693616461,1157033,0.006745082391852002,25.268118125684833,34.48530127328248,25.984372280584328,8.500928992698153,Karak,71,77,71,6.0,1216.9014084507041,14400.0,,2024-06-08 13:14:12.086207
OP Chain,,219.91068283434348,5.4191002940169355,5.5484403494093035,3400,2024-05-25 00:00:00.000 UTC,,,,447844440,0.000287508065613928,1.0770742411280871,0.024077379056930765,0.01166762640263493,0.012409752654295836,332.84024957949515,821.7501259862892,4389676,2153056,2236620.0,108693616461,1157033,0.011380118337021,42.63261983031008,90.20183534660544,43.709694071438165,46.49214127516728,CyberConnect,100,124,100,24.0,864.0,3600.0,,2024-06-08 13:14:12.086207
OP Chain,9.999999999999986e-10,Infinity,6.203779163531248,5.167258749334001,0,2024-05-25 00:00:00.000 UTC,2.9622271999999984e-11,29622272.0,1.1099841495039996e-07,447844440,0.0,0.0,0.05594636209111808,0.02084469801908727,0.03510166407203081,332.84024957949515,821.7501259862892,10153092,3360000,6793092.0,108693616461,1157033,0.02084469798946501,78.0853321627615,209.5901966672549,78.08533227375997,131.50486439349493,Kroma,226,204,160,44.0,540.0,1963.6363636363637,,2024-06-08 13:14:12.086207
OP Chain,9.999999999999986e-10,Infinity,9.575395380637495,8.897758852788497,0,2024-05-13 00:00:00.000 UTC,2.0971520000000005e-11,20971520.0,6.172214296576e-08,455426191,0.0,0.0,0.08508967955006888,0.032173328499913514,0.05291635105015536,360.9756900593897,1251.557717938092,9307155,3360000,5947155.0,108617179004,1163122,0.03217332847894198,94.95693311260199,251.22057319917343,94.95693317432408,156.26364002484937,Kroma,160,191,160,31.0,540.0,2787.0967741935483,,2024-06-08 13:14:12.086207
OP Stack Fork,,32.84065215183668,9.529313561094066,8.22859777806214,77457,2024-05-13 00:00:00.000 UTC,,,,455426191,0.015623766692662074,45.998893226005336,0.09176777549669718,0.040314485248039066,0.05145329024865812,360.9756900593897,1251.557717938092,10483560,4230576,6252984.0,108617179004,1163122,0.024690718555376995,72.92060361076261,270.89932072472834,118.91949683676792,151.9798238879604,Manta Pacific,143,215,143,72.0,604.1958041958042,1200.0,,2024-06-08 13:14:12.086207
OP Chain,9.999999999999999e-10,Infinity,7.448637544080334,6.746472892086432,0,2024-05-26 00:00:00.000 UTC,4.731699200000002e-11,47316992.0,1.800495366144e-07,430009344,0.0,0.0,0.05772535347832186,0.056468121268989986,0.001257232209331875,361.56160724292835,943.2109059971172,7767354,7581000,186354.0,108721377523,1139013,0.05646812122167301,215.52716097186445,220.3203775782871,215.527161151914,4.793216426373118,Metal,361,363,361,2.0,239.33518005540165,43200.0,,2024-06-08 13:14:12.086207
OP Chain,1.000000000000003e-09,Infinity,7.694044942025054,6.21526982450776,0,2024-05-26 00:00:00.000 UTC,3.7670092800000173e-10,376700928.0,1.4334189187891208e-06,430009344,0.0,0.0,0.0903489102048317,0.07739439844853087,0.012954511756300826,361.56160724292835,943.2109059971172,12143304,10059000,2084304.0,108721377523,1139013,0.0773943980718299,295.38435606392414,344.83558151378605,295.3843574973432,49.451224016442836,Base,2874,503,479,24.0,180.3757828810021,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,341.27496394319587,9.397936159216185,8.735678948833042,738,2024-05-13 00:00:00.000 UTC,,,,455426191,0.000100693876215968,0.29720264747379355,0.02337831821416016,0.0036530153768319683,0.019725302837328193,360.9756900593897,1251.557717938092,2646720,388704,2258016.0,108617179004,1163122,0.0035523215006160007,10.484677100058096,68.86159473260983,10.781879747531889,58.079714985077935,Public Goods Network,18,44,18,26.0,4800.0,3323.076923076923,,2024-06-08 13:14:12.086207
OP Chain,,412.8730340097169,10.181315651405633,4.882304342,3094,2024-05-13 00:00:00.000 UTC,,,,455426191,0.000491614250169484,1.4522268997720813,0.02085842736315487,0.01994841465684949,0.00091001270630538,360.9756900593897,1251.557717938092,2145706,1959316,186390.0,108617179004,1163122,0.019456800406680002,57.47570299091806,61.61544630720344,58.92792989069014,2.6875164165133065,Redstone,91,93,91,2.0,949.4505494505495,43200.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,9.432762484374999,8.6843668725,0,2024-05-13 00:00:00.000 UTC,1.048576e-12,1048576.0,3.0897654988799995e-09,455426191,0.0,0.0,0.003203383239788851,0.001584704098423576,0.001618679141365275,360.9756900593897,1251.557717938092,354390,168000,186390.0,108617179004,1163122,0.0015847040973750001,4.680045353114181,9.450681106387957,4.680045356203947,4.770635750184011,Metal,8,10,8,2.0,10800.0,43200.0,,2024-06-08 13:14:12.086207
OP Chain,,349.37138106281475,8.610982708137247,8.628107045186159,1224,2024-05-13 00:00:00.000 UTC,,,,455426191,0.00016462447288501198,0.48628502464398654,0.025971582696705027,0.006674407141008012,0.019297175555697016,360.9756900593897,1251.557717938092,3011652,775104,2236548.0,108617179004,1163122,0.006509782668123002,19.22922557372248,76.63192153407573,19.715510598366464,56.91641093570926,CyberConnect,36,60,36,24.0,2400.0,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,260.45445500911495,7.187965766874999,6.7644538342329845,328,2024-05-26 00:00:00.000 UTC,,,,430009344,3.427222077646e-05,0.13098627649512026,0.009466506366317313,0.00124185046961146,0.008224655896705853,361.56160724292835,943.2109059971172,1388632,172768,1215864.0,108721377523,1139013,0.001207578248835,4.615288265767659,36.13146808136739,4.746274542262779,31.385193539104606,Aevo,8,22,8,14.0,10800.0,6171.428571428572,,2024-06-08 13:14:12.086207
OP Stack Fork,,303.51430731910193,8.348598568766695,7.452523537530544,2911,2024-05-13 00:00:00.000 UTC,,,,455426191,0.00035193032712116785,1.039282356489327,0.01677908269764345,0.012799837564873167,0.003979245132770284,360.9756900593897,1251.557717938092,2067118,1533172,533946.0,108617179004,1163122,0.012447907237752003,36.759942759427446,49.54995734815527,37.79922511591677,11.750732232238496,Karak,71,77,71,6.0,1216.9014084507041,14400.0,,2024-06-08 13:14:12.086207
OP Chain,,250.47804482779574,6.174045189764802,6.363414739315784,3162,2024-05-26 00:00:00.000 UTC,,,,430009344,0.000304811145659692,1.1623714248452155,0.026595177104245162,0.012362636429996689,0.014232540674248473,361.56160724292835,943.2109059971172,4238976,2002356,2236620.0,108721377523,1139013,0.012057825284337,45.98121411562086,101.4992571712051,47.14358554046606,54.35567163073904,CyberConnect,93,117,93,24.0,929.0322580645161,3600.0,,2024-06-08 13:14:12.086207
OP Chain,,261.0104865889732,6.427895213005905,5.250517694560893,2754,2024-05-26 00:00:00.000 UTC,,,,430009344,0.00027607267705122,1.0540782536564783,0.01218849598780809,0.01120991500093122,0.00097858098687687,361.56160724292835,943.2109059971172,1930326,1743948,186378.0,108721377523,1139013,0.010933842323880002,41.746584565515185,46.54124846670662,42.800662819171656,3.740585647534961,Redstone,81,83,81,2.0,1066.6666666666667,43200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,338.8973736470078,9.33126590020363,9.224148433990177,8364,2024-05-13 00:00:00.000 UTC,,,,455426191,0.0011318424155244554,3.3408620528568,0.059531689841389665,0.041106988345103464,0.018424701496286205,360.9756900593897,1251.557717938092,6402738,4405296,1997442.0,108617179004,1163122,0.039975145929578966,117.99451789793683,175.74409328841278,121.3353799507937,54.40871333761909,Lyra,204,227,204,23.0,423.52941176470586,3756.521739130435,,2024-06-08 13:14:12.086207
OP Stack Fork,,196.02022433464862,5.397877694844613,5.364985936551778,5863,2024-05-26 00:00:00.000 UTC,,,,430009344,0.000458866148323184,1.7531092214082522,0.0502160762465917,0.016668840645277183,0.033547235601314514,361.56160724292835,943.2109059971172,9341032,3088036,6252996.0,108721377523,1139013,0.016209974496954,61.930979008149095,191.87915975363578,63.68408822955737,128.1950715240784,Manta Pacific,143,215,143,72.0,604.1958041958042,1200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,346.4164781726198,9.537146740065456,9.505294859435395,29807,2024-05-13 00:00:00.000 UTC,,,,455426191,0.004122284106216335,12.173757773038515,0.1695377267076353,0.14972568854739637,0.019812038160238944,360.9756900593897,1251.557717938092,17783528,15699212,2084316.0,108617179004,1163122,0.14560340444118,429.9890952203416,500.666209270471,442.16285299338034,58.50335627709062,Orderly,727,751,727,24.0,118.84456671251719,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1.000000000000003e-09,Infinity,10.689161901947672,8.810266325408318,0,2024-05-13 00:00:00.000 UTC,4.057989120000014e-10,405798912.0,1.19460760387584e-06,455426191,0.0,0.0,0.13419071494883006,0.11582775877530392,0.018362956173526138,360.9756900593897,1251.557717938092,12920268,10836000,2084268.0,108617179004,1163122,0.11582775836950505,341.89334791246506,396.08791680500167,341.89334910707277,54.194567697928925,Base,3096,540,516,24.0,167.4418604651163,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,328.41864504942987,9.037001248787693,9.702465264207131,820,2024-05-13 00:00:00.000 UTC,,,,455426191,0.00010741004832142399,0.3169219920672814,0.015699930902914532,0.003902936247331424,0.011796994655583107,360.9756900593897,1251.557717938092,1647760,431884,1215876.0,108617179004,1163122,0.00379552619901,11.1988227747222,46.350579786712906,11.515744766789481,34.834835019923425,Aevo,20,34,20,14.0,4320.0,6171.428571428572,,2024-06-08 13:14:12.086207
