,from_link,from_name,funding_sources,op_approved_to_project,op_claimed,op_deployed,op_from_other_projects,op_incoming_clawback,op_to_project,p1,p2,p3,pct_allocated_approved,pct_approved_to_project,pct_claimed_to_project,pct_deployed_claimed,pct_to_project_deployed,program_status,proposal_links,total_op_allocated,last_updated
23,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Across%20Protocol"" target=""_blank"">Across Protocol</a>",Across Protocol,Governance - Season 2,0.0,0,0,0,0,0,|,|,|,,,,,,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0xda1cc880069dceea9e386323120875ddecd1d23dcb46eab588beaf88b39f5a62"" target=""_blank"">Link</a>",750000,2023-02-14 11:50:30.086732+00:00
24,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Beefy%20Finance"" target=""_blank"">Beefy Finance</a>",Beefy Finance,Governance - Season 1,650000.0,270860,255189,0,0,650007,|,|,|,1.0,1.0000107692307691,0.4167032047347182,1.0614093867682384,0.3925942336005612,Live Program,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-beefy/2967"" target=""_blank"">Link</a>",650000,2023-02-14 11:50:30.086732+00:00
25,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Rocket%20Pool"" target=""_blank"">Rocket Pool</a>",Rocket Pool,Governance - Season 1,600000.0,118271,102859,0,0,600000,|,|,|,1.0,1.0,0.19711833333333334,1.1498361835133533,0.17143166666666668,Live Program,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-rocket-pool/2822"" target=""_blank"">Link</a>",600000,2023-02-14 11:50:30.086732+00:00
26,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Tarot%20Finance"" target=""_blank"">Tarot Finance</a>",Tarot Finance,Governance - Season 2,540000.0,0,0,0,0,540000,|,|,|,1.0,1.0,0,NaN,0,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x8d9f64ad44887ec43ecba44ca605912ab541ccff49012691f4a1e0c1b7ec9b05"" target=""_blank"">Link</a>",540000,2023-02-14 11:50:30.086732+00:00
27,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Curve"" target=""_blank"">Curve</a>",Curve,Governance - Season 2,0.0,0,0,0,0,0,|,|,|,,,,,,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0xfba0828a2f887ce56f6c7a548e886fb2028cb062057ff3ca55c6eff95260c9a8"" target=""_blank"">Link</a>",504828,2023-02-14 11:50:30.086732+00:00
28,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=SushiSwap"" target=""_blank"">SushiSwap</a>",SushiSwap,Governance - Season 2,504000.0,0,0,0,0,504000,|,|,|,1.0,1.0,0,NaN,0,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x638f2adbeded3a0409ea238610753a86c78d4c4cc5569565139c350f58ba944b"" target=""_blank"">Link</a>",504000,2023-02-14 11:50:30.086732+00:00
29,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Beethoven%20X"" target=""_blank"">Beethoven X</a>",Beethoven X,Governance - Season 1,500000.0,182377,196546,41092,0,541092,|,|,|,1.0,1.082184,0.3370535879295942,0.9279100058001689,0.363239523038596,Live Program,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-balancer-beethovenx/2658"" target=""_blank"">Link</a>",500000,2023-02-14 11:50:30.086732+00:00
30,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Gnosis%20Safe"" target=""_blank"">Gnosis Safe</a>",Gnosis Safe,Governance - Season 2,500000.0,0,0,0,0,0,|,|,|,1.0,0.0,NaN,NaN,NaN,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x6951c9f971fc7cf939ef9f3b6ce49494a08c53bd617700b5ea46a497c3693c4c"" target=""_blank"">Link</a>",500000,2023-02-14 11:50:30.086732+00:00
31,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Socket"" target=""_blank"">Socket</a>",Socket,Governance - Season 2,500000.0,0,0,27500,0,27500,|,|,|,1.0,0.055,0,NaN,0,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x066ab540856b7f00a42fbf5b96fbe627735b740bc009b356d69349afd023720f"" target=""_blank"">Link</a>",500000,2023-02-14 11:50:30.086732+00:00
32,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Paraswap"" target=""_blank"">Paraswap</a>",Paraswap,Governance - Season 1,0.0,0,0,0,0,0,|,|,|,,,,,,Not Launched,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-paraswap/2228"" target=""_blank"">Link</a>",450000,2023-02-14 11:50:30.086732+00:00
33,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Rainbow%20Wallet"" target=""_blank"">Rainbow Wallet</a>",Rainbow Wallet,Governance - Season 2,420069.0,0,0,0,0,0,|,|,|,1.0,0.0,NaN,NaN,NaN,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0x6cc31c08dd7b59a516934fbab9f5fd355d9c92d5a438cc9474df65b9f7edd545"" target=""_blank"">Link</a>",420069,2023-02-14 11:50:30.086732+00:00
34,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Overnight"" target=""_blank"">Overnight</a>",Overnight,Governance - Season 2,399999.99999999994,43959,22475,0,0,400013,|,|,|,0.9999999999999999,1.0000325,0.10989392844732546,1.9559065628476084,0.056185673965596115,Not Launched,"<a href=""https://snapshot.org/#/opcollective.eth/proposal/0xc8d4c55645e133bb66f480f4f1a17307f73aedd99b0d64f796f4749ce355d7a5"" target=""_blank"">Link</a>",400000,2023-02-14 11:50:30.086732+00:00
