month,name_mapped,transactions_per_month,transactions_per_day,costs_total_eth_per_month,costs_total_eth_per_day,fees_paid_eth_per_month,fees_paid_eth_per_day,profit_eth_per_month,profit_eth_per_day,gas_per_second,app_tvl_usd_latest,app_tvl_usd_average,total_assets_onchain_usd_latest,total_assets_onchain_usd_average,chain_id_mapped,layer,stage,purposes,raas,stack_name,da_layer,infra_label,is_ethereum_ecosystem
2023-04-01,MAP Protocol,,,,,,,,,,1488035.5482516515,1392869.6609808104,,,,,,,,,,,False
2023-08-01,Aevo,45923.0,1481.3870967741937,,,,,,,,,,6217427.41,5532668.512580645,,L2,NotApplicable,"['Universal', 'Exchange']",Conduit,OPStack,Celestia,,True
2023-12-01,Aevo,217197.0,7006.354838709677,,,,,,,,,,34158457.49,26980539.181935485,,L2,NotApplicable,"['Universal', 'Exchange']",Conduit,OPStack,Celestia,,True
2024-02-01,Aevo,703641.0,24263.48275862069,,,,,,,,,,84078914.62,58689913.27931035,,L2,NotApplicable,"['Universal', 'Exchange']",Conduit,OPStack,Celestia,,True
2024-07-01,Karak,11012.0,355.2258064516129,,,,,,,,,,70034735.13,74571737.45516129,,L2,NotApplicable,['Universal'],Caldera,OPStack,Celestia,,True
2024-03-01,Orderly Network,346392.0,11173.935483870968,,,,,,,,,,8487649.290000001,7407672.681935483,,L2,NotApplicable,"['Universal', 'Exchange']",Conduit,OPStack,Celestia,Superchain,True
2023-11-01,tanX,827527.0,27584.233333333334,,,,,,,,,,486991.3,672785.8846666666,,L2,NotApplicable,['Exchange'],,StarkEx,DAC,SHARP,True
2023-12-01,tanX,511704.0,16506.58064516129,,,,,,,,,,556755.46,542612.1570967742,,L2,NotApplicable,['Exchange'],,StarkEx,DAC,SHARP,True
2024-01-01,tanX,1102936.0,35578.58064516129,,,,,,,,,,823291.58,698182.1532258063,,L2,NotApplicable,['Exchange'],,StarkEx,DAC,SHARP,True
2024-04-01,Public Goods Network,14368.0,478.93333333333334,,,,,,,,,,1141848.53,1165243.9376666665,,L2,NotApplicable,['Universal'],Conduit,OPStack,Celestia,Superchain,True
2024-07-01,Public Goods Network,4238.0,136.70967741935485,,,,,,,,,,863132.11,864904.5616129034,,L2,NotApplicable,['Universal'],Conduit,OPStack,Celestia,Superchain,True
2024-05-01,PlayBlock,25691700.0,828764.5161290322,,,,,,,,,,0.0,0.0,,L3,NotApplicable,"['Universal', 'Gaming']",Gelato,Orbit,DAC,,True
2021-07-01,Moonbeam,,,,,,,,,,412624.96631914395,397613.10088064166,,,1284.0,,,,,,,,False
2021-08-01,Moonbeam,,,,,,,,,,599286.9353989668,462251.01569949527,,,1284.0,,,,,,,,False
2022-11-01,Moonbeam,,,,,,,,,,66211655.64271803,70787868.21154864,,,1284.0,,,,,,,,False
2023-01-01,Moonbeam,,,,,,,,,,94542534.62110092,81922778.16148351,,,1284.0,,,,,,,,False
2023-03-01,Moonbeam,,,,,,,,,,48179261.881124936,60147485.084884614,,,1284.0,,,,,,,,False
2023-12-01,Moonbeam,,,,,,,,,,51554448.8362811,48108002.47979493,,,1284.0,,,,,,,,False
2024-07-01,Moonbeam,,,,,,,,,,37703524.01873023,38199111.26868291,,,1284.0,,,,,,,,False
2023-01-01,Palm,,,,,,,,,,522.3291831405014,505.40542382521346,,,11297108109.0,,,,,,,,False
2023-06-01,Palm,,,,,,,,,,741.0325992993813,716.715358998365,,,11297108109.0,,,,,,,,False
2023-11-01,Palm,,,,,,,,,,529.8783263803995,521.4355926656109,,,11297108109.0,,,,,,,,False
2024-02-01,Palm,,,,,,,,,,547.2606236583438,538.5931924587985,,,11297108109.0,,,,,,,,False
2024-08-01,Palm,,,,,,,,,,533.1326234662669,534.2755392083151,,,11297108109.0,,,,,,,,False
2024-09-01,Palm,,,,,,,,,,534.1969428363898,532.5489367296743,,,11297108109.0,,,,,,,,False
2023-10-01,SKALE Europa,,,,,,,,,,479365.86401321273,528758.3114555387,,,,,,,,,,,False
2024-01-01,SKALE Europa,,,,,,,,,,322143.2129441709,368198.94739565294,,,,,,,,,,,False
2024-03-01,SKALE Europa,,,,,,,,,,180617.67771301378,242103.46773348787,,,,,,,,,,,False
2024-04-01,SKALE Europa,,,,,,,,,,184536.82898715447,182349.8534321506,,,,,,,,,,,False
2021-08-01,OKTChain,,,,,,,,,,14066081.978622643,19570772.057086736,,,66.0,,,,,,,,False
2021-09-01,OKTChain,,,,,,,,,,489108490.43348646,342230011.7764892,,,66.0,,,,,,,,False
2021-10-01,OKTChain,,,,,,,,,,387124992.7704373,441302306.0502521,,,66.0,,,,,,,,False
