name_mapped,chain_id_mapped,layer,stage,purposes,raas,stack_name,da_layer,infra_label,is_defillama,is_growthepie,is_l2beat,is_ethereum_ecosystem
Base,8453.0,L2,Stage 0,['Universal'],Self-hosted,OPStack,EthereumBlobs,Superchain,True,True,True,True
Linea,59144.0,L2,Stage 0,['Universal'],Self-hosted,,EthereumBlobs,,True,True,True,True
Starknet,,L2,Stage 0,['Universal'],Self-hosted,,EthereumBlobs,SHARP,True,True,True,True
World Chain,480.0,L2,Stage 0,"['Universal', 'Identity']",Alchemy,OPStack,EthereumBlobs,Superchain,True,True,True,True
Loopring,,L2,Stage 0,"['NFT', 'Exchange']",Self-hosted,,EthereumCalldata,,False,True,True,True
rhino.fi,,L2,NotApplicable,['Exchange'],Self-hosted,StarkEx,DAC,SHARP,False,True,True,True
RSS3 Value Sublayer,,L2,NotApplicable,"['Universal', 'AI', 'Information']",,OPStack,NearDA,,False,False,True,True
Term Structure,,L2,Stage 0,"['Payments', 'Exchange', 'Lending']",,,EthereumCalldata,,False,False,True,True
Optopia,,L2,Stage 0,"['Universal', 'AI']",,OPStack,EthereumBlobs,,False,False,True,True
River,,L2,Stage 0,['Universal'],Caldera,OPStack,EthereumBlobs,Superchain,False,False,True,True
Donatuz,,L3,NotApplicable,['Social'],Conduit,OPStack,EigenDA,Superchain,False,False,True,True
Nal,,L2,UnderReview,['Universal'],,,,,False,False,True,True
Fuel v1,,L2,Stage 2,['Payments'],,,EthereumCalldata,,False,False,True,True
Muster,,L3,NotApplicable,['Gaming'],,,,,False,False,True,True
Moonbeam,1284.0,,,,,,,,True,False,False,False
Palm,11297108109.0,,,,,,,,True,False,False,False
SKALE Europa,,,,,,,,,True,False,False,False
OKTChain,66.0,,,,,,,,True,False,False,False
Filecoin,,,,,,,,,True,False,False,False
Canto,,,,,,,,,True,False,False,False
Astar,592.0,,,,,,,,True,False,False,False
Secret,,,,,,,,,True,False,False,False
Sifchain,,,,,,,,,True,False,False,False
Hoo,70.0,,,,,,,,True,False,False,False
Sui,,,,,,,,,True,False,False,False
Waves,,,,,,,,,True,False,False,False
Sora,,,,,,,,,True,False,False,False
Juno,,,,,,,,,True,False,False,False
Ubiq,8.0,,,,,,,,True,False,False,False
Echelon,,,,,,,,,True,False,False,False
Nahmii,5551.0,,,,,,,,True,False,False,False
Theta,361.0,,,,,,,,True,False,False,False
Bahamut,,,,,,,,,True,False,False,False
Sei,,,,,,,,,True,False,False,False
Milkomeda A1,2002.0,,,,,,,,True,False,False,False
Obyte,,,,,,,,,True,False,False,False
Flow,747.0,,,,,,,,True,False,False,False
Vision,,,,,,,,,True,False,False,False
FunctionX,,,,,,,,,True,False,False,False
Kekchain,420420.0,,,,,,,,True,False,False,False
TON,,,,,,,,,True,False,False,False
Zeniq,,,,,,,,,True,False,False,False
Stargaze,,,,,,,,,True,False,False,False
Libre,,,,,,,,,True,False,False,False
Hyperliquid,,,,,,,,,True,False,False,False
XPLA,,,,,,,,,True,False,False,False
Onus,,,,,,,,,True,False,False,False
Chihuahua,,,,,,,,,True,False,False,False
Tenet,,,,,,,,,True,False,False,False
Aura Network,,,,,,,,,True,False,False,False
MVC,,,,,,,,,True,False,False,False
Beam,4337.0,,,,,,,,True,False,False,False
RENEC,,,,,,,,,True,False,False,False
Newton,,,,,,,,,True,False,False,False
JBC,,,,,,,,,True,False,False,False
CMP,256256.0,,,,,,,,True,False,False,False
Bitrock,7171.0,,,,,,,,True,False,False,False
LaChain Network,274.0,,,,,,,,True,False,False,False
Polkadex,,,,,,,,,True,False,False,False
Lukso,42.0,,,,,,,,True,False,False,False
Cronos zkEVM,388.0,L2,NotApplicable,['Universal'],,ZKStack,CustomDA,ElasticChain,True,False,True,True
Xai,,L3,NotApplicable,"['Universal', 'Gaming']",,Orbit,DAC,,True,False,True,True
Gravity,1625.0,L2,NotApplicable,['Universal'],Conduit,Orbit,DAC,,True,True,True,True
Derive,957.0,L2,NotApplicable,"['Universal', 'Exchange']",Conduit,OPStack,Celestia,Superchain,False,True,True,True
All L2s,,-,,,,,,,False,True,False,True
Multiple L2s,,all-L2s,,,,,,,False,True,False,True
ApeX,,L2,NotApplicable,['Exchange'],,StarkEx,DAC,SHARP,False,False,True,True
Reya,,L2,NotApplicable,['Universal'],Gelato,Orbit,DAC,,False,False,True,True
