alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,avg_secs_between_l1_txs_inbox,avg_secs_between_l1_txs_output,calldata_bytes_l1_inbox,chain_id,chain_version,data_availability_data_source,data_availability_layer,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,output_root_data_source,output_root_layer,share_elapsed,last_updated
OP Stack fork,,,,1.0044940958750808,,6646.153846153846,,969,modern,,,2024-07-30 00:00:00.000 UTC,,,,,,0.001216955646587715,,0.001216955646587715,1211511,,1211511.0,,,4.01699272126168,,4.01699272126168,EthXY,,13,,13.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.012582610925926,,43200.0,,8853,modern,,,2024-06-14 00:00:00.000 UTC,,,,,,0.00017584914654384,,0.00017584914654384,173664,,173664.0,,,0.606746495747981,,0.606746495747981,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0058441661090456,,3600.0,,969,modern,,,2024-07-05 00:00:00.000 UTC,,,,,,0.0022493652852929942,,0.0022493652852929942,2236296,,2236296.0,,,6.650609733755581,,6.650609733755581,EthXY,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.131244691,,43200.0,,8853,modern,,,2024-05-03 00:00:00.000 UTC,,,,,,0.000196470052954116,,0.000196470052954116,173676,,173676.0,,,0.5959534046630002,,0.5959534046630002,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.51608659987892,1.0054933810692364,1.0055274831882037,1252.1739130434783,7200.0,2829.0,4653,modern,base,celestia,2024-09-23 00:00:00.000 UTC,,,,4.125342191383201e-05,0.10938299406527249,0.002546270565224964,0.0014982132916078316,0.001048057273617132,2532324,1490028.0,1042296.0,0.001456959869694,3.863129595192469,6.7487396020686,3.9725125892577418,2.776227012810858,Gold,69.0,81,69.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.48900904525679,1.0050219068850401,1.0049280872525912,1763.265306122449,7200.0,2009.0,4653,modern,base,celestia,2024-06-30 00:00:00.000 UTC,,,,2.9290353736964002e-05,0.0994479737726747,0.002110576888706768,0.001063457900638964,0.001047118988067804,2100128,1058144.0,1041984.0,0.0010341675469020004,3.511259685096625,7.162710224329478,3.6107076588692992,3.5520025654601786,Gold,49.0,61,49.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,1.9184404707696288,1.0048228455422377,1.0044919889944681,1016.4705882352941,7200.0,123391.0,4653,modern,base,celestia,2024-09-16 00:00:00.000 UTC,,,,0.0019728773980686237,4.527001562347849,0.0048131866359283374,0.0037661845459596235,0.001047002089968714,4790428,3748108.0,1042320.0,0.0017933071478910005,4.112822094353619,11.043121118291273,8.639823656701465,2.4032974615898084,Gold,85.0,97,85.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.47004868471346,1.0040809549077414,1.0040781672655368,1183.5616438356165,7200.0,2993.0,4653,modern,base,celestia,2024-09-10 00:00:00.000 UTC,,,,4.3577146649563986e-05,0.10259587507858983,0.0026293798747447634,0.0015828332173165635,0.0010465466574282,2618696,1576400.0,1042296.0,0.0015392560706670006,3.6239455041860253,6.189375498600432,3.726541379264616,2.4628341193358163,Gold,73.0,85,73.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.506397866670035,1.003814863193532,1.0036891642719956,1800.0,7200.0,1968.0,4653,modern,base,celestia,2024-06-10 00:00:00.000 UTC,,,,2.8608701326096e-05,0.10533422505692779,0.002086330332924772,0.001040454105700096,0.0010458762272246762,2078532,1036500.0,1042032.0,0.0010118454043739997,3.725517879042612,7.681311821686505,3.8308521040995402,3.850459717586964,Gold,48.0,60,48.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.5049986925870424,1.0257533360568643,1.0406714415,1489.655172413793,43200.0,31791.0,42026,modern,base,eigenda base,2024-08-05 00:00:00.000 UTC,,,,0.000516847247790692,1.2263223022341645,0.0019470007346836455,0.0017662610814096916,0.000180739653273954,1895592,1721916.0,173676.0,0.0012494138336190002,2.9636562368974455,4.61131362147138,4.189978539131609,0.42133508233977157,Donatuz,58.0,60,58.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.3587359057636856,1.0128674427398414,1.0125583347901408,1489.655172413793,43200.0,33204.0,42026,modern,base,eigenda base,2024-07-29 00:00:00.000 UTC,,,,0.000532650233940384,1.7785968569493549,0.0019421844566284141,0.0017663152245753842,0.00017586923205303,1917564,1743876.0,173688.0,0.0012336649906349998,4.119657854657169,6.481848534049654,5.898254711606525,0.5835938224431282,Donatuz,58.0,60,58.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,37.36176315382486,1.029016873336683,1.029758642870988,1800.0,7200.0,1968.0,4653,modern,base,celestia,2024-06-27 00:00:00.000 UTC,,,,2.9373062339392e-05,0.10034168075848354,0.0021396297688603904,0.0010666253820233922,0.0010730043868369982,2078544,1036548.0,1041996.0,0.001037252319684,3.543398584100638,7.306973085119115,3.643740264859124,3.66323282025999,Gold,48.0,60,48.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,1.7769486304705258,1.0021650861541438,1.0037030199102723,1200.0,7200.0,122833.0,4653,modern,base,celestia,2024-08-03 00:00:00.000 UTC,,,,0.0019575398108909,5.699898478559269,0.00452116285761743,0.0034751517480119,0.0010460111096055298,4509796,3467644.0,1042152.0,0.0015176119371209996,4.493100809776011,13.29503325473487,10.192999288335281,3.1020339663995884,Gold,72.0,84,72.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.364201433776884,1.0023864348084652,1.0023302925352868,1763.265306122449,7200.0,2009.0,4653,modern,base,celestia,2024-06-23 00:00:00.000 UTC,,,,2.9237618253404003e-05,0.10206607640184753,0.002105093348521982,0.001060693248948404,0.0010444000995735781,2100140,1058168.0,1041972.0,0.0010314556306949998,3.6007087997858633,7.351834187759705,3.70277487618771,3.6490593115719943,Gold,49.0,61,49.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.449015214168765,1.001826058526035,1.0020115431581111,1489.655172413793,43200.0,31460.0,42026,modern,base,eigenda base,2024-08-18 00:00:00.000 UTC,,,,0.0004995185832022599,1.3197753461403665,0.0018937800075823055,0.0017197426266742596,0.000174037380908046,1890296,1716608.0,173688.0,0.0012202240434719999,3.2239333005459483,5.003600707563365,4.543708646686315,0.45989206087704965,Donatuz,58.0,60,58.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.4777637706776945,1.0103690071643467,,5400.0,,8689.0,42026,modern,base,eigenda base,2024-06-25 00:00:00.000 UTC,,,,0.00013901020539192,0.47281997082698696,0.00047849459588892,0.00047849459588892,,473584,473584.0,,0.000339484390497,1.1547008850546097,1.6275208558815966,1.6275208558815966,,Donatuz,16.0,16,16.0,,,,,2024-10-07 02:35:37.299792
