active_secs_per_day,avg_blob_gas_price_on_l2,avg_l1_fee_scalar,avg_l1_gas_price_on_l2,avg_l2_gas_price,base_fee_gwei,blockchain,calldata_bytes_l2_per_day,calldata_bytes_user_txs_l2_per_day,calldata_gas_l2_per_day,calldata_gas_user_txs_l2_per_day,chain_id,compressedtxsize_approx_l2_per_day,compressedtxsize_approx_user_txs_l2_per_day,dt,equivalent_l1_tx_fee,l1_contrib_l2_eth_fees_per_day,l1_contrib_l2_usd_fees_per_day,l1_gas_used_on_l2,l1_gas_used_user_txs_l2_per_day,l2_contrib_l2_eth_fees_per_day,l2_contrib_l2_usd_fees_per_day,l2_data_source,l2_gas_eth_fees_base_fee,l2_gas_eth_fees_priority_fee,l2_gas_usd_fees_base_fee,l2_gas_usd_fees_priority_fee,l2_gas_used,l2_gas_used_user_txs_per_day,l2_num_attr_deposit_txs_per_day,l2_num_success_txs_per_day,l2_num_txs_per_day,l2_num_user_deposit_txs_per_day,median_l2_eth_fees_per_tx,num_blocks,num_users_per_day,last_updated
86049,,,,0.014999999999999996,,optimism_legacy_ovm1,6915978,6385278,45105444,41705820,10,6730042.25,6431409.75,2021-09-21 00:00:00.000 UTC,,69.59579360292003,,,,,,dune,,,,,,,0,55137,57658,1258,0.0009751222663430921,58925,3986,2024-07-23 19:02:08.958684
86310,,,,0.015000000000000005,,optimism_legacy_ovm1,2506261,2418449,16198852,15628976,10,2544876.25,2478727.0,2021-08-06 00:00:00.000 UTC,,12.402270474735001,,,,,,dune,,,,,,,0,21234,22619,188,0.00048809139733373754,23068,1237,2024-07-23 19:02:08.958684
86251,,,,0.015000000000000003,,optimism_legacy_ovm1,5205761,4933397,34377644,32622824,10,4528466.75,4374522.5,2021-10-07 00:00:00.000 UTC,,46.60150372746003,,,,,,dune,,,,,,,0,34795,36822,651,0.0012137170456824969,37473,4179,2024-07-23 19:02:08.958684
86356,,,,0.015000000000000008,,optimism_legacy_ovm1,2357624,2280920,14668316,14163932,10,2473561.75,2428981.75,2021-09-02 00:00:00.000 UTC,,29.789067701610016,,,,,,dune,,,,,,,0,22624,24373,172,0.0011063762572697698,24565,2049,2024-07-23 19:02:08.958684
85998,,,,0.015000000000000001,,optimism_legacy_ovm1,3087204,2958032,20554908,19709636,10,2757561.75,2683720.25,2021-11-08 00:00:00.000 UTC,,25.893394667880013,,,,,,dune,,,,,,,0,20595,22108,309,0.0011112406906099808,22417,2378,2024-07-23 19:02:08.958684
86272,,,,0.014999999999999998,,optimism_legacy_ovm1,5519500,5106944,37092304,34414976,10,4335965.0,4102604.0,2021-10-20 00:00:00.000 UTC,,21.598668082365002,,,,,,dune,,,,,,,0,28977,30567,971,0.0005984853055971512,31538,4632,2024-07-23 19:02:08.958684
86174,,,,,,optimism_legacy_ovm1,153900,0,890736,0,10,208195.0,0.0,2021-07-05 00:00:00.000 UTC,,0.0,,,,,,dune,,,,,,,0,0,0,41,,2243,0,2024-07-23 19:02:08.958684
85993,,,,0.015000000000000006,,optimism_legacy_ovm1,2339844,2249248,14683248,14087368,10,2425739.0,2355788.5,2021-07-31 00:00:00.000 UTC,,8.79061731722999,,,,,,dune,,,,,,,0,21358,22137,197,0.000282399607102971,22618,1070,2024-07-23 19:02:08.958684
85997,,,,0.014999999999999996,,optimism_legacy_ovm1,3558656,3420344,23646620,22768940,10,3576393.75,3503450.75,2021-11-03 00:00:00.000 UTC,,47.70233952613501,,,,,,dune,,,,,,,0,29791,31314,266,0.0015760229372482255,31580,2965,2024-07-23 19:02:08.958684
86214,,,,0.014999999999999993,,optimism_legacy_ovm1,2281886,2013946,15168152,13433980,10,1412993.5,1260475.75,2021-07-18 00:00:00.000 UTC,,1.9536487619700003,,,,,,dune,,,,,,,0,6858,6966,649,0.0002508546856487638,7615,1605,2024-07-23 19:02:08.958684
86324,,,,0.01499999999999999,,optimism_legacy_ovm1,6874963,6481175,44994796,42468920,10,6707554.75,6486107.5,2021-09-20 00:00:00.000 UTC,,56.98371819367496,,,,,,dune,,,,,,,0,55676,58406,931,0.0008379097788853996,59341,5081,2024-07-23 19:02:08.958684
85864,,,,0.015,,optimism_legacy_ovm1,2270484,1845480,14784288,12014064,10,1480870.0,1237895.0,2021-07-14 00:00:00.000 UTC,,3.6121418193899992,,,,,,dune,,,,,,,0,7095,7202,1027,0.00046943990307678343,8229,1977,2024-07-23 19:02:08.958684
86348,,,,0.015000000000000008,,optimism_legacy_ovm1,15556827,13030311,108090144,91836792,10,11592066.0,10162995.5,2021-10-02 00:00:00.000 UTC,,34.31493116259001,,,,,,dune,,,,,,,0,69947,72135,6018,0.00042117160216297885,78212,11960,2024-07-23 19:02:08.958684
86275,,,,0.015000000000000003,,optimism_legacy_ovm1,4852513,4562681,31174552,29305352,10,4671197.5,4458492.5,2021-08-19 00:00:00.000 UTC,,19.42549967092497,,,,,,dune,,,,,,,0,35419,39634,623,0.0003824099117047879,41044,2047,2024-07-23 19:02:08.958684
86164,,,,0.014999999999999996,,optimism_legacy_ovm1,2521799,2465463,17800028,17429268,10,2437753.75,2406149.25,2021-10-30 00:00:00.000 UTC,,33.09429737346,,,,,,dune,,,,,,,0,18574,20157,124,0.001614716002184429,20281,1647,2024-07-23 19:02:08.958684
86108,,,,0.015000000000000001,,optimism_legacy_ovm1,2893864,2822152,18169864,17704936,10,3077288.5,3024294.5,2021-08-24 00:00:00.000 UTC,,26.99429875190997,,,,,,dune,,,,,,,0,26354,29197,155,0.0008475272673909641,29549,1510,2024-07-23 19:02:08.958684
86360,,,,0.014999999999999986,,optimism_legacy_ovm1,13115763,11387035,86813112,75684484,10,9667659.5,8692096.25,2021-09-15 00:00:00.000 UTC,,48.94135269487501,,,,,,dune,,,,,,,0,60350,62553,4114,0.0006761640019146615,66671,8596,2024-07-23 19:02:08.958684
86028,,,,0.015000000000000003,,optimism_legacy_ovm1,4307067,3970619,30404652,28249544,10,4013050.75,3806548.5,2021-08-21 00:00:00.000 UTC,,12.498672943289995,,,,,,dune,,,,,,,0,28041,30688,781,0.0003517299111712306,31744,1902,2024-07-23 19:02:08.958684
86073,,,,0.014999999999999993,,optimism_legacy_ovm1,2110612,2043808,13001692,12568600,10,2338321.75,2283169.5,2021-08-02 00:00:00.000 UTC,,9.72315815701502,,,,,,dune,,,,,,,0,21469,22318,139,0.00033440970287695193,22731,776,2024-07-23 19:02:08.958684
