avg_l1_fee_scalar,num_raw_txs,num_blocks,l2_num_txs_per_day,l2_gas_used,l1_gas_paid,dt,base_fee_gwei,compressedtxsize_approx_user_txs_l2_per_day,l2_eth_fees_per_day,avg_l1_gas_price_on_l2,num_users_per_day,l2_gas_used_user_txs_per_day,num_user_txs_per_second,active_secs_per_day,l2_num_attr_deposit_txs_per_day,l1_gas_used_user_txs_l2_per_day,l2_gas_used_per_block,l2_gas_eth_fees_priority_fee,chain_type,l2_num_user_deposit_txs_per_day,l1_gas_paid_user_txs,calldata_gas_user_txs_l2_per_day,avg_l2_gas_price,calldata_bytes_user_txs_l2_per_day,is_initial_day,l1_contrib_l2_eth_fees_per_day,calldata_bytes_l2_per_day,compressedtxsize_approx_l2_per_day,l2_gas_eth_fees_base_fee,l2_gas_used_per_second,equivalent_l1_tx_fee,l2_contrib_l2_eth_fees_per_day,calldata_gas_l2_per_day,l1_gas_used_on_l2,l2_eth_fees_per_second,l2_eth_fees_per_block,chain,l2_num_txs_per_day_per_block
0.684000015,"138,527","43,200","91,790","14,453,691,520","212,106,659.16",2023-09-03,0.000000050019768096,"14,237,715",5.43,11.95,"29,195","12,151,418,193",1.06,"86,400","43,200","310,097,448","334,576.19",2.89,mainnet,16,"212,106,659.16","127,935,920",0.23821380174181803,"17,450,168",0,2.54,"28,696,800","22,621,453.75",0.000000722968733077,"167,288.1","144,737,972,219.94",2.89,"211,225,884","310,097,448",0.000063,0.00013,zora,2.12
0.684000015,"130,765","43,200","84,083","14,143,539,621","209,898,523.8",2023-09-05,0.000000050052,"14,296,738.25",7.96,17.33,"39,714","11,858,114,438",0.9731828703703703,"86,400","43,200","306,869,180","327,396.75",4.32,mainnet,11,"209,898,523.8","137,265,508",0.364631054,"18,371,362",0,3.64,"29,614,734","22,674,698.75",0.0000007079,"163,698.38","203,936,192,689.49",4.32,"220,522,860","306,869,180",0.000092142987196058,0.00018,zora,1.95
0.684000015,"54,321","43,200","6,421","3,055,599,797","16,487,114.48",2023-06-26,0.00000005,"1,108,292.75",1.39,13.91,"5,827","782,955,009",0.074,"86,400","43,200","24,103,968","70,731.48",1.16,mainnet,0,"16,487,114.48","10,746,636",1.48,"1,441,620",0,0.22925546563023,"12,673,620","9,559,598.25",0.00000015,"35,365.74","11,062,615,449.5",1.16,"93,852,324","24,103,968",0.00001606601146413207,0.000032132023,zora,0.15
0.684000015,"43,211","43,200",8,"2,182,617,917","378,760.9",2023-06-19,0.00000005,"34,157.75",0.021062,20.66,3,"8,823,981",0.000093,"86,400","43,200","553,744","50,523.56",0.01323586281024,mainnet,0,"378,760.9","537,820",1.5,"36,520",0,0.0078264075,"11,268,520","8,167,289",0.00000010913096,"25,261.78","179,918,472.05",0.01323597194119905,"83,663,056","553,744",0.00000024377754025,0.00000048755508050305,zora,0.00019
0,"139,032","43,200","95,600","16,163,883,560",0,2024-03-19,0.000000252022,"19,541,507.75",0.421081269939041,40.14,"34,064","14,206,191,776",1.11,"86,400","43,200","382,912,164","374,163.97",0.11364941403269012,mainnet,2,0,"208,651,324",0.008000278292050307,"29,942,809",0,0.30742778226082,"37,028,456","26,718,764",0.000004074,"187,081.99","568,180,195,881.67",0.11,"276,233,408","382,912,164",0.0000048736258095,0.0000097,zora,2.21
0.684000015,"67,961","43,200","15,981","5,924,207,840","49,085,849.32",2023-07-27,0.0000000500022,"3,519,259.25",3.62,26.82,"12,906","3,334,051,511",0.18,"86,400","43,200","71,762,936","137,134.44",2.31,mainnet,11,"49,085,849.32","38,920,820",0.69,"5,738,378",0,1.32,"18,968,414","14,092,575",0.00000029622088,"68,567.22","90,071,456,804.82",2.31,"151,539,632","71,762,936",0.00004195047,0.00008390094314587071,zora,0.36993056
0.684000015,"104,250","43,200","58,917","13,320,535,830","131,075,325.12",2023-10-21,0.0000000500083,"8,640,203.25",2.84,8.28,"20,873","11,093,818,933",0.6819097,"86,400","43,200","191,630,588","308,345.74",1.76,mainnet,4,"131,075,325.12","74,141,556",0.16,"9,793,539",0,1.08,"21,028,342","16,920,131.5",0.000000666130491905,"154,172.87","92,365,841,147.9",1.76,"157,298,104","191,630,588",0.0000328957298127086,0.000066,zora,1.36
0.684000015,"51,947","43,200","6,058","2,992,289,755","13,918,144.49",2023-07-04,0.00000005,"896,397",1.41,19.93,"4,791","763,170,043",0.07011574074074074,"86,400","43,200","20,348,164","69,265.97",1.14,mainnet,0,"13,918,144.49","7,751,248",1.49,"1,131,979",0,0.2773276082098,"12,363,979","9,211,987.25",0.00000015,"34,632.98","15,240,247,848.35",1.14,"90,873,460","20,348,164",0.000016358871,0.000033,zora,0.14023
0.684000015,"77,333","43,200","33,963","5,920,405,475","81,563,258.97",2023-12-20,0.00000005000017790905,"5,431,560.75",5.82,55.26,"12,474","3,752,900,641",0.39309028,"86,400","43,200","119,244,528","137,046.42",1.31,mainnet,5,"81,563,258.97","49,953,228",0.34981583667099,"6,926,853",0,4.51,"18,160,953","13,577,044.75",0.000000296021082,"68,523.21","207,967,028,648.14",1.31,"133,094,412","119,244,528",0.000067,0.00013,zora,0.78618056
0.684000015,"86,392","43,200","42,804","9,151,739,410","113,434,942.83",2024-01-12,0.000000052543038,"7,877,910.5",4,23.47,"18,932","6,974,511,576",0.5,"86,400","43,200","165,840,556","211,845.82",1.34,mainnet,3,"113,434,942.83","79,475,816",0.19146867229019,"10,692,191",0,2.66,"21,925,451","16,037,787.25",0.00000048081759045,"105,922.91","162,901,385,467.43",1.34,"162,610,100","165,840,556",0.00004626974688857024,0.00009253949377714049,zora,0.99083
