dt,dune_schema,has_eth_tfer,has_eth_tfer_desc,has_event_log,has_event_log_desc,has_rev_dev,has_rev_dev_desc,is_contract_tx,is_contract_tx_desc,num_raw_transactions,sum_gas_used,tx_success,tx_success_desc,last_updated
2023-11-24 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,True,contract tx,717,88233214,False,failed,2024-05-16 00:33:20.268740+00:00
2024-05-02 00:00:00.000 UTC,base,True,eth tfer,False,no events,False,not revdev,True,contract tx,944,31349256,False,failed,2024-05-16 00:33:20.268740+00:00
2023-08-06 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,True,contract tx,369,21711733,False,failed,2024-05-16 00:33:20.268740+00:00
2023-10-09 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,276,76368106,True,success,2024-05-16 00:33:20.268740+00:00
2024-02-23 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,True,contract tx,267,25069247,False,failed,2024-05-16 00:33:20.268740+00:00
2023-12-11 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,False,not revdev,True,contract tx,185,4701268,True,success,2024-05-16 00:33:20.268740+00:00
2024-05-09 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,1,21000,False,failed,2024-05-16 00:33:20.268740+00:00
2024-02-21 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,True,contract tx,16,3370010,False,failed,2024-05-16 00:33:20.268740+00:00
2023-09-20 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,4,84000,True,success,2024-05-16 00:33:20.268740+00:00
2024-03-30 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,6,126000,True,success,2024-05-16 00:33:20.268740+00:00
