block_time,block_number,chain_name,vault_name,vault_address,alltime_revenue_native
2023-09-07 02:06:33,109226809,op mainnet,L1FeeVault,0x420000000000000000000000000000000000001A,3740.7905428277513
2023-09-07 02:06:39,3631512,base,SequencerFeeVault,0x4200000000000000000000000000000000000011,1648.7364793580696
2023-09-07 02:06:39,3631512,base,BaseFeeVault,0x4200000000000000000000000000000000000019,353.673772551505
2023-09-07 02:06:39,3631512,base,L1FeeVault,0x420000000000000000000000000000000000001A,1097.6477307921996
2023-09-07 02:06:43,3679282,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,166.61379802469042
2023-09-07 02:06:43,3679282,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0707967593627e-05
2023-09-07 02:06:43,3679282,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,134.2857947929571
2023-09-07 02:06:47,2472840,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.997745918482912
2023-09-07 02:06:47,2472840,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.7676955035e-07
2023-09-07 02:06:47,2472840,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.838616256409556
2023-09-07 02:06:52,2298689,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,111.90181612588052
2023-09-07 02:06:52,2298689,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.225144712389e-06
2023-09-07 02:06:52,2298689,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.28585369622696
2023-09-07 02:59:57,109228410,op mainnet,SequencerFeeVault,0x4200000000000000000000000000000000000011,1186.9103840668115
2023-09-07 02:59:57,109228410,op mainnet,BaseFeeVault,0x4200000000000000000000000000000000000019,243.30583703045212
2023-09-07 02:59:57,109228410,op mainnet,L1FeeVault,0x420000000000000000000000000000000000001A,3741.2547286466142
2023-09-07 03:00:01,3633127,base,SequencerFeeVault,0x4200000000000000000000000000000000000011,1649.1372968125297
2023-09-07 03:00:01,3633127,base,BaseFeeVault,0x4200000000000000000000000000000000000019,353.82291618692886
2023-09-07 03:00:01,3633127,base,L1FeeVault,0x420000000000000000000000000000000000001A,1097.967283835647
2023-09-07 03:00:05,3680883,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,166.81702999214107
2023-09-07 03:00:05,3680883,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0727132189527e-05
2023-09-07 03:00:05,3680883,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,134.35393631354503
2023-09-07 03:00:09,2474441,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.998727141982911
2023-09-07 03:00:09,2474441,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.768022578e-07
2023-09-07 03:00:09,2474441,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.8386851416212786
2023-09-07 03:00:15,2301892,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,112.00402470727168
2023-09-07 03:00:15,2301892,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.226342896469e-06
2023-09-07 03:00:15,2301892,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.308594899028652
2023-09-07 03:59:51,109230207,op mainnet,SequencerFeeVault,0x4200000000000000000000000000000000000011,1187.2145362642252
2023-09-07 03:59:51,109230207,op mainnet,BaseFeeVault,0x4200000000000000000000000000000000000019,243.3058376239377
2023-09-07 03:59:51,109230207,op mainnet,L1FeeVault,0x420000000000000000000000000000000000001A,3741.816849076752
2023-09-07 03:59:55,3634924,base,SequencerFeeVault,0x4200000000000000000000000000000000000011,1649.5878310086034
2023-09-07 03:59:55,3634924,base,BaseFeeVault,0x4200000000000000000000000000000000000019,353.96469278309814
2023-09-07 03:59:55,3634924,base,L1FeeVault,0x420000000000000000000000000000000000001A,1098.3590766268376
2023-09-07 03:59:59,3682680,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,167.02018167825028
2023-09-07 03:59:59,3682680,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0750375841277e-05
2023-09-07 03:59:59,3682680,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,134.43833926845403
2023-09-07 04:00:03,2476239,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.999501066982912
2023-09-07 04:00:03,2476239,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.768280553e-07
2023-09-07 04:00:03,2476239,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.8388088454177915
2023-09-07 04:00:10,2305487,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,112.10340087936244
2023-09-07 04:00:10,2305487,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.227545774581e-06
2023-09-07 04:00:10,2305487,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.341806743367645
2023-09-07 04:59:57,109232010,op mainnet,SequencerFeeVault,0x4200000000000000000000000000000000000011,1187.414760565197
2023-09-07 04:59:57,109232010,op mainnet,BaseFeeVault,0x4200000000000000000000000000000000000019,243.3058378971844
2023-09-07 04:59:57,109232010,op mainnet,L1FeeVault,0x420000000000000000000000000000000000001A,3742.30675804167
2023-09-07 05:00:01,3636727,base,SequencerFeeVault,0x4200000000000000000000000000000000000011,1649.934301368197
2023-09-07 05:00:01,3636727,base,BaseFeeVault,0x4200000000000000000000000000000000000019,354.1027044775733
2023-09-07 05:00:01,3636727,base,L1FeeVault,0x420000000000000000000000000000000000001A,1098.7136896346192
2023-09-07 05:00:05,3684483,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,167.22790829346016
2023-09-07 05:00:05,3684483,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0775441837327e-05
2023-09-07 05:00:05,3684483,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,134.52009301900685
2023-09-07 05:00:09,2478041,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.999501066982912
2023-09-07 05:00:09,2478041,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.768280553e-07
2023-09-07 05:00:09,2478041,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.8388088454177915
2023-09-07 05:00:16,2309093,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,112.15545685563838
2023-09-07 05:00:16,2309093,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.228659756693e-06
2023-09-07 05:00:16,2309093,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.3629077627034
2023-09-07 06:00:03,109233813,op mainnet,SequencerFeeVault,0x4200000000000000000000000000000000000011,1187.9465663851047
2023-09-07 06:00:03,109233813,op mainnet,BaseFeeVault,0x4200000000000000000000000000000000000019,243.3058383717089
2023-09-07 06:00:03,109233813,op mainnet,L1FeeVault,0x420000000000000000000000000000000000001A,3742.813300141319
2023-09-07 06:00:07,3638530,base,SequencerFeeVault,0x4200000000000000000000000000000000000011,1650.256342095259
2023-09-07 06:00:07,3638530,base,BaseFeeVault,0x4200000000000000000000000000000000000019,354.25183390419454
2023-09-07 06:00:07,3638530,base,L1FeeVault,0x420000000000000000000000000000000000001A,1099.074276911129
2023-09-07 06:00:11,3686286,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,167.49790853810327
2023-09-07 06:00:11,3686286,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0811814257077e-05
2023-09-07 06:00:11,3686286,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,134.63103694524852
2023-09-07 06:00:15,2479844,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.999653009482912
2023-09-07 06:00:15,2479844,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.7683312005e-07
2023-09-07 06:00:15,2479844,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.838835494582127
2023-09-07 06:00:21,2312698,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,112.27055283584296
2023-09-07 06:00:21,2312698,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.230600454837e-06
2023-09-07 06:00:21,2312698,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.43297739969985
2023-09-07 07:00:11,109235617,op mainnet,SequencerFeeVault,0x4200000000000000000000000000000000000011,1188.3152763324367
2023-09-07 07:00:11,109235617,op mainnet,BaseFeeVault,0x4200000000000000000000000000000000000019,243.30583886930825
2023-09-07 07:00:11,109235617,op mainnet,L1FeeVault,0x420000000000000000000000000000000000001A,3743.5201678941594
2023-09-07 07:00:17,3640335,base,SequencerFeeVault,0x4200000000000000000000000000000000000011,1650.6345314590674
2023-09-07 07:00:17,3640335,base,BaseFeeVault,0x4200000000000000000000000000000000000019,354.3970697083147
2023-09-07 07:00:17,3640335,base,L1FeeVault,0x420000000000000000000000000000000000001A,1099.528922352585
2023-09-07 07:00:21,3688091,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,167.81702198256818
2023-09-07 07:00:21,3688091,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0858021181618e-05
2023-09-07 07:00:21,3688091,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,134.76455760282786
2023-09-07 07:00:25,2481649,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.999670090229496
2023-09-07 07:00:25,2481649,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.768365362e-07
2023-09-07 07:00:25,2481649,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.8388552542059777
2023-09-07 07:00:30,2316307,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,112.32866034283494
2023-09-07 07:00:30,2316307,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.232618630693e-06
2023-09-07 07:00:30,2316307,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.48130413775917
