alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,calldata_bytes_l1_inbox,chain_id,data_availability_data_source,data_availability_layer,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,output_root_data_source,output_root_layer,secs_between_l1_txs_inbox,secs_between_l1_txs_output,share_elapsed,last_updated
OP Chain,,308.15249018220254,7.5868702822962995,7.4404219387811725,850.0,2702128,ethereum,altda,2024-07-10 00:00:00.000 UTC,,,,0.00010063032182854801,0.31240527138513163,0.021418097602234946,0.004083648103186548,0.017334449499048398,2868019,538252.0,2329767.0,0.003983017781358001,12.365188878894411,66.50076799911149,12.677594150279543,53.82317384883195,Xterio,25.0,50,25.0,25.0,ethereum,ethereum,3456.0,3456.0,,2024-08-28 21:25:31.559620
OP Chain,,178.06618013003322,4.393882025632896,,1156.0,33979,ethereum,altda,2024-08-15 00:00:00.000 UTC,,,,7.925648092892001e-05,0.20762985570915501,0.0032166028512129203,0.0032166028512129203,,732064,732064.0,,0.003137346370283999,8.218710625658812,8.42634048136797,8.42634048136797,,Funki,34.0,34,34.0,,,,2541.176470588235,,,2024-08-28 21:25:31.559620
OP Stack fork,1.0694444444444442e-09,Infinity,4.091710220583333,3.942111848583169,0.0,62050,ethereum,ethereum,2024-08-14 00:00:00.000 UTC,1.0092544e-11,9437184.0,2.721393147904e-08,0.0,0.0,0.015003482845023898,0.006186665863614544,0.008816816981409355,3748572,1512000.0,2236572.0,0.006186665853522001,16.63795897919242,40.37393126796739,16.63795900640635,23.735972261561045,Optopia,72.0,96,72.0,24.0,ethereum,ethereum,1200.0,3600.0,,2024-08-28 21:25:31.559620
OP Chain,,294.69971335017095,7.274880909559699,7.345443414531203,850.0,2702128,ethereum,altda,2024-06-09 00:00:00.000 UTC,,,,9.669181437807199e-05,0.35731560850026983,0.020344946744853855,0.003915981095045072,0.016428965649808783,2774908,538288.0,2236620.0,0.003819289280667,14.113832343365253,75.1851818793864,14.471147951865523,60.71403392752089,Xterio,25.0,49,25.0,24.0,ethereum,ethereum,3456.0,3600.0,,2024-08-28 21:25:31.559620
OP Stack fork,3.2678571428571455e-09,Infinity,10.752963517794642,2.698532732935224,0.0,81457,ethereum,ethereum,2024-07-07 00:00:00.000 UTC,2.878341120000006e-10,88080384.0,8.629901957529598e-07,0.0,0.0,0.031058436550480246,0.025290970481687106,0.005767466068793139,4489260,2352000.0,2137260.0,0.025290970193853,76.05663156196276,93.37700581301645,76.056632424953,17.320373388063455,Blast,672.0,136,112.0,24.0,ethereum,ethereum,771.4285714285714,3600.0,,2024-08-28 21:25:31.559620
OP Chain,,348.6978392498049,8.609867713018147,9.284665152289962,1156.0,7560,ethereum,eigenda,2024-07-16 00:00:00.000 UTC,,,,0.000155615309766472,0.5341568060564797,0.02620394950394075,0.006303077515875471,0.01990087198806528,2875489,732076.0,2143413.0,0.006147462206108998,21.10111854046092,90.08461192340717,21.635275346517403,68.44933657688976,Cyber,34.0,57,34.0,23.0,ethereum,ethereum,2541.176470588235,3756.521739130435,,2024-08-28 21:25:31.559620
OP Stack fork,,211.07059750042464,5.817052968554467,6.594876007490431,2911.0,2410,ethereum,celestia,2024-08-08 00:00:00.000 UTC,,,,0.00024578293236394397,0.6177734552043391,0.012440180754025247,0.008919031366353941,0.003521149387671306,2067178,1533256.0,533922.0,0.00867324843399,21.800708581360333,31.189076538209306,22.418482036564665,8.77059450164464,Karak,71.0,77,71.0,6.0,ethereum,ethereum,1216.9014084507041,14400.0,,2024-08-28 21:25:31.559620
OP Chain,,230.4112380310838,5.662825344395268,5.602685688250199,850.0,2702128,ethereum,altda,2024-08-07 00:00:00.000 UTC,,,,7.506451031417599e-05,0.18148657527363637,0.01557856663014778,0.0030478911594631762,0.012530675470684604,2774776,538228.0,2236548.0,0.0029728266491489998,7.1879216878850665,37.66318196252831,7.369408263158703,30.293773699369613,Xterio,25.0,49,25.0,24.0,ethereum,ethereum,3456.0,3600.0,,2024-08-28 21:25:31.559620
OP Stack fork,1.2025390624999983e-08,Infinity,11.214288924351564,9.830139222600048,0.0,48900,ethereum,ethereum,2024-07-18 00:00:00.000 UTC,8.07010303999997e-10,67108864.0,2.77583181381632e-06,0.0,0.0,0.4446225640978462,0.12057603532163835,0.3240465287762078,43716592,10752000.0,32964592.0,0.1205760345146279,413.25303006546073,1523.885587654911,413.2530328412924,1110.6325548136185,Zircuit,512.0,618,512.0,106.0,ethereum,ethereum,168.75,815.0943396226415,,2024-08-28 21:25:31.559620
OP Chain,2.333333333333333e-09,Infinity,6.209171931666667,3.2769224991627013,0.0,254,ethereum,ethereum,2024-06-23 00:00:00.000 UTC,3.670016e-12,1572864.0,1.279857262592e-08,0.0,0.0,0.001001924096913962,0.000391177835365016,0.000610746261548946,249378,63000.0,186378.0,0.000391177831695,1.3694019564449063,3.5044721552112317,1.3694019692434787,2.135070185967753,SwanChain,12.0,5,3.0,2.0,ethereum,ethereum,28800.0,43200.0,,2024-08-28 21:25:31.559620
