delta_total_op_delegated,dt,gini_coefficient,num_delegates_to_reach_10pct,num_delegates_to_reach_25pct,num_delegates_to_reach_33pct,num_delegates_to_reach_45pct,num_delegates_to_reach_51pct,num_delegates_to_reach_75pct,num_recognized_delegates,pct_delegated,pct_delegated_100,pct_diff_total_op_delegated,total_circ,total_op_delegated,last_updated
43188.0680796355,2024-06-08 00:00:00,0.40719503021014625,1,4,6,9,12,31,31,0.08469853552656936,8.469853552656936,0.00046936001647242785,1086889963.0,92057988.14462715,2024-07-10 00:29:11.225077
391713.54032084346,2024-06-07 00:00:00,0.4072019515546915,1,4,6,9,12,31,31,0.0846588000707736,8.465880007077361,0.004275271169411703,1086889963.0,92014800.07654752,2024-07-10 00:29:11.225077
130180.97089110315,2024-06-06 00:00:00,0.40673152263400814,1,4,6,9,12,31,31,0.08429840154502069,8.429840154502068,0.0014228531719122225,1086889963.0,91623086.53622667,2024-07-10 00:29:11.225077
-44654.4374127239,2024-06-05 00:00:00,0.404689717883417,1,4,6,9,12,31,31,0.08417862771756553,8.417862771756553,-0.00048782638964140195,1086889963.0,91492905.56533557,2024-07-10 00:29:11.225077
-13373.398868858814,2024-06-04 00:00:00,0.4096596347529423,1,4,6,9,12,31,32,0.08421971231576117,8.421971231576117,-0.00014607605157002787,1086889963.0,91537560.0027483,2024-07-10 00:29:11.225077
27282.307026162744,2024-06-03 00:00:00,0.4099859879214882,1,4,6,9,12,31,32,0.08423201659616131,8.423201659616131,0.0002980902389696636,1086889963.0,91550933.40161715,2024-07-10 00:29:11.225077
-78148.95106306672,2024-06-02 00:00:00,0.41025990169476767,1,4,6,9,12,31,32,0.08420691533664572,8.420691533664572,-0.0008531377224477851,1086889963.0,91523651.09459099,2024-07-10 00:29:11.225077
-15938.819491907954,2024-06-01 00:00:00,0.40980152757510147,1,4,6,9,12,31,32,0.08427881677443926,8.427881677443926,-0.0001739708891459178,1086889963.0,91601800.04565406,2024-07-10 00:29:11.225077
111341.02959191799,2024-05-31 00:00:00,0.409882684740109,1,4,6,9,12,31,32,0.08429348138634524,8.429348138634523,0.001216756775761283,1086889963.0,91617738.86514597,2024-07-10 00:29:11.225077
19202.703608736396,2024-05-30 00:00:00,0.4091754814284012,1,4,6,9,12,31,32,0.08419104136630438,8.41910413663044,0.0002098949867360316,1086889963.0,91506397.83555405,2024-07-10 00:29:11.225077
-22432.134139418602,2024-05-29 00:00:00,0.4089947299710197,1,4,6,9,12,31,32,0.08417337379712772,8.417337379712771,-0.0002451341439102593,1086889963.0,91487195.13194531,2024-07-10 00:29:11.225077
-783242.3059371114,2024-05-28 00:00:00,0.40915300567302515,1,4,6,9,12,31,32,0.08419401262433475,8.419401262433475,-0.008486487738100925,1086889963.0,91509627.26608473,2024-07-10 00:29:11.225077
89347.36432276666,2024-05-27 00:00:00,0.40887972330614053,1,4,6,10,12,31,32,0.0849146396727024,8.49146396727024,0.0009690233321184999,1086889963.0,92292869.57202184,2024-07-10 00:29:11.225077
-5169.491222396493,2024-05-26 00:00:00,0.40911363675507706,1,4,6,10,12,31,32,0.08483243506380514,8.483243506380514,-5.6062949458992906e-05,1086889963.0,92203522.20769908,2024-07-10 00:29:11.225077
46074.83098459244,2024-05-25 00:00:00,0.4091764917340588,1,4,6,10,12,31,32,0.08483719128697251,8.48371912869725,0.0004999297171717109,1086889963.0,92208691.69892147,2024-07-10 00:29:11.225077
35529.83214007318,2024-05-24 00:00:00,0.40864630059494056,1,4,6,10,12,31,32,0.08479479984666753,8.479479984666753,0.00038566108278521546,1086889963.0,92162616.86793688,2024-07-10 00:29:11.225077
24840.45353525877,2024-05-23 00:00:00,0.4081986164773398,1,4,6,10,12,31,32,0.08476211039939174,8.476211039939175,0.0002697051858889501,1086889963.0,92127087.0357968,2024-07-10 00:29:11.225077
1842125.7440838516,2024-05-22 00:00:00,0.40797831753534575,1,4,6,10,12,31,32,0.08473925578265878,8.473925578265879,0.02040907686559046,1086889963.0,92102246.58226155,2024-07-10 00:29:11.225077
144983.01819229126,2024-05-21 00:00:00,0.4082092774868553,1,4,6,9,11,30,32,0.0830443963150092,8.304439631500921,0.0016088641897425745,1086889963.0,90260120.8381777,2024-07-10 00:29:11.225077
-36240.243196070194,2024-05-20 00:00:00,0.4076622928446144,1,4,6,9,11,30,32,0.08291100377010788,8.291100377010787,-0.0004019932248919331,1086889963.0,90115137.8199854,2024-07-10 00:29:11.225077
-16153.518258497119,2024-05-19 00:00:00,0.4075158106894132,1,4,6,9,11,30,32,0.08294434683557886,8.294434683557887,-0.00017915005518263683,1086889963.0,90151378.06318147,2024-07-10 00:29:11.225077
86526.45680235326,2024-05-18 00:00:00,0.40813663736611494,1,4,6,9,11,30,32,0.08295920898244598,8.295920898244598,0.0009605405344071569,1086889963.0,90167531.58143997,2024-07-10 00:29:11.225077
370296.91795897484,2024-05-17 00:00:00,0.4070805507203342,1,4,6,9,11,30,32,0.08617059498491147,8.617059498491148,0.004127678014823737,1045379867.0,90081005.12463762,2024-07-10 00:29:11.225077
25303.251187697053,2024-05-16 00:00:00,0.41125435136248256,1,4,6,9,11,30,32,0.08581637263029349,8.581637263029348,0.00028213343297334213,1045379867.0,89710708.20667864,2024-07-10 00:29:11.225077
174926.02218355238,2024-05-15 00:00:00,0.4113088739024605,1,4,6,9,11,30,32,0.08579216779147225,8.579216779147226,0.0019542518850098715,1045379867.0,89685404.95549095,2024-07-10 00:29:11.225077
-14901.316099599004,2024-05-14 00:00:00,0.4115322296035899,1,4,6,9,11,29,32,0.08562483529569198,8.5624835295692,-0.00016644795093956284,1045379867.0,89510478.9333074,2024-07-10 00:29:11.225077
-2767.724898070097,2024-05-13 00:00:00,0.41144890899974873,1,4,6,9,11,29,32,0.08563908974670065,8.563908974670065,-3.0914577824891954e-05,1045379867.0,89525380.249407,2024-07-10 00:29:11.225077
