date,op_circulating_supply
2023-09-17,798517235.0
2023-09-18,798517235.0
2023-09-19,798517235.0
2023-09-20,798517235.0
2023-09-21,798517235.0
2023-09-22,798517235.0
2023-09-23,798517235.0
2023-09-24,798517235.0
2023-09-25,798517235.0
2023-09-26,798517235.0
2023-09-27,798517235.0
2023-09-28,798517235.0
2023-09-29,798517235.0
2023-09-30,798517235.0
2023-10-01,798517235.0
2023-10-02,798517235.0
2023-10-03,880444572.0
2023-10-04,880444572.0
2023-10-05,880444572.0
2023-10-06,880444572.0
2023-10-07,880444572.0
2023-10-08,880444572.0
2023-10-09,880444572.0
2023-10-10,880444572.0
2023-10-11,880444572.0
2023-10-12,880444572.0
2023-10-13,880444572.0
2023-10-14,880444572.0
2023-10-15,880444572.0
2023-10-16,880444572.0
2023-10-17,880444572.0
2023-10-18,880444572.0
2023-10-19,880444572.0
2023-10-20,880444572.0
2023-10-21,880444572.0
2023-10-22,880444572.0
2023-10-23,880444572.0
2023-10-24,880444572.0
2023-10-25,880444572.0
2023-10-26,880444572.0
2023-10-27,880444572.0
2023-10-28,880444572.0
2023-10-29,880444572.0
2023-10-30,880444572.0
2023-10-31,880444572.0
2023-11-01,880444572.0
2023-11-02,880444572.0
2023-11-03,880444572.0
2023-11-04,880444572.0
2023-11-05,880444572.0
2023-11-06,880444572.0
2023-11-07,880444572.0
2023-11-08,880444572.0
2023-11-09,880917403.0
2023-11-10,880917403.0
2023-11-11,880917403.0
2023-11-12,880917403.0
2023-11-13,880917403.0
2023-11-14,880917403.0
2023-11-15,880917403.0
2023-11-16,880917403.0
2023-11-17,880917403.0
2023-11-18,880917403.0
2023-11-19,880917403.0
2023-11-20,880917403.0
2023-11-21,880917403.0
2023-11-22,880917403.0
2023-11-23,880917403.0
2023-11-24,880917403.0
2023-11-25,880917403.0
2023-11-26,880917403.0
2023-11-27,880917403.0
2023-11-28,880917403.0
2023-11-29,880917403.0
2023-11-30,880917403.0
2023-12-01,911294948.0
2023-12-02,911294948.0
2023-12-03,911294948.0
2023-12-04,911294948.0
2023-12-05,911294948.0
2023-12-06,911294948.0
2023-12-07,911294948.0
2023-12-08,911294948.0
2023-12-09,911294948.0
2023-12-10,911294948.0
2023-12-11,911294948.0
2023-12-12,911294948.0
2023-12-13,911294948.0
2023-12-14,911294948.0
2023-12-15,911294948.0
2023-12-16,911294948.0
2023-12-17,911294948.0
2023-12-18,911294948.0
2023-12-19,911294948.0
2023-12-20,911294948.0
2023-12-21,911294948.0
2023-12-22,911294948.0
2023-12-23,911294948.0
2023-12-24,911294948.0
2023-12-25,911294948.0
2023-12-26,911294948.0
2023-12-27,911294948.0
2023-12-28,911294948.0
2023-12-29,911294948.0
2023-12-30,911294948.0
2023-12-31,911294948.0
2024-01-01,911294948.0
2024-01-02,911294948.0
2024-01-03,911294948.0
2024-01-04,911294948.0
2024-01-05,911294948.0
2024-01-06,911294948.0
2024-01-07,911294948.0
2024-01-08,911294948.0
2024-01-09,957378568.0
2024-01-10,957378568.0
2024-01-11,957378568.0
2024-01-12,957378568.0
2024-01-13,957378568.0
2024-01-14,957378568.0
2024-01-15,957378568.0
2024-01-16,957378568.0
2024-01-17,957378568.0
2024-01-18,957378568.0
2024-01-19,957378568.0
2024-01-20,957378568.0
2024-01-21,957378568.0
2024-01-22,957378568.0
2024-01-23,957378568.0
2024-01-24,957378568.0
2024-01-25,957378568.0
2024-01-26,957378568.0
2024-01-27,957378568.0
2024-01-28,957378568.0
2024-01-29,957378568.0
2024-01-30,957378568.0
2024-01-31,957378568.0
2024-02-01,957378568.0
2024-02-02,957378568.0
2024-02-03,957378568.0
2024-02-04,957378568.0
2024-02-05,957378568.0
2024-02-06,957378568.0
2024-02-07,957378568.0
2024-02-08,957378568.0
2024-02-09,957378568.0
2024-02-10,957378568.0
2024-02-11,957378568.0
2024-02-12,957378568.0
2024-02-13,957378568.0
2024-02-14,957378568.0
2024-02-15,957378568.0
2024-02-16,957378568.0
2024-02-17,957378568.0
2024-02-18,957378568.0
2024-02-19,957378568.0
2024-02-20,957378568.0
2024-02-21,957378568.0
2024-02-22,957378568.0
2024-02-23,957378568.0
2024-02-24,957378568.0
2024-02-25,957378568.0
2024-02-26,957378568.0
2024-02-27,957378568.0
2024-02-28,957378568.0
2024-02-29,957378568.0
2024-03-01,1006141600.0
2024-03-02,1006141600.0
2024-03-03,1006141600.0
2024-03-04,1006141600.0
2024-03-05,1006141600.0
2024-03-06,1006141600.0
2024-03-07,1006141600.0
2024-03-08,1006141600.0
2024-03-09,1006141600.0
2024-03-10,1006141600.0
2024-03-11,1006141600.0
2024-03-12,1006141600.0
2024-03-13,1006141600.0
2024-03-14,1006141600.0
2024-03-15,1006141600.0
2024-03-16,1006141600.0
2024-03-17,1006141600.0
2024-03-18,1006141600.0
2024-03-19,1006141600.0
2024-03-20,1006141600.0
2024-03-21,1006141600.0
2024-03-22,1006141600.0
2024-03-23,1006141600.0
2024-03-24,1006141600.0
2024-03-25,1006141600.0
2024-03-26,1006141600.0
2024-03-27,1006141600.0
2024-03-28,1006141600.0
2024-03-29,1006141600.0
2024-03-30,1006141600.0
2024-03-31,1006141600.0
2024-04-01,1006141600.0
2024-04-02,1006141600.0
2024-04-03,1006141600.0
2024-04-04,1006141600.0
2024-04-05,1006141600.0
2024-04-06,1006141600.0
2024-04-07,1006141600.0
2024-04-08,1006141600.0
2024-04-09,1006141600.0
2024-04-10,1006141600.0
2024-04-11,1006141600.0
2024-04-12,1006141600.0
2024-04-13,1006141600.0
2024-04-14,1006141600.0
2024-04-15,1006141600.0
2024-04-16,1045379867.0
2024-04-17,1045379867.0
2024-04-18,1045379867.0
2024-04-19,1045379867.0
2024-04-20,1045379867.0
2024-04-21,1045379867.0
2024-04-22,1045379867.0
2024-04-23,1045379867.0
2024-04-24,1045379867.0
2024-04-25,1045379867.0
2024-04-26,1045379867.0
2024-04-27,1045379867.0
2024-04-28,1045379867.0
2024-04-29,1045379867.0
2024-04-30,1045379867.0
2024-05-01,1045379867.0
2024-05-02,1045379867.0
2024-05-03,1045379867.0
2024-05-04,1045379867.0
2024-05-05,1045379867.0
2024-05-06,1045379867.0
2024-05-07,1045379867.0
2024-05-08,1045379867.0
2024-05-09,1045379867.0
2024-05-10,1045379867.0
2024-05-11,1045379867.0
2024-05-12,1045379867.0
2024-05-13,1045379867.0
2024-05-14,1045379867.0
2024-05-15,1045379867.0
2024-05-16,1045379867.0
2024-05-17,1045379867.0
2024-05-18,1086889963.0
2024-05-19,1086889963.0
2024-05-20,1086889963.0
2024-05-21,1086889963.0
2024-05-22,1086889963.0
2024-05-23,1086889963.0
2024-05-24,1086889963.0
2024-05-25,1086889963.0
2024-05-26,1086889963.0
2024-05-27,1086889963.0
2024-05-28,1086889963.0
2024-05-29,1086889963.0
2024-05-30,1086889963.0
2024-05-31,1086889963.0
2024-06-01,1086889963.0
2024-06-02,1086889963.0
2024-06-03,1086889963.0
2024-06-04,1086889963.0
2024-06-05,1086889963.0
2024-06-06,1086889963.0
2024-06-07,1086889963.0
2024-06-08,1086889963.0
2024-06-09,1086889963.0
2024-06-10,1086889963.0
2024-06-11,1086889963.0
2024-06-12,1086889963.0
2024-06-13,1086889963.0
2024-06-14,1086889963.0
2024-06-15,1086889963.0
2024-06-16,1086889963.0
2024-06-17,1086889963.0
2024-06-18,1086889963.0
2024-06-19,1086889963.0
2024-06-20,1121728540.0
2024-06-21,1121728540.0
2024-06-22,1121728540.0
2024-06-23,1121728540.0
2024-06-24,1121728540.0
2024-06-25,1121728540.0
2024-06-26,1121728540.0
2024-06-27,1121728540.0
2024-06-28,1121728540.0
2024-06-29,1121728540.0
2024-06-30,1121728540.0
2024-07-01,1121728540.0
2024-07-02,1121728540.0
2024-07-03,1121728540.0
2024-07-04,1121728540.0
2024-07-05,1121728540.0
2024-07-06,1121728540.0
2024-07-07,1121728540.0
2024-07-08,1121728540.0
2024-07-09,1121728540.0
2024-07-10,1121728540.0
2024-07-11,1121728540.0
2024-07-12,1121728540.0
2024-07-13,1121728540.0
2024-07-14,1121728540.0
