Team,contract_address,contract_name,contract_num_by_creator,creator_address,date,days_since_contract_created,days_since_creator_first_deployed,median_calldata_gas_to_w_overhead_per_day_t28d,median_eth_fees_to_per_day_t28d,median_num_address_users_trace_growth,median_num_address_users_trace_t28d,median_num_address_users_tx_growth,median_num_address_users_tx_t28d,median_num_txs_to_t28d,median_num_txs_trace_t28d,median_trace_tx_eth_fees_per_day_t28d,token_symbol,total_calldata_gas_to_w_overhead_growth,total_calldata_gas_to_w_overhead_t28d,total_eth_fees_to_growth,total_eth_fees_to_t28d,total_trace_tx_eth_fees_growth,total_trace_tx_eth_fees_t28d,last_updated
Perpetual Protocol,0x4a2d20e1f412f78182b71780803cc7c8234a9794,,846,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,1,533,0,0.0,,267,,0,0,21435,96.57976807691328,,,0,,0.0,,192.75243685819873,2023-05-12 23:31:25.768725+00:00
Velodrome,0x3c8b650257cfb5f272f799f5e2b4e65093a11a05,Velo,1,0xc0de1436c4e247f8652476a0b9ff55699801e1d0,2023-05-11 00:00:00.000,344,344,1835908,0.10462825779747836,-94.0,1649,-40.0,272,413,5222,5.967995499225219,VELO,1590139.0,68193392,2.0590217243544613,3.8633842714603714,62.18265550992268,188.38106442256614,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x81d4bdb63e59339375a1376a3bd0d99c22fc0126,,848,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,1,533,0,0.0,,266,,0,0,18916,98.46383210412598,,,0,,0.0,,191.94302341608983,2023-05-12 23:31:25.768725+00:00
Layer Zero,0x00e7306e591c04e72867644df141e250acaf175b,,39,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,2023-05-11 00:00:00.000,97,422,0,0.0,15638.0,17000,0.0,0,0,67518,21.69062493113438,,0.0,0,0.0,0.0,119.67722990740619,191.5190485892252,2023-05-12 23:31:25.768725+00:00
Uniswap,0xb555edf5dcf85f42ceef1f3630a52a108e55a654,UniversalRouter,9,0xd8fa8f87129c654a6dd7f34eedaf58379e176eb1,2023-05-11 00:00:00.000,163,175,24846816,1.4060025868677488,-1131.0,2207,-1101.0,2204,2899,2899,4.256175008907385,,-199825988.0,812189888,20.470985421614067,47.85909081084811,61.52150044074199,143.17973076960004,2023-05-12 23:31:25.768725+00:00
Layer Zero,0x86bb63148d17d445ed5398ef26aa05bf76dd5b59,TheAptosBridge,35,0x9f403140bc0574d7d36ea472b82daa1bbd4ef327,2023-05-11 00:00:00.000,204,422,6083508,0.308124801459097,683.0,784,683.0,783,933,1739,1.8821952546928173,,107828906.0,167247284,7.509859674664524,8.957056082246186,166.93550676490207,173.20036518017884,2023-05-12 23:31:25.768725+00:00
,0xe21593ae1d7e26e1ffa6c8532aaddd82701b75f1,,91,0xcb7477d515bb405762922976bb93421246dd993a,2023-05-11 00:00:00.000,116,310,0,0.0,-1.0,11,0.0,0,0,2966,5.819065211192102,,0.0,0,0.0,0.0,47.7499005501885,181.11801675244155,2023-05-12 23:31:25.768725+00:00
Layer Zero,0x3773e1e9deb273fcdf9f80bc88bb387b1e6ce34d,,7,0x45208e8d6d09d6bfce5094083ab36f22bdfc8456,2023-05-11 00:00:00.000,258,261,0,0.0,10798.0,12476,0.0,0,0,16808,6.634841110551663,,0.0,0,0.0,0.0,147.17009252725617,176.96976636765228,2023-05-12 23:31:25.768725+00:00
Layer Zero,0x5b905fe05f81f3a8ad8b28c6e17779cfabf76068,NonceContract,1,0x45208e8d6d09d6bfce5094083ab36f22bdfc8456,2023-05-11 00:00:00.000,261,261,0,0.0,10798.0,12476,0.0,0,0,16808,6.633591449968633,,0.0,0,0.0,0.0,147.13209928254838,176.90501744217863,2023-05-12 23:31:25.768725+00:00
Synthetix,0x803fd1d99c3a6cbcbabab79c44e108dc2fb67102,,3,0x819addc3dd780704ae85ea12c18252f7020c24d0,2023-05-11 00:00:00.000,267,267,0,0.0,-639.0,996,0.0,0,0,4614,6.161418172486434,,0.0,0,0.0,0.0,110.04924127025919,176.32453650586797,2023-05-12 23:31:25.768725+00:00
Chainlink,0x0d276fc14719f9292d5c1ea2198673d1f4269246,,19,0x473ab11a7b649064ee50b255b5b14dfe284a0373,2023-05-11 00:00:00.000,318,401,0,0.0,-82.0,454,0.0,0,0,6419,5.018066415163617,,0.0,0,0.0,0.0,102.62787038039933,172.97101423112844,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0xad7b4c162707e0b2b5f6fddbd3f8538a5fba0d60,Vault,135,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,530,533,545036,0.0320905630121304,-220.0,263,-159.0,85,126,16927,5.418500506526058,,-384688396.0,16557108,-5.983624662670751,1.036046977729498,15.13875504466563,170.7296317522767,2023-05-12 23:31:25.768725+00:00
Mummy Finance,0xa6d7d0e650aa40ffa42d845a354c12c2bc0ab15f,Vault,2,0x30b12942912cee5a719edec2dd147224fcc373a0,2023-05-11 00:00:00.000,70,70,0,0.0,-51.0,248,0.0,0,0,453,4.150346859153153,,0.0,0,0.0,0.0,142.1351012352054,167.3675029268331,2023-05-12 23:31:25.768725+00:00
Synthetix,0xeb66fc1bfdf3284cb0ca1de57149dcf3cefa5453,,236,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,50,238,0,0.0,-530.0,1168,0.0,0,0,4263,5.639966392388544,,0.0,0,0.0,0.0,145.9656991734625,164.0558051567351,2023-05-12 23:31:25.768725+00:00
Woofi,0x464959ad46e64046b891f562cff202a465d522f3,WooracleV2,3,0x97471c0fdddb5e5cc34cb08cb17961bd3a53f38f,2023-05-11 00:00:00.000,178,345,0,0.0,488.0,732,0.0,0,0,4174,4.973020516577459,,5923572.0,5923572,0.7097531562527999,0.7097531562527999,72.99113245678372,161.85619333835797,2023-05-12 23:31:25.768725+00:00
Chainlink,0x4f6dfdfd4d68f68b2692e79f9e94796fc8015770,AccessControlledOffchainAggregator,18,0x473ab11a7b649064ee50b255b5b14dfe284a0373,2023-05-11 00:00:00.000,318,401,0,0.0,-82.0,464,0.0,0,0,6636,4.718868075212563,,-1994522.0,0,-0.21681334452579357,0.0,86.39382794143542,160.52539252633213,2023-05-12 23:31:25.768725+00:00
Stargate Finance,0x4dea9e918c6289a52cd469cac652727b7b412cd2,LPStakingTime,27,0x1d7c6783328c145393e84fb47a7f7c548f5ee28d,2023-05-11 00:00:00.000,281,420,4628884,0.19561277663059143,7857.0,9985,496.0,922,1120,13527,5.434793296057911,,46917975.0,160434812,6.02530788587845,8.667060108602268,120.30603905486932,147.56848320030767,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0xbe1119dfd2f831185cc75d5f97348c19575f5088,,757,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-14.0,46,0.0,0,0,1832,4.30915441671524,,0.0,0,0.0,0.0,153.0356921467179,155.99079583984417,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0x5a7ed3ce6096228a9fe1b673830e6a78c9cfb71b,,570,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,79,533,0,0.0,-6.0,46,0.0,0,0,1832,4.309154416715238,,0.0,0,0.0,0.0,107.4428485023219,155.99079583984414,2023-05-12 23:31:25.768725+00:00
Synthetix,0x435e6e499610b6de3510f0cb047d3575c7bca6e1,,377,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,35,238,0,0.0,-65.0,47,0.0,0,0,213,4.840547074032088,,0.0,0,0.0,0.0,150.5937816288222,153.83008558517616,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0xd24b8feeea13a0ecce247e37e8ad1a0b2620fc5b,,739,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,29,533,0,0.0,-152.0,256,0.0,0,0,16228,5.24620611551964,,0.0,0,0.0,0.0,146.07218083609715,149.0995217469592,2023-05-12 23:31:25.768725+00:00
Beethoven X,0xba12222222228d8ba445958a75a0704d566bf2c8,Vault,5,0x697a71353a4bc1eb1356763018a229c27a3fba0c,2023-05-11 00:00:00.000,373,373,2879660,0.1776384236942296,-485.0,900,34.0,217,300,5411,4.273043977694065,,-187180190.0,97583612,-0.6279573251564257,4.880587210733917,8.09882318506385,143.7282730712318,2023-05-12 23:31:25.768725+00:00
