project_name,application_id,is_oss,gas_fees,transaction_count,trusted_transaction_count,trusted_transaction_share,trusted_users_onboarded,daily_active_addresses,trusted_daily_active_users,monthly_active_addresses,trusted_monthly_active_users,recurring_addresses,trusted_recurring_users,power_user_addresses,openrank_trusted_users_count,log_gas_fees,log_transaction_count,log_trusted_transaction_count
HOMES,0x4bb52210fd390559dc9757138ea8ce189d7bd73f15314209775a9c6fecb969fa,false,0.2082905774703537,12821.0,4485.0,0.34981670696513534,26.0,18.594262295081968,2.9959016393442623,351.23456790123458,49.753086419753089,58.0,19.0,435.0,13.0,0.0821713887689611,4.1079557725477134,3.6518592692469491
Ham,0xe2cffffc3c00303412781c879691480a5e6e91f936ca073321babb01c6969080,false,1.0939066930759225,102023.0,13440.0,0.13173500093116258,988.0,83.520491803278688,39.01229508196721,1627.6543209876545,660.0,502.0,357.0,3477.0,388.0,0.32095732510542818,5.0087023466787288,4.1284315810932464
Harvest Finance,0x41cf185bd4ee6592c65edcb7360e2e56e069fe50ea4adeb7aaee243f7a515c92,true,0.50967811096069238,16110.0,743.0,0.046120422098075729,11.0,22.42622950819672,1.278688524590164,438.641975308642,25.555555555555557,106.0,13.0,509.0,5.0,0.17888435819661735,4.207122497650964,2.8715729355458786
Hats Protocol,0x8967594d2978692a35fea137ba640bb42f11cad907ca6b0bd01f3718fc4c7f5b,true,0.011571433735850001,1221.0,718.0,0.588042588042588,8.0,2.360655737704918,1.1598360655737705,49.012345679012348,23.333333333333336,25.0,13.0,57.0,67.0,0.0049965565896671615,3.0870712059065353,2.8567288903828825
Hedgey,0x928dcd931ff2bc44a5d3b15c500adfbf8d3e3a89e4936823e0b3f053c38f978c,false,1.0014496024550728,21095.0,8029.0,0.3806115193173738,538.0,82.180327868852459,31.905737704918032,2298.5185185185187,909.38271604938279,111.0,48.0,9449.0,788.0,0.30134465881722738,4.3242001167853781,3.9047155452786808
Highlight,0x331511dd6300baf10a35b2d3f3953fd7160412b970049b3a63b64564ce26c347,false,2.3831881871166427,119556.0,45471.0,0.38033222924821841,2153.0,321.58196721311475,160.28278688524591,7918.3950617283954,3516.1728395061732,2638.0,2049.0,22447.0,1451.0,0.5293261557404596,5.07757500891164,4.6577440562473758
Holograph Foundation,0x1a6ff49fed19e164fd6b39f668f391cfc7fc493906e942c74997aacee91be632,false,26.270333053157326,1037071.0,139003.0,0.1340342175222333,811.0,2032.1147540983607,208.73360655737704,43118.888888888891,3732.0987654320988,32481.0,3886.0,31423.0,264.0,1.4356904420217595,6.0158089088646634,5.1430272977572082
Hyperlane,0xa47182d330bd0c5c69b1418462f3f742099138f09bff057189cdd19676a6acd1,true,11.586571262440064,352440.0,13.0,0.0,1.0,4.6639344262295079,0.040983606557377046,18.148148148148149,0.617283950617284,9.0,1.0,5.0,0.0,1.0999074390351142,5.5470864248195051,1.146128035678238
Hypersub,0x6435c8574014275b1d554a3ab9dd85f775fa3563258ce855d6aeb07e7918f6e5,false,0.28699047100145975,12754.0,9600.0,0.75270503371491293,530.0,37.528688524590166,27.680327868852459,795.55555555555554,530.61728395061732,379.0,351.0,2091.0,888.0,0.10957533135908397,4.1056804629458092,3.9823164696920652
INT,0x3db32e85563bfe1014acc9da5b0d3ff6b802e8205cfce45dd7157c901ece5f36,false,0.051102020770629232,2341.0,238.0,0.0,4.0,6.4221311475409832,0.45901639344262296,147.28395061728395,7.4074074074074074,14.0,1.0,269.0,3.0,0.021644871030540653,3.3695868907363442,2.3783979009481375
