Address,Badgeholder,Status,Created at,Updated at,Published at,Metrics in ballot,Metrics viewed,Os multiplier,Ballot content,Signature,Payload
0x75cac0ceb8a39ddb4942a83ad2aafaf0c2a3e13f,true,SUBMITTED,2024-07-11T09:11:07.917Z,2024-07-11T09:18:29.976Z,2024-07-11T09:18:29.976Z,5,0,3,"[{""recurring_addresses"":20},{""trusted_recurring_users"":20},{""gas_fees"":20},{""monthly_active_addresses"":20},{""trusted_users_onboarded"":20}]",0x0236bed129cb4b654c7a599315b3d2c71102ce851caddd8b269972833eb940cb399e3c8cabba4750c62a9068fd09ba0819768a84afdae31c420331773c31f3711b,"{""allocations"":[{""recurring_addresses"":20},{""trusted_recurring_users"":20},{""gas_fees"":20},{""monthly_active_addresses"":20},{""trusted_users_onboarded"":20}],""os_only"":false,""os_multiplier"":3}"
0xda60aceb12a1a61d09b008ae4a60c760db32220f,true,SUBMITTED,2024-07-11T14:04:24.550Z,2024-07-11T14:06:53.055Z,2024-07-11T14:06:53.055Z,3,0,1,"[{""trusted_daily_active_users"":33.335},{""trusted_users_onboarded"":33.335},{""gas_fees"":33.33333333333334}]",0x67c4811de177ebf54d1c849e0bf181970d1ae0982717a4aaff0b97cd365f8bc91d799c216176c6bb5f74d0a2808ddef1e4bbd5e4a9f4931c59302db47f2c5bb21c,"{""allocations"":[{""trusted_daily_active_users"":33.335},{""trusted_users_onboarded"":33.335},{""gas_fees"":33.33333333333334}],""os_only"":false,""os_multiplier"":1}"
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,true,SUBMITTED,2024-06-27T18:51:39.698Z,2024-07-09T22:33:13.362Z,2024-07-09T22:33:13.362Z,5,16,1,"[{""gas_fees"":75},{""trusted_recurring_users"":9.5},{""trusted_users_onboarded"":9.5},{""power_user_addresses"":3},{""trusted_transaction_count"":3}]",0x866e3850b3ce10abefecee8f678721d9dec98a02e51834ff1ea0b0b2b273aaaa78aa83aadfe2494fbbcef7932350006555635e4ae30fa80f66b74ed2cb7ec6021c,"{""allocations"":[{""gas_fees"":75},{""trusted_recurring_users"":9.5},{""trusted_users_onboarded"":9.5},{""power_user_addresses"":3},{""trusted_transaction_count"":3}],""os_only"":false,""os_multiplier"":1}"
0xe422d6c46a69e989ba6468ccd0435cb0c5c243e3,true,SUBMITTED,2024-06-27T14:04:04.497Z,2024-07-07T09:06:19.989Z,2024-07-07T09:06:19.989Z,2,16,2,"[{""monthly_active_addresses"":10},{""log_gas_fees"":90}]",0x5812123edd7601fe575add17f1e5da94fa6846d3959fdc74d2fe211a7eb9ac9072217703734894950f98f5bf1af3bf4ed81eae7794dd0da96185fd9cd44b17221c,"{""allocations"":[{""monthly_active_addresses"":10},{""log_gas_fees"":90}],""os_only"":false,""os_multiplier"":2}"
0x06f455e2c297a4ae015191fa7a4a11c77c5b1b7c,true,SUBMITTED,2024-06-28T09:16:26.009Z,2024-07-02T16:05:12.346Z,2024-07-02T16:05:12.346Z,4,10,2,"[{""trusted_recurring_users"":20},{""trusted_transaction_count"":27},{""power_user_addresses"":25},{""trusted_users_onboarded"":28}]",0xab91d7d2445af1a92a0a0693e48ef2f36306dea36f7c17c6f1e78354576df5ea534470ae6bed23ffcbc67ab506678500f278777ad1b6328fc236b961c5c62db11b,"{""allocations"":[{""trusted_recurring_users"":20},{""trusted_transaction_count"":27},{""power_user_addresses"":25},{""trusted_users_onboarded"":28}],""os_only"":false,""os_multiplier"":2}"
0x8c50651d964b1a573ba0cf51980ca51d9e42623c,true,SUBMITTED,2024-07-01T14:03:13.136Z,2024-07-10T12:35:24.420Z,2024-07-10T12:35:24.420Z,4,16,2,"[{""trusted_users_onboarded"":20},{""transaction_count"":20},{""trusted_recurring_users"":10},{""gas_fees"":50}]",0x341e6027716d3d23595a2c51038ff6407490b413d722365ff32261fb13d1b8bf40988e276acc430309223a1a2cb0ec760814fa81ec578aad71761f6044d1fa771c,"{""allocations"":[{""trusted_users_onboarded"":20},{""transaction_count"":20},{""trusted_recurring_users"":10},{""gas_fees"":50}],""os_only"":false,""os_multiplier"":2}"
0xd31b671f1a398b519222fdaba5ab5464b9f2a3fa,true,SUBMITTED,2024-07-10T18:42:33.871Z,2024-07-10T18:52:33.267Z,2024-07-10T18:52:33.267Z,5,14,3,"[{""trusted_recurring_users"":30},{""trusted_users_onboarded"":10},{""trusted_monthly_active_users"":35},{""transaction_count"":13.30357142857143},{""trusted_transaction_count"":11.69642857142857}]",0xe01445a1d1d1bc31f4b2357cee3b414b72580a50cf270a7b62e1c1567b9d16ae67d7e72ad085008dde0295c1694b1322da7da94126d4178ebbb801cee337d9b21c,"{""allocations"":[{""trusted_recurring_users"":30},{""trusted_users_onboarded"":10},{""trusted_monthly_active_users"":35},{""transaction_count"":13.30357142857143},{""trusted_transaction_count"":11.69642857142857}],""os_only"":false,""os_multiplier"":3}"
0xdb150346155675dd0c93efd960d5985244a34820,true,SUBMITTED,2024-07-10T12:39:45.273Z,2024-07-10T12:46:18.361Z,2024-07-10T12:46:18.361Z,4,10,2,"[{""gas_fees"":25},{""transaction_count"":25},{""trusted_recurring_users"":20},{""trusted_users_onboarded"":30}]",0x85a65562bf1fc221800a71d9909040ec676d6d16700c62e396891fe196c69c43613b98991fa1da4fe6697a31ac25beb06fabb51dae5ce9f1e095cd2a47c0c3251c,"{""allocations"":[{""gas_fees"":25},{""transaction_count"":25},{""trusted_recurring_users"":20},{""trusted_users_onboarded"":30}],""os_only"":false,""os_multiplier"":2}"
0xa50d0e425461ccab26ef30104cdd879b90db3843,true,SUBMITTED,2024-07-10T11:47:59.639Z,2024-07-11T13:44:42.223Z,2024-07-11T13:44:42.223Z,7,12,3,"[{""log_gas_fees"":40},{""daily_active_addresses"":10},{""monthly_active_addresses"":10},{""trusted_monthly_active_users"":10},{""trusted_daily_active_users"":10},{""trusted_recurring_users"":10},{""recurring_addresses"":10}]",0x3bc6256e89ba5b8ac4ecd1a77b235b5f631bf1d89f4d252f24dbd344fa88b9063c635b604d67fab859994bde9794bda2e6fe887ff3cfda62268e0896b21512931b,"{""allocations"":[{""log_gas_fees"":40},{""daily_active_addresses"":10},{""monthly_active_addresses"":10},{""trusted_monthly_active_users"":10},{""trusted_daily_active_users"":10},{""trusted_recurring_users"":10},{""recurring_addresses"":10}],""os_only"":false,""os_multiplier"":3}"
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,true,SUBMITTED,2024-06-27T19:23:16.828Z,2024-06-27T19:37:36.150Z,2024-06-27T19:37:36.150Z,6,0,3,"[{""log_gas_fees"":20},{""trusted_monthly_active_users"":5},{""monthly_active_addresses"":5},{""trusted_users_onboarded"":40},{""openrank_trusted_users_count"":5},{""transaction_count"":25}]",0x297659e8b6cb77584868e3098ad72c092aa5a45151d93fc34e7c159799775dd94677a62cee47a33940db51713b7a64550cc1509cdbfd0075e4ad7b4d239305701b,"{""allocations"":[{""log_gas_fees"":20},{""trusted_monthly_active_users"":5},{""monthly_active_addresses"":5},{""trusted_users_onboarded"":40},{""openrank_trusted_users_count"":5},{""transaction_count"":25}],""os_only"":false,""os_multiplier"":3}"
