"block_number","block_timestamp","asc_block_number_rank","desc_block_number_rank","last_base_fee_per_gas_gwei","trailing_avg_base_fee_per_gas_gwei","last_l1_gas_price_gwei","trailing_avg_l1_gas_price_gwei","trailing_avg_priority_fee_paid_per_gas_gwei_1pct","trailing_avg_priority_fee_paid_per_gas_gwei_25pct","trailing_avg_priority_fee_paid_per_gas_gwei_50pct","trailing_avg_priority_fee_paid_per_gas_gwei_75pct","trailing_avg_priority_fee_paid_per_gas_gwei_99pct"
10145997,"2023-06-02 15:34:22",503,517,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,67.2742694583333333,2.1128917382483325,2.1420892818083326,2.1725033896833326,2.2170750598583324,2.2598638632263333
10145995,"2023-06-02 15:34:18",502,518,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,67.8419824236000000,2.1128917382483325,2.1420892818083326,2.1725033896833326,2.2170750598583324,2.259863863226333
10145993,"2023-06-02 15:34:14",501,519,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,68.4271336058666667,2.1128917382483325,2.1420892818083326,2.1725033896833326,2.2170750598583324,2.259863863226333
10145992,"2023-06-02 15:34:12",500,520,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,69.0122847881333333,2.1127250715649994,2.137922614724999,2.1641700555166654,2.2045750586083326,2.243363861576333
10145991,"2023-06-02 15:34:10",499,521,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,69.5940575277666667,2.0894917361983323,2.1146892793583323,2.140936720149999,2.181341723241666,2.2201305262096658
10145987,"2023-06-02 15:34:02",498,522,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,70.1758302674000000,2.0894917361983323,2.1146892793583327,2.140936720149999,2.181341723241666,2.2201305262096658
10145986,"2023-06-02 15:34:00",497,523,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,70.7576030070333333,2.0894917361983323,2.1146892793583327,2.1409367201499996,2.181341723241666,2.2201305262096658
10145983,"2023-06-02 15:33:54",496,524,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.3014805826333333,2.0894917361983323,2.1146892793583327,2.140936720149999,2.181341723241666,2.2201305262096658
10145982,"2023-06-02 15:33:52",495,525,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.8453581582333333,2.0894917361983323,2.1146892793583323,2.140936720149999,2.181341723241666,2.2201305262096658
10145981,"2023-06-02 15:33:50",494,526,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,72.3892357338333333,2.0323758361133324,2.0678689508333323,2.1048409453333323,2.1559705021333326,2.205054876661333
10145980,"2023-06-02 15:33:48",493,527,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,72.7949616236666667,2.0323758361133324,2.0678689508333323,2.1048409453333323,2.1559705021333326,2.205054876661333
10145979,"2023-06-02 15:33:46",492,528,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,73.0393377106666667,2.0323758361133324,2.0678689508333323,2.1048409453333323,2.1559705021333326,2.205054876661332
10145977,"2023-06-02 15:33:42",491,529,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,73.2837137976666667,2.0323758361133324,2.0678689508333323,2.104840945333332,2.1559705021333326,2.205054876661332
10145976,"2023-06-02 15:33:40",490,530,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,73.5937929218333333,2.0177291687133323,2.0532222834333327,2.0901942779333322,2.1413238347333325,2.1904082092613324
10145972,"2023-06-02 15:33:32",489,531,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,73.9038720460000000,2.0177291687133323,2.0532222834333327,2.0901942779333322,2.1413238347333325,2.1904082092613324
10145971,"2023-06-02 15:33:30",488,532,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,74.0519852337333333,2.0177291687133323,2.0532222834333327,2.0901942779333322,2.1413238347333325,2.1904082092613324
10145970,"2023-06-02 15:33:28",487,533,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,73.9272499760666667,1.9452281667003324,1.9982972819083327,2.053577610249999,2.123015500891666,2.1896758759076653
10145968,"2023-06-02 15:33:24",486,534,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,73.8025147184000000,1.9452281667003322,1.9982972819083327,2.053577610249999,2.123015500891666,2.1896758759076658
10145967,"2023-06-02 15:33:22",485,535,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,73.6001981136000000,1.9880664173109988,2.039696391174999,2.093477613949999,2.142965502741666,2.1904738759816658
10145966,"2023-06-02 15:33:20",484,536,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,73.2523851127000000,1.9880664173109988,2.039696391174999,2.093477613949999,2.142965502741666,2.1904738759816658
10145965,"2023-06-02 15:33:18",483,537,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,72.9045721118000000,1.988066417310999,2.039696391174999,2.093477613949999,2.142965502741666,2.1904738759816658
10145964,"2023-06-02 15:33:16",482,538,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,72.5567591109000000,1.988066417310999,2.0396963911749992,2.093477613949999,2.142965502741666,2.1904738759816658
