badgeholder_address,round_allocation,category_allocation,declared_COIs
0x56edf679b0c80d528e17c5ffe514dc9a1b254b9c,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '49'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '45'}, {'OP_STACK_TOOLING': '6'}]",[]
0xb21c33de1fab3fa15499c62b59fe0cc3250020d1,5000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '45'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '45'}, {'OP_STACK_TOOLING': '10'}]",[]
0x5f4bcccb5c2cbb01c619f5cfed555466e31679b6,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '35'}, {'OP_STACK_TOOLING': '25'}]",['0x7ee54d5d8514a8be9172e4ce0dfb54cc3eba6cf57c88b85e76262dc307178832']
0x23936429fc179da0e1300644fb3b489c736d562f,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_TOOLING': '35'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '15'}]",[]
0xf346100e892553dceb41a927fb668da7b0b7c964,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '60'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '20.0029998500075'}, {'OP_STACK_TOOLING': '19.9970001499925'}]",[]
0x05ff834dd5a7edb437b061cb00108200bf4873d6,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '50'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '25'}, {'OP_STACK_TOOLING': '25'}]",['0xdfeced1045accaf24826bb678bc6c44624588c1d1b5a56d6b60ad2774fde4352']
0x57893e666bd15e886d74751b0879361a3383b57a,6500000,"[{'OP_STACK_TOOLING': '37.5'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '37.5'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '25'}]",[]
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,4000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '60'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '20'}, {'OP_STACK_TOOLING': '20'}]","['0xac859a911407aa694e23d1616d9ce086d3d53b90789186a94bfbbb8e7294036b', '0x078cf11f1d64911d10f1d57c1da9c09d67a167472afc530f3412c304ee0f239e']"
0xbf430a49c4d85aeed3908619d5387a1fbf8e74a9,6500000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '35'}, {'OP_STACK_TOOLING': '25'}]",['0x38f4b51e1d89c1efce3c71fd155fa253d7fffe73cd239fcbd2f9309e4cc6e67b']
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,7000000,"[{'OP_STACK_TOOLING': '42.5'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '42.5'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '15'}]",[]
0xfa244692f6aa32c7eb01e46c4e8edb048348fe11,6600000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '40.34'}, {'OP_STACK_TOOLING': '29.83'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '29.83'}]",['0xb7ab34b29ac7c1f61777caa55b2b0e39de62a3a3f14ca7a48eb26ac6d701d0b2']
0x64af04a2fc6407a00951ad1ab534f4e0b23f3a56,6000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '40'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'OP_STACK_TOOLING': '20'}]",[]
0x9c949881084dcbd97237f786710ab8e52a457136,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '40'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'OP_STACK_TOOLING': '20'}]",[]
