"Date(UTC)","UnixTimeStamp","Value"
"3/27/2025","1743033600","60000000"
"3/28/2025","1743120000","60000000"
"3/29/2025","1743206400","60000000"
"3/30/2025","1743292800","60000000"
"3/31/2025","1743379200","60000000"
"4/1/2025","1743465600","60000000"
"4/2/2025","1743552000","60000000"
"4/3/2025","1743638400","60000000"
"4/4/2025","1743724800","60000000"
"4/5/2025","1743811200","60000000"
"4/6/2025","1743897600","60000000"
"4/7/2025","1743984000","60000000"
"4/8/2025","1744070400","60000000"
"4/9/2025","1744156800","60000000"
"4/10/2025","1744243200","60000000"
"4/11/2025","1744329600","60000000"
"4/12/2025","1744416000","60000000"
"4/13/2025","1744502400","60000000"
"4/14/2025","1744588800","60000000"
"4/15/2025","1744675200","60000000"
"4/16/2025","1744761600","60000000"
"4/17/2025","1744848000","60000000"
"4/18/2025","1744934400","60000000"
"4/19/2025","1745020800","60000000"
"4/20/2025","1745107200","60000000"
"4/21/2025","1745193600","60000000"
"4/22/2025","1745280000","60000000"
"4/23/2025","1745366400","60000000"
"4/24/2025","1745452800","60000000"
"4/25/2025","1745539200","60000000"
"4/26/2025","1745625600","60000000"
"4/27/2025","1745712000","60000000"
"4/28/2025","1745798400","60000000"
"4/29/2025","1745884800","60000000"
"4/30/2025","1745971200","60000000"
"5/1/2025","1746057600","60000000"
"5/2/2025","1746144000","60000000"
"5/3/2025","1746230400","60000000"
"5/4/2025","1746316800","60000000"
"5/5/2025","1746403200","60000000"
"5/6/2025","1746489600","60000000"
"5/7/2025","1746576000","60000000"
"5/8/2025","1746662400","60000000"
"5/9/2025","1746748800","60000000"
"5/10/2025","1746835200","60000000"
"5/11/2025","1746921600","60000000"
"5/12/2025","1747008000","60000000"
"5/13/2025","1747094400","60000000"
"5/14/2025","1747180800","60000000"
"5/15/2025","1747267200","60000000"
"5/16/2025","1747353600","60000000"
"5/17/2025","1747440000","60000000"
"5/18/2025","1747526400","60000000"
"5/19/2025","1747612800","60000000"
"5/20/2025","1747699200","60000000"
"5/21/2025","1747785600","53547685"
"5/22/2025","1747872000","40000000"
"5/23/2025","1747958400","40000000"
"5/24/2025","1748044800","40000000"
"5/25/2025","1748131200","40000000"
"5/26/2025","1748217600","40000000"
"5/27/2025","1748304000","40000000"
"5/28/2025","1748390400","40000000"
"5/29/2025","1748476800","40000000"
"5/30/2025","1748563200","40000000"
