"Date(UTC)","UnixTimeStamp","Value"
"7/18/2025","1752796800","36000000"
"7/19/2025","1752883200","36000000"
"7/20/2025","1752969600","36000000"
"7/21/2025","1753056000","36000000"
"7/22/2025","1753142400","36000000"
"7/23/2025","1753228800","36000000"
"7/24/2025","1753315200","38877711"
"7/25/2025","1753401600","39000000"
"7/26/2025","1753488000","39946859"
"7/27/2025","1753574400","42000000"
"7/28/2025","1753660800","42000000"
"7/29/2025","1753747200","42000000"
"7/30/2025","1753833600","42000000"
"7/31/2025","1753920000","42000000"
"8/1/2025","1754006400","42000000"
"8/2/2025","1754092800","42000000"
"8/3/2025","1754179200","42000000"
"8/4/2025","1754265600","42000000"
"8/5/2025","1754352000","42000000"
"8/6/2025","1754438400","42000000"
"8/7/2025","1754524800","42000000"
"8/8/2025","1754611200","42000000"
"8/9/2025","1754697600","42000000"
"8/10/2025","1754784000","42000000"
"8/11/2025","1754870400","42000000"
"8/12/2025","1754956800","42000000"
"8/13/2025","1755043200","42550961"
"8/14/2025","1755129600","44000000"
"8/15/2025","1755216000","44000000"
"8/16/2025","1755302400","44000000"
"8/17/2025","1755388800","44000000"
"8/18/2025","1755475200","44000000"
"8/19/2025","1755561600","44000000"
"8/20/2025","1755648000","44533840"
"8/21/2025","1755734400","46000000"
"8/22/2025","1755820800","46000000"
"8/23/2025","1755907200","46000000"
"8/24/2025","1755993600","46000000"
"8/25/2025","1756080000","46000000"
"8/26/2025","1756166400","46000000"
"8/27/2025","1756252800","46527187"
"8/28/2025","1756339200","48000000"
"8/29/2025","1756425600","48000000"
"8/30/2025","1756512000","48000000"
"8/31/2025","1756598400","48000000"
"9/1/2025","1756684800","48000000"
"9/2/2025","1756771200","48000000"
