address,gov_delegation,active_gov_delegation,drop2_mod,op_amount_decimal_adjusted,op_amount_raw
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,205.5111408,411.0222816,84.36604566,700.8994681,700899468071357000000
0x004a8a6dfc0a77a836448317f0d689bc83a96897,21.28212616,42.28018434,0.0,63.5623105,63562310499486200000
0x004afb002e3fb33c833fc16b6b63103bbf97312d,46.90435999,0.0,0.0,46.90435999,46904359986721200000
0x004b5427e5cda44eee0e4e94dfa97885c4799fad,100.6075355,0.0,4.856608291,105.4641438,105464143830734000000
0x004bac9f45af6848ffbdf0dec8f47023ccd7a138,177.6042049,355.2084098,4.49137126,537.303986,537303985955492000000
0x004bd9fa16b3b37cf5e4619b434685eacc597100,1051.745502,0.0,21.91513362,1073.660635,1073660635225280000000
0x004d415be7d9ef539e16f4a9d2e5d29c06789ece,145.3386596,290.6773192,3.139004909,439.1549837,439154983702976000000
0x004e6f61590eac8016f21ab170c488f0350a8fa0,19.11655336,38.23310673,0.0,57.34966009,57349660091239000000
0x0051426df3f52b0a6e61cd8fa764601bfad5a968,58.51496023,0.0,0.1282242534,58.64318449,58643184487585900000
0x0053834963b3637f85ef2c3783b6bfda2ec11e02,26.12607981,52.25215962,0.0,78.37823943,78378239430466000000
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,154.3788493,0.0,0.0,154.3788493,154378849339617000000
0x005700575b1b3f6d146fb4391d5cc5fc4fa63ed4,237.1958233,474.3916466,4.933749048,716.521219,716521218966896000000
0x005784cf2563e0daa6c7ad71e329fda0c8e692b0,119.635784,170.047959,2.657755462,292.3414984,292341498414323000000
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,469.073561,0.0,10.49188953,479.5654505,479565450544529000000
0x006059c30d9bf772f60396d6d33d94d0f4cac9b1,59.63482962,119.2696592,0.0,178.9044889,178904488870643000000
0x00606744761f0d29665a1864ff13216470bdfd8c,203.2680552,406.5361104,6.894565877,616.6987314,616698731437768000000
0x00610d1b203f9ddf2776d8729b0de854f5dce8ed,675.9711374,1351.942275,17.64631813,2045.55973,2045559730279740000000
0x00627e45624c979a8ebc8c8a77f81c7b64c6867f,0.0,0.0,97.31926715,97.31926715,97319267154713700000
0x006438b8edb16cb4a3464d9d7a11bfd9a48f8cac,81.04189753,162.0837951,0.0,243.1256926,243125692582505000000
0x00645dd21310882cc32399abcb54e0a05b3b5d1d,6254.887364,10000.0,258.1504172,16513.03778,16513037781395600000000
0x0064b28742ee529579dba1074f0a1633ac1194b8,809.8808797,0.0,0.0,809.8808797,809880879749838000000
0x00653d03b147a663390dd5c5b1a55dc9cc0bd2fd,161.9664183,0.0,6.046067416,168.0124857,168012485701440000000
0x00682c5bfa15039fe6fc90dc9efd129e758319d1,56.14348922,112.2869784,0.5196972063,168.9501649,168950164872446000000
0x0068cfc9c6d3566996041901005eec42b74f0208,507.8490922,1015.698184,10.56342367,1534.1107,1534110700338150000000
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,28.96822457,57.93644914,0.3761640649,87.28083778,87280837775361500000
0x006970fd32059734e586a323b13fc1ce625f296b,20.58452688,41.16905375,0.6157994697,62.3693801,62369380100048300000
0x006c77e68d2ce85db549bac376b4c7283a332447,330.7302963,581.9240809,12.33027952,924.9846567,924984656673564000000
0x006d0f31a00e1f9c017ab039e9d0ba699433a28c,25.37073573,50.74147147,0.0,76.1122072,76112207202232600000
0x006e5e31b36b6a1472df1e0aef3d0ce05f720a42,23.02938701,46.05877401,0.0,69.08816102,69088161020879500000
0x006ed6fa778c9f20f0a952cbe256f3fc28d55b5a,505.6191969,1011.238394,10.56342367,1527.421014,1527421014359360000000
0x006f030ecb2daa44fc1dede06a94e749bf3918cf,315.1637698,630.3275397,6.894565877,952.3858754,952385875409406000000
0x0072b9fb38d6ab45e53676791e907e0cddf94449,35.65203872,71.30407744,0.0,106.9561162,106956116157156000000
0x0078049f1766f5ea41ff17d8e88499bcca46fd68,32.91449342,65.82898684,0.2053020967,98.94878236,98948782358417600000
0x0078c86e12186e2de1ff6fef5f1ada2bffde4ea5,151.8622313,303.7244626,3.158783021,458.745477,458745476992826000000
0x0079daaf696a60bcd1615b302d7a06259dbe6ae2,838.2421864,1676.484373,26.62449041,2541.35105,2541351049517850000000
