address,is_eligible_l1_gas,is_eligible_opc_gas,a_min_contract_created_at,b_last_transfers_in_days,c_last_active_in_days,d_gas_fee_eth_last_180days_threshold,e_is_wlta_creator,multiplier,op_amount_raw
0x004cb0824debecf4bc0ce8ee42d1d4db76df3248,True,False,True,True,False,True,False,1.25,180404067690464216867
0x004d10c6481c3c2c77897f09b8eff1e47dd1be85,True,False,False,False,True,True,False,1.1,158938921836289438261
0x00531c14a086516c9395a080c268bf44a0f66fed,False,True,False,True,True,True,False,1.25,120970465330352510591
0x005865010a235ebe9d1a40249e23b5c04b926284,True,False,True,True,False,True,False,1.25,66914018297876168617
0x005ad42c0ebcbc87864bfe9092a18ca1b16fe199,True,False,False,True,True,True,False,1.25,90784738874999604263
0x005d64623d8acf081e71664c9344086a54fc564d,True,False,False,True,True,True,False,1.25,67607289905222501147
0x00618e36df8ad69d16c285d7cabe49d9beef96f0,False,True,False,False,False,False,False,1.0,314538169144484015760
0x00642fd665489bf87c51427e9f0d2cffff6be6cd,True,False,True,True,False,True,False,1.25,22995115782189337494
0x006ab5294522760e6542be898b987e66242db901,True,False,False,False,True,False,False,1.05,33812045690784422902
0x006af13373d86f0025fa081283335b81cc394f9f,True,False,True,True,False,True,False,1.25,46311487904701124307
0x006b8d161915006d02e27af11351f3e992badf00,False,True,False,False,True,False,False,1.05,21256279065993300748
0x006d85f6ac839c8f7ab3487b926b8c65f0e9db39,True,False,True,True,True,True,False,1.5,53264964028506284421
0x006eaf37c0bdbbd4c461ab8f50df805f9c9e3844,True,False,True,True,False,True,False,1.25,46938379046292070029
0x006fae14297e2d7318d14afe49456b880b86de04,False,True,False,False,False,True,False,1.05,61216488010453652180
0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,True,False,True,True,False,True,False,1.25,30518287940996970065
0x007f6d2808d556c665864f32df11a044e6b27c21,True,False,True,True,True,True,False,1.5,20717823641724127270
0x0081e6f9373c1ffb7d7fc702eb15ac805eb50389,True,True,False,True,True,True,True,1.5,28172251032677976923
0x0083b67d20226b310a7de93f973d1d06538a7162,False,True,False,False,False,True,False,1.05,108264566630936116098
0x00859b3baac525143bb8a3ee3e19ddf9daf2408c,True,False,True,True,True,True,False,1.5,6000000000000000000000
0x00883841bf81be514027614b072a588baf782c93,True,False,False,True,False,True,False,1.1,1163893745958458566747
0x00909a39bd1a8ad581a6bc4a862bd4713e88dc45,True,False,False,True,False,True,False,1.1,176936412792968923213
0x0097df624067e40862a6c1b48eb4ed957d72fb8d,True,False,False,False,False,True,False,1.05,30772977623940754199
0x0098bd0746d3a9c7820497f8ca9a0b3414579837,True,False,True,True,False,True,False,1.25,111205690731072820654
0x0098ffacd8e0054a0d883aa2f27cf03ef236b84b,True,False,False,False,False,False,False,1.0,21214689922055065097
0x009cfea4517769cc31c535d2fb446a0780a95dca,False,True,False,True,True,True,False,1.25,374861303982339961749
0x009e56e2f4521f93fced5c3e287f066f17ec97f7,True,False,False,True,True,True,False,1.25,46935036206538399028
0x00a2028341d35a8018d086ecee5f01afc7b7982f,True,False,True,True,True,True,False,1.5,287793517675478483397
0x00a53174cbdf6facf4d4c176e1166610b4ae1d4f,False,True,False,False,True,True,False,1.1,41745194907114601790
0x00a58651879fd753ab58d639b633368859cda6e1,True,False,True,True,True,True,False,1.5,28393779026722086201
0x00a64e4c218fa4db5f1ecebd62f12d1943ef1ac7,False,True,False,True,True,True,False,1.25,1196343759495850690655
0x00a8a6d1a89bd12538b9dd329ca57518bb2eb555,True,False,False,False,False,False,False,1.0,57018061003916351126
0x00ad6ed167f412ea610a89c7c1c75f402c23f0d5,True,False,False,False,False,False,False,1.0,21143941239595303472
0x00ae58bfbf16260832309e1e71d84fc1b78bd6f5,True,False,True,True,True,True,False,1.5,277809371984128517852
0x00b37d6920f8b447fb89e78c28b611a0e56bfb4a,True,False,False,False,False,True,False,1.05,53361024547391771478
0x00b3b856f26b66b0104ebbd7d230080bd88fb586,False,True,False,True,False,True,False,1.1,413310874416911360640
0x00b95bedaa3e350a284a8e279d87db78ec5715d3,True,False,False,False,False,False,False,1.0,69092813510446575265
0x00b97496700288c1bceb90ecc04a40c4aeac8bb4,False,True,False,True,True,True,False,1.25,6000000000000000000000
0x00ba58bcdcd5f70800a3f382f10877f2e6042707,False,True,False,True,True,True,False,1.25,38702517008675620502
0x00bac5459a306502347cdd003f5ace588b3b66b7,True,False,True,True,False,True,False,1.25,23400995543478568806
0x00bb3c144ccdd0c5d5400a9b4a416c3200211000,False,True,False,True,True,True,False,1.25,1625184978780095661932
0x00c24089bfff9c501381b48d0e1fbe7eb5285f45,False,True,False,False,False,True,False,1.05,524174746225276635414
0x00c28a5087126245b306ed7860f54a27152fcdb8,False,True,False,True,True,True,False,1.25,496697978145369972935
0x00c435f98c6e5ac59fe6dae91f615aa4c8f1207b,False,True,False,False,False,True,False,1.05,80528706971164737638
0x00c5bb1ca51a250d9e419b681ee8b26a0f1cc39d,True,False,False,False,False,False,False,1.0,79436147171870800321
0x00c6cbdb65aba65bb04df8407806bc690acb327d,True,False,True,True,False,True,False,1.25,1225846452492761272879
0x00c99338d82505882746d83e26623ede6aec91b2,True,False,False,False,False,False,False,1.0,209338413433517899875
