address,op_total
0xaa802e592493967fa5d9e77048842439d9df9210,9512179200478591057920
0x48d6445bb702db304ee7cec7e407c2547a1d52d9,9372339244804877582336
0x0fb13b24482226bb9f4ab3bd6fff68c4b6eb9aeb,9263861485279158206464
0xc1dd99f39d9504af370f36283303cdc86dbebb68,9065063362339136339968
0x809261fc5cb5deb12e12fd3a53948616034b3665,8872451693500397780992
0x9859c71002f0cace0f00c6687589705b66096f2e,8611744762764522946560
0x02eca8cc78b7d30c1ac5e16988ed2c8a9da658d6,8542744258337126219776
0xb142639507d8ed140d850dc2d522067126541ad4,7868007012722872942592
0x55048e0d46f66fa00cae12905f125194cd961581,7802275577448201453568
0xbf26208d346eb6f8fa3cbf626a9e78106d7da02c,6965577641371453358080
0x102407f67415dcc4068370625ca27f24bb2a03d5,6794802399251646119936
0x5500e69d58d8f80b236c8a72fd52c538a5d5237f,6603002340208833200128
0xe31e3b10385c8809445056db3986d6101ae5edbb,6445400116123984199680
0xc6f6357629ed1fdae62a02643362ef3d561a0454,6436233811481571885056
0xbf7f3824cec99f73ac5fa53cc34116f4f0dbb69e,6421527602885069635584
0x4c2de0c63b7e6d530df7e6221201e29858cae7de,6380468979308204916736
0xa93266651533d2d944d29553d37f1d2f93e57de0,6240473900746267426816
0x86338ffec5212f153378d8f3c7d2b30b4779d0be,6203557302457265553408
0x037113c92612a56297e03407252d37df56f2278c,6191838371700497448960
0xa9babd59748a5077add757da038f5f7083bce9bd,6040105034939685142528
0xab32bf707c9d9f78f1101f9b7b4d6b4b3727b6ea,5681141537275611447296
0xe32078eea1866f7062e14f308944387d76f6dc34,5641947969134464598016
0x58b57167dedeed3f5cab42f35e82e92bafc9f509,5631958656861858693120
0xe1009b65e306625713ce113b9b10ca7096b8e555,5548560973442460942336
0x43a3069a2697970c9910f87af0114e4c80af9ce0,5536965787920815357952
0x28177b138fdec353c1da1858798c52ac0be0a0a8,5409112397950331387904
0xdc5ceed827bc485bcc3cf3b7e53a41d6ab25b82c,5285546438243843571712
0x662dd6980f2442e1db4ba4ecc5518eed376005e4,5275025035633247649792
0xed2c2cdec695be3a4dc421c1a8a6756dc5a927b6,5267876624954102382592
0x5d6a91dfd9564a54fcc480d267b6be7d84335e27,5234114933017195577344
0x68ebe977144fc958286e69280ee8449301f6bffc,4969957524460570411008
0xdf48e207d6a296f98058e02a1bd672a0d566fce2,4813925387739151204352
0x70697ff6e8470ebda9151527bb25be88e660dc1e,4767075756654708391936
0x377fdf81498300a58618e2ca93401c80c9d06892,4649725953991101120512
0xb6b100ac327147e11cf961a78d2b9c595aaacace,4643876299274854072320
0xe254d92ae6ecd232c1b885b5e6f96bce5d2b5d25,4605880014378073849856
0xc0ea15928791cb6f3a7ff149d6b526631d1afd50,4552083565359873392640
0x4a062b0346c1234a885079c26390611cb2930b30,4544337085711917252608
0x4e76902faccd6feeef68ff0508a7caf75bce81b6,4528166637354695000064
0x09666764b4b03231118f6c20a45cd554360495b2,4522923794080666746880
0x113340d7708e02ec3914ae14f852794ab2229e32,4520665805681696702464
0xe61a78d80c7048cbdf137c184ac22a99e400d9e7,4495366516405576400896
0x6286b9f080d27f860f6b4bb0226f8ef06cc9f2fc,4469388879348621115392
0x8e11ef347861efe5ddd2f685f7aad9c5cdee5088,4382947893935482077184
0x3fbb0767f7a9b66f1e1e02086cc4a0243a1d2ff4,4353528198469228429312
0xfdbbfb0fe2986672af97eca0e797d76a0bbf35c9,4350763272710951272448
0x9f43ee3616d8372cfd828583221cdcea8aedc9ce,4326254358680969936896
0x1be3d6c73e7af74a0ab818c4a95bd72f058f320a,4109678642729568436224
0x7a9287178cab99b0666359e146450de21b855e83,4097466430755053764608
0x55dc2cde9388102c7c3dd58884cfa67540f7465c,4062973352601070338048
0xf5bae3e8f61468762ba115802570831f2b294c3a,4007613745377347895296
0xb3a93798f0268c8a7cb97e7964f0bcb52b2456e4,3957350896979276726272
0x40534e513df8277870b81e97b5107b3f39de4f15,3898396196897262927872
