address,total_op
0x00478efdf2b63f02d2cae9936fe42d718a90d44a,440.8977296
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,700.8994681
0x004a8a6dfc0a77a836448317f0d689bc83a96897,63.5623105
0x004afb002e3fb33c833fc16b6b63103bbf97312d,46.90435999
0x004b5427e5cda44eee0e4e94dfa97885c4799fad,105.4641438
0x004bac9f45af6848ffbdf0dec8f47023ccd7a138,537.303986
0x004bd9fa16b3b37cf5e4619b434685eacc597100,1073.660635
0x004d415be7d9ef539e16f4a9d2e5d29c06789ece,439.1549837
0x004e6f61590eac8016f21ab170c488f0350a8fa0,57.34966009
0x0051426df3f52b0a6e61cd8fa764601bfad5a968,58.64318449
0x0053834963b3637f85ef2c3783b6bfda2ec11e02,78.37823943
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,154.3788493
0x005700575b1b3f6d146fb4391d5cc5fc4fa63ed4,716.521219
0x005784cf2563e0daa6c7ad71e329fda0c8e692b0,292.3414984
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,479.5654505
0x006059c30d9bf772f60396d6d33d94d0f4cac9b1,178.9044889
0x00606744761f0d29665a1864ff13216470bdfd8c,616.6987314
0x00610d1b203f9ddf2776d8729b0de854f5dce8ed,2045.55973
0x00627e45624c979a8ebc8c8a77f81c7b64c6867f,97.31926715
0x006438b8edb16cb4a3464d9d7a11bfd9a48f8cac,243.1256926
0x00645dd21310882cc32399abcb54e0a05b3b5d1d,16513.03778
0x0064b28742ee529579dba1074f0a1633ac1194b8,809.8808797
0x00653d03b147a663390dd5c5b1a55dc9cc0bd2fd,168.0124857
0x00682c5bfa15039fe6fc90dc9efd129e758319d1,168.9501649
0x0068cfc9c6d3566996041901005eec42b74f0208,1534.1107
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,87.28083778
0x006970fd32059734e586a323b13fc1ce625f296b,62.3693801
0x006c77e68d2ce85db549bac376b4c7283a332447,924.9846567
0x006d0f31a00e1f9c017ab039e9d0ba699433a28c,76.1122072
0x006e5e31b36b6a1472df1e0aef3d0ce05f720a42,69.08816102
0x006ed6fa778c9f20f0a952cbe256f3fc28d55b5a,1527.421014
0x006f030ecb2daa44fc1dede06a94e749bf3918cf,952.3858754
0x0072b9fb38d6ab45e53676791e907e0cddf94449,106.9561162
0x0078049f1766f5ea41ff17d8e88499bcca46fd68,98.94878236
0x0078c86e12186e2de1ff6fef5f1ada2bffde4ea5,458.745477
0x0079daaf696a60bcd1615b302d7a06259dbe6ae2,2541.35105
0x007a51945e18f279a259b5a1334c2d24569b20f1,58.16825854
0x007b003c4d0145b512286494d5ae123aeef29d9e,240.8797794
0x007c002aa0b7e4f20985c9161275594e35aca8be,338.6500613
0x00803232cc216eef9b396d6cfffd4b51e09f29da,53.70623828
0x00812076e9460d60e7f9af956cbda17ac64eeaa2,321.1766191
0x00826296dbb0f2fcf676412eeab998ef696514bb,76.67911555
0x0087a081a9b430fd8f688c6ac5dd24421bfb060d,1404.73609
0x008c84421da5527f462886cec43d2717b686a7e4,1051.802773
0x008d7a063eb5f7c706b72fbe48ce532defe153d1,84.13926702
0x008da990e7495babd6875adf86da04ffc3cf0ab6,37.64021134
0x008f96aab23e71c98398e6c5dabf2ee2ded9f15d,338.6500613
0x0090720fed7fed66ed658118b7b3bb0189d3a495,878.8273823
0x00920677ec1a0ecd6271cae4ed54576963c6b01a,738.3393117
0x009255de16f337807228955e9811dd20e3e69e55,202.7462929
0x00929c5c2c4f00b540e429247669eb6fcd8b1dbf,170.2660034
0x0098ab53090d484cabe0d734e63d84a9e0121368,98.29926023
0x0098decbac5ae0938bbdb7aaf6e27b0d8cd164cd,934.9209011
0x0099f5326f05fb8b3f541997526e9d9224a88147,1770.034503
0x0099fa965c7620921332455e3a1f9ae24867ddab,2752.46697
0x009b56330ae5ec5042b9ca46ddb3043cc0d006f3,9460.166328
0x009c07cc41a358176c97b525284d50f4960bc939,590.7101199
0x009d13e9bec94bf16791098ce4e5c168d27a9f07,63.25169349
0x009ec7d76febecabd5c73cb13f6d0fb83e45d450,112.8958146
0x009fc90bfa74825c912f54925ac434c214973f80,240.0336891
0x00a047ab2cb3865d1867c5b2b83e40d542e04378,66.09929308
0x00a133c53edb71773c7cd2d6b3285a442f4590c1,367.2218941
0x00a135cd2a91ee08dc6dfc314802b553ee6b1b6e,176.2191781
0x00a2260ee0bee6f1e4b9571796aaa783f8d1cdef,431.7911905
0x00a4b7fae16cd0169902bc4e3ac7dacbcf685dcd,68.2209598
0x00a502e608b7d0befe29c65ba87ef66a17801889,1535.448638
0x00aca4ef6cc9d7feb665d506958eeae22df73573,1002.161052
0x00ad3c523b715cbd6cc1771f1a1743269b220fa4,110.9057315
0x00adbb7d7170cdfdee0f68a226bbb64d069f0e2b,130.332779
0x00ae72a0805ac2081556128a9fdfbe75b574f89c,327.9117051
0x00ae7fe77ab7c4e77f894c76c167dc310766c57a,58.46511683
