,join_id,dt,chain,active_secs_per_day,num_l1_txs_inbox,num_l1_txs_output,calldata_bytes_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,avg_l1_gas_price_on_l2,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_eth_fees_combined,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l2_num_txs_per_day,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l1_gas_used_on_l2,calldata_bytes_l2_per_day,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used,l2_eth_fees_per_day,gas_compression_ratio,bytes_compression_ratio,dt_rank
20,2023-09-07op mainnet,2023-09-07 00:00:00+00:00,OP Mainnet,86400.0,614,24,70967575.0,17.87600540181371,17.564602565975758,17.634722920640932,1145170528.0,2084628.0,1147255156.0,20.47107454452585,0.0366156623179049,20.50769020684376,21.68550864403504,9.672707646313064,354349.0,43200.0,449.0,1797814468.0,149355858.0,1797814468.0,137925070.0,137300475137.0,31.358216290348103,0.6369792591968394,0.47515762655924754,6
21,2023-09-07base,2023-09-07 00:00:00+00:00,Base,86400.0,1431,24,56170604.0,18.22310648731416,17.189830249166008,18.093969104109465,926055476.0,2084292.0,928139768.0,16.87560755230841,0.0358286256696947,16.911436177978104,17.542622889350838,15.260084767209731,325736.0,43200.0,760.0,1417439664.0,110999142.0,1417439664.0,99428281.0,221169198431.0,32.80270765656057,0.6533297321359564,0.5060453890715659,6
22,2023-09-07zora network,2023-09-07 00:00:00+00:00,Zora Network,86400.0,183,24,13738192.0,17.591169099912783,18.234761809053524,11336760437.289331,222973696.0,2084352.0,225058048.0,3.922367991168546,0.0380076622462243,3.9603756534147694,3.92049405252284,5.697487900724619,96359.0,43200.0,26.0,332672436.0,29555694.0,332672436.0,18305698.0,18153516760.0,9.617981953246876,0.6702499872877956,0.4648238677799276,6
23,2023-09-07public goods network,2023-09-07 00:00:00+00:00,Public Goods Network,86400.0,145,24,1862062.0,18.7746575742241,16.627308195871105,13727233.887031514,32787496.0,2084304.0,34871800.0,0.6155740101162425,0.0346563649818869,0.6502303750981294,0.0017579733815893,0.0099561031518115,37.0,43200.0,14.0,155488.0,11247144.0,155488.0,9200.0,2182925026.0,0.0117140765334008,210.8683371064005,0.1655586520453548,6
24,2023-09-06op mainnet,2023-09-06 00:00:00+00:00,OP Mainnet,86400.0,616,24,71236352.0,19.110581719220622,18.17253036521793,18.85264678946606,1149538748.0,2084652.0,1151623400.0,21.96835418306456,0.0378834017709122,22.006237584835475,23.570862118281507,10.328833100929293,352441.0,43200.0,361.0,1827877280.0,152566694.0,1827877280.0,141179234.0,145595521529.0,33.8996952192108,0.6288927383571395,0.4669194182053915,7
25,2023-09-06base,2023-09-06 00:00:00+00:00,Base,86400.0,1424,24,57450098.0,19.10747635409749,17.935864583905175,18.99764660945108,946320752.0,2084268.0,948405020.0,18.081801392231743,0.0373831486045668,18.119184540836308,18.8903589966343,14.011507211637412,332740.0,43200.0,577.0,1453731848.0,113272698.0,1453731848.0,101784370.0,221203488097.0,32.90186620827171,0.6509596342007086,0.5071839817923292,7
26,2023-09-06zora network,2023-09-06 00:00:00+00:00,Zora Network,86400.0,192,24,15387993.0,18.100033873474803,18.00784542360971,12415752476.661926,249475260.0,2084208.0,251559468.0,4.515510656593935,0.0375320954946507,4.553042752088586,4.678973597131514,7.155766799560534,107701.0,43200.0,24.0,379702868.0,33253067.0,379702868.0,22004278.0,17690924736.0,11.834740396692332,0.6570275892675111,0.4627540972386096,7
27,2023-09-06public goods network,2023-09-06 00:00:00+00:00,Public Goods Network,86400.0,146,24,1894460.0,19.40492841013545,18.114166141309774,22125484.325200435,33325112.0,2084316.0,35409428.0,0.6466714126197459,0.0377556463149902,0.6844270589347361,0.0067880443240593,0.0237224992776849,59.0,43200.0,22.0,605848.0,11282008.0,605848.0,40768.0,2191988108.0,0.0305105436017443,55.00573081036828,0.1679186896517003,7
28,2023-09-05op mainnet,2023-09-05 00:00:00+00:00,OP Mainnet,86400.0,587,24,67858412.0,15.922159004614263,16.302131038049147,15.824450195288025,1095039320.0,2084664.0,1097123984.0,17.435390169344675,0.0339844656983036,17.46937463504298,18.7636406285219,9.752431853791762,331085.0,43200.0,276.0,1733534044.0,147402733.0,1733534044.0,136054013.0,122996755236.0,28.516072482313664,0.6316803086677656,0.4603606094603416,8
29,2023-09-05base,2023-09-05 00:00:00+00:00,Base,86400.0,1390,24,57757297.0,16.46190042666042,14.964421505841702,16.126173543068752,950552608.0,2084292.0,952636900.0,15.647902383198378,0.0311902240292538,15.679092607227632,16.343357290267694,17.886628734611264,339306.0,43200.0,606.0,1481678040.0,116326097.0,1481678040.0,104823020.0,220088830613.0,34.229986024878954,0.6415378930769602,0.4965119477876061,8
