chain_name,display_name,mainnet_chain_id,public_mainnet_launch_date,op_based_version,chain_type,has_mods,is_law_of_chains,raas_deployer,rpc_url,product_website,defillama_slug,l2beat_slug,growthepie_origin_key,goldsky_schema,dune_schema,gas_token,chain_layer,da_layer,output_root_layer,system_config_proxy,is_in_superchain_registry_repo,oplabs_db_schema,batchinbox_from,batchinbox_to,outputoracle_from,outputoracle_to_proxy,l1_standard_bridge,is_op_chain,alignment
orderly,Orderly,291.0,2023-10-16,modern,,yes,,conduit,https://rpc.orderly.network,https://orderly.network/,,orderly,,,,ETH,L2,celestia,ethereum,,yes,,0xf8db8aba597ff36ccd16fecfbb1b816b3236e9b8,0x08aa34cc843ceebcc88a627f18430294aa9780be,0x74bad482a7f73c8286f50d8aa03e53b7d24a5f3b,0x5e76821c3c1abb9fd6e310224804556c61d860e0,0xe07ea0436100918f157df35d01dce5c11b16d1f1,False,OP Stack fork
mantle network,Mantle,5000.0,2023-07-17,legacy ovm,,yes,,,https://rpc.mantle.xyz,https://mantle.xyz,Mantle,mantle,mantle,,,MNT,L2,eigenda,ethereum,,no,,0x2f6afe2e3fea041b892a6e240fd1a0e5b51e8376,0x291dc3819b863e19b0a9b9809f8025d2eb4aae93,0x6667961f5e9c98a76a48767522150889703ed77d,0xd1328c9167e0693b689b5aa5a024379d4e437858,0x95fc37a27a2f68e3a647cdc081f0a89bb47c3012,False,OP Stack fork
metis andromeda,Metis,1088.0,2021-11-19,legacy ovm,,yes,,,https://andromeda.metis.io/?owner=1088,https://www.metis.io/,Metis,metis,,,,ETH,L2,memo,ethereum,,no,,0xcdf02971871b7736874e20b8487c019d28090019,0x6a1db7d799fba381f2a518ca859ed30cb8e1d41a,0x9cb01d516d930ef49591a05b09e0d33e6286689d,0xf209815e595cdf3ed0aaf9665b1772e608ab9380,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,False,OP Stack fork
boba network,Boba,288.0,2021-09-20,legacy ovm,,yes,,,https://mainnet.boba.network,https://boba.network/,Boba,bobanetwork,,,,ETH,L2,ethereum,ethereum,,no,,0xfa46908b587f9102e81ce6c43b7b41b52881c57f,0xfbd2541e316948b259264c02f370ed088e04c3db,0x5558c63d5bf229450995adc160c023c9f4d4be80,0xde7355c971a5b733fe2133753abd7e5441d441ec,0xdc1664458d2f0b6090bea60a8793a4e66c2f1c00,False,OP Stack fork
curio,Curio,,,unknown,,yes,,caldera,,https://www.curio.gg/,,,,,,unknown,L2,unknown,unknown,,no,,,,,,,False,OP Stack fork
giant leap gaming / underverse,Giant Leap,,,unknown,,yes,,caldera,,https://giantleap.gg/underverse,,,,,,unknown,L2,unknown,unknown,,no,,,,,,,False,OP Stack fork
lyra,Lyra,957.0,2023-12-13,modern,,yes,,conduit,https://rpc.lyra.finance/,https://www.lyra.finance/,protocols/lyra-v2,lyra,,lyra,,ETH,L2,celestia,ethereum,0x0e4c4cdd01cecb01070e9fdfe7600871e4ae996e,yes,lyra,0x14e4e97bdc195d399ad8e7fc14451c279fe04c8e,0x5f7f7f6db967f0ef10bda0678964dba185d16c50,0x03e820562ffd2e0390787cad706eaf1ff98c2608,0x1145e7848c8b64c6cab86fd6d378733385c5c3ba,0x61e44dc0dae6888b5a301887732217d5725b0bff,False,OP Stack fork
mode,Mode,34443.0,2024-01-31,modern,standard,no,,conduit,https://mainnet.mode.network,https://www.mode.network/,Mode,mode,mode,mode,,ETH,L2,ethereum,ethereum,0x5e6432f18bc5d497b1ab2288a025fbf9d69e2221,yes,mode,0x99199a22125034c808ff20f377d91187e8050f2e,0x24e59d9d3bd73ccc28dc54062af7ef7bff58bd67,0x674f64d64ddc198db83cd9047df54bf89ccd0ddb,0x4317ba146d4933d889518a3e5e11fe7a53199b04,0x735adbbe72226bd52e818e7181953f42e3b0ff21,True,OP Chain
ancient8 chain,Ancient8,888888888.0,2024-02-22,modern,,yes,,conduit,https://rpc.ancient8.gg/,https://ancient8.gg/,,ancient,,,,ETH,L2,celestia,ethereum,0x0b4cfc49acc656ce6d03cb0794860da92be3e8ec,no,,0x6079e9c37b87fe06d0bde2431a0fa309826c9b67,0xd5df46c580fd2fbdaee751dc535e14295c0336f3,0xaf24199c29d5cc3fd298356137913a42847ea690,0xb09dc08428c8b4efb4ff9c0827386cdf34277996,0x12d4e64e1b46d27a00fe392653a894c1dd36fb80,False,OP Stack fork
debank chain,DeBank,116.0,,modern,,yes,,,,https://debank.com/,,debank,,,,unknown,L2,unknown,unknown,,no,,,,,,,False,OP Stack fork
